OrderID,WinesChampagnes,BeersCoolers,Spirits,RedWines
167762,0,0,0,5
211469,0,0,0,3
387534,5,9,11,10
387534,5,4,11,10
387534,5,21,11,10
387534,5,19,11,10
464833,0,0,0,12
503269,0,0,0,1
711355,0,0,0,20
1156314,0,0,7,2
1156314,0,0,3,2
1248418,0,3,0,6
1277575,0,0,0,7
1714016,0,0,0,5
2162634,0,0,0,7
2172600,0,0,0,7
2216272,0,0,0,11
2391767,10,3,11,18
2476444,0,0,0,1
2487349,0,0,0,1
2785941,0,0,0,1
2796183,10,0,0,9
2861849,0,0,0,5
2977812,5,9,11,10
2977812,5,19,11,10
2977812,5,21,11,10
2977812,5,4,11,10
3017611,7,9,2,5
3017611,7,10,4,5
3017611,7,8,4,5
3017611,7,9,4,5
3017611,7,10,2,5
3017611,7,8,2,5
3281082,0,0,0,3
3307737,0,3,1,2
3363833,0,0,0,1
3363939,0,0,0,6
40524,0,0,0,3
61418,0,2,0,4
61418,0,1,0,4
113793,0,0,0,2
152698,0,0,0,2
164129,0,2,0,3
198084,0,0,0,16
208203,0,0,0,5
232665,0,0,0,10
244153,0,10,0,16
244153,0,11,0,16
244153,0,9,0,16
245677,0,4,0,7
281657,7,0,0,5
285871,0,0,1,4
308233,0,0,0,2
396397,0,12,0,13
403291,0,0,0,2
462433,0,0,2,11
462433,0,0,12,11
504205,0,0,0,3
620333,1,0,2,3
630845,0,0,0,5
831999,0,6,0,8
890464,0,10,0,8
890464,0,6,0,8
994760,0,0,0,32
1083127,0,0,0,5
1270967,0,0,0,1
1317420,0,0,0,7
1415348,0,0,0,10
1415590,0,0,7,3
1450212,0,0,0,9
1524685,0,0,0,4
1570278,0,0,0,3
1596227,0,0,0,7
1650019,0,0,0,4
1651546,4,0,0,5
1651546,2,0,0,5
1651546,3,0,0,5
1673775,0,0,0,8
1698443,0,0,0,1
1867338,0,2,0,11
1936766,0,0,0,10
2026588,0,0,0,4
2043668,0,0,0,10
2045725,0,0,0,20
2069083,0,3,0,7
2084107,0,0,0,4
2169570,0,0,0,1
2175902,0,0,0,29
2185195,0,0,0,1
2256253,0,0,0,4
2276923,0,0,0,1
2357654,0,0,0,3
2357988,4,3,0,5
2463692,0,8,5,10
2578189,0,0,0,7
2592863,0,0,0,9
2636544,1,0,0,4
2636544,6,0,0,4
2652503,0,2,0,5
2652503,0,3,0,5
2683790,0,3,0,4
2687469,0,0,0,12
2890399,0,0,0,2
2953449,0,9,0,8
3003342,0,0,0,16
3175386,0,0,1,8
3175386,0,0,3,8
3274351,0,0,0,3
3279781,0,0,0,3
3309554,0,0,0,24
3349250,0,0,0,6
3351719,0,4,0,3
168308,0,0,0,4
215586,0,0,0,7
549882,0,0,0,1
700639,1,0,0,5
700639,3,0,0,5
1158080,0,0,10,3
1511609,0,2,0,3
1511609,0,1,0,3
1838518,0,0,0,3
1986036,0,0,1,8
2290737,0,0,11,6
2508797,0,0,0,6
2738481,0,6,21,11
2738481,0,7,22,11
2738481,0,8,21,11
2738481,0,1,21,11
2738481,0,7,21,11
2738481,0,9,22,11
2738481,0,6,22,11
2738481,0,8,22,11
2738481,0,9,21,11
2738481,0,1,22,11
3158160,0,0,1,2
3320682,0,0,0,2
3325841,0,0,0,9
3410566,0,0,0,4
12786,0,0,0,5
51099,0,3,0,1
83762,0,0,0,7
98057,0,0,0,3
112774,5,10,0,9
112774,4,10,0,9
112774,5,2,0,9
112774,4,2,0,9
123341,0,0,0,1
148606,0,2,0,6
148606,0,3,0,6
148606,0,1,0,6
148606,0,5,0,6
148606,0,4,0,6
175277,0,0,0,4
238665,0,0,0,1
285176,0,4,0,5
288513,0,0,0,10
327279,0,3,0,2
327279,0,1,0,2
343140,0,0,0,6
392714,0,5,0,3
392714,0,4,0,3
393517,0,4,0,1
460518,0,0,0,11
479550,0,0,0,1
552756,2,1,0,5
588045,0,0,0,5
616652,0,0,0,7
711355,0,0,0,11
760665,0,0,0,5
763045,0,13,0,11
789272,0,3,0,1
789272,0,4,0,1
800450,3,1,0,7
800450,3,2,0,7
844843,0,1,0,6
849586,0,0,14,2
857063,0,0,0,4
919397,0,1,0,2
933277,0,0,0,21
953562,0,0,0,5
986929,0,0,0,18
1077974,0,0,0,11
1143129,0,0,0,23
1149890,0,0,0,1
1150017,0,0,0,5
1228721,0,5,0,2
1228721,0,4,0,2
1238284,1,3,0,13
1238284,1,6,0,13
1238284,1,7,0,13
1238284,1,9,0,13
1238284,1,10,0,13
1238284,1,2,0,13
1238284,1,4,0,13
1266008,0,0,0,8
1273039,0,2,0,9
1273039,0,1,0,9
1273039,0,5,0,9
1273039,0,3,0,9
1273039,0,4,0,9
1273039,0,6,0,9
1288777,0,0,0,3
1290095,0,0,0,11
1330823,0,0,0,9
1346074,0,0,0,6
1368900,0,0,0,7
1418687,0,5,8,7
1418687,0,4,8,7
1418687,0,6,8,7
1473647,0,0,0,9
1493247,0,1,0,7
1493247,0,8,0,7
1493247,0,9,0,7
1508735,0,5,0,3
1508735,0,4,0,3
1508735,0,6,0,3
1525871,0,0,0,7
1531953,0,0,0,11
