Aisles,Product,amountBought
"asian foods","Organic Sea Salt Roasted Seaweed Snacks",103528
"asian foods","Coconut Milk",39027
"asian foods","Original Roasted Seaweed Snacks",38990
"asian foods","Sriracha Chili Sauce",38966
"asian foods","Sliced Water Chestnuts",35972
"asian foods","Roasted Sesame Seaweed Snacks",34129
"asian foods","Sriracha Hot Chili Sauce",33022
"asian foods","Stir-fry Rice Noodles",31845
"asian foods","Organic Rice Vinegar",29031
"asian foods","37% Less Sodium Soy Sauce",28020
"asian foods","Organic Soba",27249
"asian foods","Tamari Gluten Free Soy Sauce Reduced Sodium",23176
"asian foods","Genuine Brewed Rice Vinegar",22917
"asian foods","Green Curry Paste",22911
"asian foods","Pad Thai Brown Rice Noodles",21928
"asian foods","Roasted Seaweed Snacks",21577
"asian foods","Soy Sauce",21504
"asian foods","Premium Fish Sauce",21307
"asian foods","Tamari Gluten Free Soy Sauce",19278
"asian foods","Tofu Miso Ramen",18577
"asian foods","Thin Rice Noodles",18544
"asian foods","Pure Coconut Milk",17988
"asian foods","Organic Tamari Gluten-Free Soy Sauce",17974
"asian foods","Organic Coconut Cream",17777
"asian foods","Organic Reduced Sodium Tamari",17234
"asian foods","Wasabi Roasted Seaweed Snacks",16663
"asian foods","Mellow White Miso",16606
"asian foods","Organic Roasted Seaweed Snacks Teriyaki",15847
"asian foods","Asian Vegetable Ramen",15329
"asian foods","Chicken Flavor Top Ramen Noodles",13727
"asian foods","Garlic Pepper Ramen",13161
"asian foods","Organic Udon Japanese Wheat Noodles",13055
"asian foods","Unsweetened Coconut Milk",12610
"asian foods","Chili Garlic Sauce",12231
"asian foods","Organic Premium Roasted Seaweed Snack",12211
"asian foods","Mushroom Ramen",12145
"asian foods","All Natural Won Ton Wraps",11865
"asian foods","Jasmine Green Iced Tea",11738
"asian foods","Kelp Noodles",11478
"asian foods","Miso, Organic, Mellow, White",10388
"asian foods","House Napa Cabbage",9967
"asian foods","Organic Ramen Noodles",9844
"asian foods","Udon Soup Bowl",9752
"asian foods","Less Sodium Soy Sauce",9695
"asian foods","Naturally Brewed Soy Sauce",9433
"asian foods","Roasted Red Chili Paste",9286
"asian foods","Pad Thai Rice Noodles",9224
"asian foods","Teriyaki Sauce",9141
"asian foods","Organic Seaweed Snack Sea Salt",8984
"asian foods","Organic Lemongrass Ginger Ramen",8674
"asian foods","Miso Soup Bowl",8533
"asian foods","Water Chestnuts, Sliced",8164
"asian foods","Ginger, Pickled Sushi",7953
"asian foods","Tofu Shirataki",7893
"asian foods","Soba Pasta Wheat And Buckwheat",7883
"asian foods","Maifun Rice Noodles",7867
"asian foods","Seaweed Ramen",7637
"asian foods","Lite Coconut Milk",7447
"asian foods","100% Pure Sesame Seed Oil",7437
"asian foods","Maifun Brown Rice Noodles",7150
"asian foods","Organic Rice Ramen Millet & Brown",6943
"asian foods","Medium Spicy Kimchi",6922
"asian foods","Less Salt Soy Sauce",6861
"asian foods","Soup, Traditional, with Tofu",6788
"asian foods","Soy Ginger Sauce",6426
"asian foods","Roasted White Sesame Seeds",6229
"asian foods","Hoisin Sauce",6158
"asian foods","Sweet Red Chili Dipping & All-Purpose Sauce",5928
"asian foods","Organic Pacific Nori",5882
"asian foods","Rice Vinegar",5789
"asian foods","Teriyaki Marinade & Sauce",5620
"asian foods","Hoisen Sauce",5618
"asian foods","Sushi Nori, Pacific, Organic",5565
"asian foods","Tofu Shirataki Fettuccine Noodle Substitute",5522
"asian foods","100% Whole Soy Organic Gluten Free Tamari Soy Sauce",5331
"asian foods","Korean Kimchi",5233
"asian foods","Organic Gluten Free Tamari Less Sodium Soy Sauce",5118
"asian foods","Top Ramen Oriental Flavor",5116
"asian foods","Gluten Free Soy Sauce Tamari Lite",5036
"asian foods","Millet & Brown Rice Ramen",4938
"asian foods","Spicy Kimchi",4748
"asian foods","Traditionally Crafted Soba Pasta",4684
"asian foods","Fancy Sliced Water Chestnuts",4589
"asian foods","Lite Rice Vinegar",4566
"asian foods","Organic Naturally Brewed Soy Sauce",4432
"asian foods","Chow Mein Noodles",4278
"asian foods","Organic Seasoned Rice Vinegar Dressing",4246
"asian foods","Egg Roll Wraps",4228
"asian foods","Sesame Oil, Toasted",4203
"asian foods","Mild Kimchi",4132
"asian foods","Pad See Ew Noodles",4093
"asian foods","Coconut Aminos Teriyaki Sauce",4000
"asian foods","Sprouted Brown Rice",3892
"asian foods","Lotus Forbidden Rice Ramen",3799
"asian foods","Organic Shoyu",3768
"asian foods","Thai Peanut Sauce",3761
"asian foods","Miso, Organic, Mellow, Red",3753
"asian foods","Spicy Red Radish Kimchi",3681
"asian foods","Wasabi Crunchy Chickpeas",3665
"asian foods","Cut Baby Corn",3586
"asian foods","Organic Traditional Soba",3572
"asian foods","Sambal Oelek Ground Fresh Chili Paste",3538
"asian foods","Sushi Nori Toasted Sea Vegetable",3487
"asian foods","Chicken Flavor Cup Noodles",3320
"asian foods","Panda Brand Gluten-Free Oyster Flavored Sauce",3299
"asian foods","Reduced Sodium Tamari",3298
"asian foods","Onion Flavor Organic Roasted Seaweed Snack",3235
"asian foods","Hot & Spicy Noodle Bowl Soup",3210
"asian foods","Spring Roll Wrappers",3205
"asian foods","Rice Linguine Noodles",3189
"asian foods","Pacific Kombu",3154
"asian foods","Tokyo Ramen Noodles",3136
"asian foods","Instant Rice Vermicelli Noodles",3131
"asian foods","Gochujang Fermented Chile Paste Concentrate",3002
"asian foods","Aji-Mirin Sweet Cooking Rice Seasoning",2994
"asian foods","Sweet & Sour Sauce",2983
"asian foods","Gochujang Fermented Garlic Chile Paste",2953
"asian foods","Vietnamese Brown Rice Spring Roll Wrappers",2939
"asian foods","Ranch Salad Dressing Mix",2864
"asian foods","Pure Sesame Oil",2834
"asian foods","Low Sodium Soy Sauce",2823
"asian foods","Organic Shoyu Soy Sauce",2778
"asian foods","Stix Crispy Seaweed Strips Sesame",2681
"asian foods","Szechuan Hot & Spicy Marinade & Stir Fry Sauce",2647
"asian foods","Tofu Shirataki Angel Hair Noodle Substitute",2624
"asian foods","Hot Wasabi Peas",2624
"asian foods","Beef Flavor Top Ramen",2617
"asian foods","All Purpose Soy Sauce",2606
"asian foods","Diakon Radish Kimchi",2593
