Aisles,Product,amountBought
"baby accessories","Free & Clear Unscented Baby Wipes",60018
"baby accessories","Totz Toothbrush Extra Soft 18+ Months",7863
"baby accessories","Giraffes Diapers Size 3 M",1542
"baby accessories","Swaddlers Size 4 Giant Pack Diapers",1089
"baby accessories","Sponge Bottle Brush",975
"baby accessories","Take & Toss Spill Proof 9 M+ Cups",842
"baby accessories","Take & Toss 10oz Cups w/ Straws",805
"baby accessories","Disposable Nursing Pads",461
"baby accessories","Avent Pacifier Soothie (0-6m)",425
"baby accessories","Silicone Baby 3-12 Months Toothbrush",298
"baby accessories","Green Sprouts Silicone Finger Toothbrush Stage 2 3",279
"baby accessories","Deluxe Bottle Brush",252
"baby accessories","Reuse & Recycle Take & Toss Toddler Bowls with Lids",240
"baby accessories","Bug Spray",213
"baby accessories","Standard Bottle with Level 3 Nipple",196
"baby accessories","Crystal Pacifier",194
"baby accessories","Nurser Liners",193
"baby accessories","Free Flow Silicone Orthodontic Pacifiers",192
"baby accessories","Breastmilk Storage Bags",191
"baby accessories","First Essentials Bottles Silicone Medium Flow",180
"baby accessories","Soft-Tip Infant Spoons - 6 CT",169
"baby accessories","White HotÂ® Safety Spoons",118
"baby accessories","Miracle 360Â°  Trainer Cup",114
"baby accessories","Spill-Proof 6+ Months Sippy Cups",110
"baby accessories","VentAire Wide Bottle",91
"baby accessories","Nighttime Teething Tablets",87
"baby accessories","9 Oz Snack Catcher",76
"baby accessories","Toy & Table Cleaner, Free & Clear, Disney Baby",64
"baby accessories","Start Silicone Pacifier",58
"baby accessories","Sippy Cup",56
"baby accessories","Soothie Pacifiers For 0-6 Months",52
"baby accessories","All Good Goop Healing Balm",51
"baby accessories","Sippy Cap Set",50
"baby accessories","Philips Avent BPA Free Natural Fast Flow Nipple",47
"baby accessories","Sky Blue Baby Bottle With Silicon Sleeve",41
"baby accessories","Graduates Kiddy Cutlery Forks",38
"baby accessories","Graduates 7+ Months Bunch A Bowls With Lids",35
"baby accessories","Deluxe Nail Clippers With Magnifier",35
"baby accessories","Natural Shape Orthodontic Pacifiers",28
"baby accessories","Cleaning Brush Set",27
"baby accessories","HPA Lanolin",21
"baby accessories","Kiddy Cutlery",21
"baby accessories","6-18 Months Natural Shape Orthodontic Silicone Pacifier",17
"baby accessories","Bottle & Nipple Brush Set",6
