Aisles,Product,amountBought
"baby bath body care","Unscented Pure Castile Soap",4500
"baby bath body care","Calming Shampoo & Bodywash",3914
"baby bath body care","All-One Baby Unscented Pure-Castile Bar Soap",3521
"baby bath body care","Head-to-Toe Baby Wash",3270
"baby bath body care","Baby Shampoo & Body Wash",3208
"baby bath body care","Calendula Baby Diaper Care",2944
"baby bath body care","Baby Bee Shampoo and Wash",2767
"baby bath body care","Baby Wash & Shampoo",2563
"baby bath body care","Lavender Lullaby Soap",2509
"baby bath body care","Super Sensitive Shampoo & Bodywash",2413
"baby bath body care","6-18 Months Ultra Soft Toothbrush",2363
"baby bath body care","No More Tears Baby Shampoo",2300
"baby bath body care","Baby Shampoo",2213
"baby bath body care","Everyday Shea Lemon & Lavender Shampoo & Body Wash For Babies & Up",2060
"baby bath body care","Baby Oil",2020
"baby bath body care","Baby Bubble Bath",1913
"baby bath body care","Kids Very Emollient Sunscreen SPF 45",1466
"baby bath body care","Baby Bee Bubble Bath -",1349
"baby bath body care","Baby Bee Face & Hand Cloths",1327
"baby bath body care","Spf 30 Baby Sunscreen Cream",1295
"baby bath body care","Eucalyptus Mint Bubble Bath",1228
"baby bath body care","No More Tangles Detangling Spray",1219
"baby bath body care","Shampoo & Wash",1157
"baby bath body care","Strawberry & Banana Toddler Toothpaste",1150
"baby bath body care","Honest Diaper Rash Cream rapid relief",1103
"baby bath body care","Head To Toe Baby Wash",1092
"baby bath body care","Baby Bedtime Bath",1088
"baby bath body care","Kids Only! Extra Gentle Shampoo",1009
"baby bath body care","Oatmilk Calendula Moisturizing Baby Shampoo & Wash",994
"baby bath body care","Multi-Purpose Un-Petroleum Jelly",964
"baby bath body care","Bubble Bath Gentle for Babies & Up Coconut Strawberry",952
"baby bath body care","Fresh Scent Gentle Saline Wipes for Stuffy Noses",951
"baby bath body care","Baby Shampoo With Lavender",854
"baby bath body care","Petroleum Jelly Alternative",840
"baby bath body care","Everyday Shea Lemon & Lavender Conditioner & Detangler For Babies And Up",837
"baby bath body care","Over Tired and Cranky Bubble Bath",828
"baby bath body care","Baby Lotion",826
"baby bath body care","Calming Hair Conditioner",800
"baby bath body care","Wash & Shampoo Baby Bath",755
