Aisles,Product,amountBought
"baby food formula","Baby Food Stage 2 Blueberry Pear & Purple Carrot",93236
"baby food formula","Spinach Peas & Pear Stage 2 Baby Food",84843
"baby food formula","Broccoli & Apple Stage 2 Baby Food",73399
"baby food formula","Gluten Free SpongeBob Spinach Littles",70422
"baby food formula","Kids Sensible Foods Broccoli Littles",63952
"baby food formula","Organic Mixed Berry Yogurt & Fruit Snack",59931
"baby food formula","Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food",58547
"baby food formula","Peach,  Apricot & Banana Stage 2 Baby Food",56228
"baby food formula","Organic Pears, Peas and Broccoli Puree Stage 1",53641
"baby food formula","Organic Strawberry Yogurt & Fruit Snack",52201
"baby food formula","Baby Food Stage 2 Pumpkin Banana",46909
"baby food formula","Happy Baby Spinach, Mango, and Pear Baby Food",46063
"baby food formula","Apple and Carrot Stage 2 Baby Food",45466
"baby food formula","Organic Stage 4 Spinach Mango & Pear Baby Food",44303
"baby food formula","Pear & Mango Stage 2 Baby Food",43130
"baby food formula","Organic Stage 4 Green Bean Pear & Pea Baby Food",43026
"baby food formula","Organic Whole Grain Oatmeal Cereal Baby Food",40493
"baby food formula","Kale & Spinach Superfood Puffs",40438
"baby food formula","Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods",40269
"baby food formula","Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food",37774
"baby food formula","Organic Stage 2 Peaches & Bananas Baby Food",35444
"baby food formula","Apples, Kale & Avocados Organic Baby Food",35019
"baby food formula","Apples + Strawberries Organic Nibbly Fingers",34830
"baby food formula","Strawberry Puffs",34784
"baby food formula","Organic Sweet Potato Puffs",34335
"baby food formula","Stage 2 Sweet Potato Corn & Apple Baby Food",33878
"baby food formula","Organic Fiber & Protein Pear Blueberry & Spinach Baby Food",33659
"baby food formula","Banana & Mango Organic Yogurt & Fruit SnacksÂ ",33371
"baby food formula","Organic Strawberry Banana Fruit Yogurt Smoothie",33264
"baby food formula","Stage 1 Apples & Strawberries Organic Pureed Baby Food",32704
"baby food formula","Organic Banana Blueberry Baby Food Puree",32268
"baby food formula","Organic Stage 3 Pear Carrot Apricot Baby Food",32027
"baby food formula","Organic Stage 2 Broccoli Pears & Peas Baby Food",31467
"baby food formula","Sunny Days Strawberry Snack Bars",30344
"baby food formula","Organic Apples, Carrots and Parsnips Puree",29559
"baby food formula","Organic Go Go Apple Peach Applesauce",29328
"baby food formula","First Prunes",29216
"baby food formula","Organic Sunny Days Apple Snack Bars",28329
"baby food formula","Pears, Kale & Spinach Organic Baby Food",28296
"baby food formula","Stage 1 - Just Prunes",28232
"baby food formula","Squash & Sweet Peas Stage 2",27937
"baby food formula","Organic Atage 3 Nibbly Fingers Mangoes Carrots",27532
"baby food formula","Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",27366
"baby food formula","Wholesome Breakfast Blueberry Banana",27253
"baby food formula","Little Yums Spinach, Apple, and Kale Teething Wafers",26892
"baby food formula","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",26335
"baby food formula","Organic Stage 2 Carrots Baby Food",25282
"baby food formula","Organic Apple & Butternut Squash Baby Food",23916
"baby food formula","Organic Baby Food Banana Beet & Blueberry",23912
"baby food formula","Blueberry Beet & Brown Rice Cakes",23704
"baby food formula","Super Foods/Organic Apples, Spinach, Peas & Broccoli + Super Chia Snack Pouch",23195
"baby food formula","Pumpkin & Spinach Stage 2 Baby Food",23175
"baby food formula","Pear Kiwi & Kale Baby Food",23127
"baby food formula","Apples, Pumpkin & Carrots Organic Baby Food",22705
"baby food formula","Bananas, Raspberries & Oats Organic Baby Food",22692
"baby food formula","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",22612
"baby food formula","Apples, Guavas & Beets Organic Baby Food",22525
"baby food formula","Apple Peach Oatmeal Stage 2",21733
"baby food formula","Carrot and Broccoli Baby Food Puree",21600
"baby food formula","Sweet Potatoes Stage 2",21228
"baby food formula","Banana, Peach and Mango Fruit Pouch",21039
"baby food formula","Organic Banana Puffs",20760
"baby food formula","Strawberry and Banana Fruit Puree",20668
"baby food formula","Little Yums Pumpkin and Banana Teething Wafers",20028
"baby food formula","Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack",19911
"baby food formula","Vegetable Turkey Dinner Stage 2",19051
"baby food formula","Butternut Squash Pear Stage 2 Baby Food",18904
"baby food formula","Blueberry Oats and Quinoa Whole Grain Snack",18787
"baby food formula","Superfoods Organic Pears, Blueberries & Beets + Super Chia Fruit & Veggie Blend",18020
"baby food formula","Just Mangos Organic Baby Food",17997
"baby food formula","Organic Letter of the Day Oatmeal Cinnamon Cookies",17984
"baby food formula","Broccoli, Kale & Cheddar Cheese Organic Veggie Snack",17863
"baby food formula","Baby Food Pears Squash",17270
"baby food formula","Stage 2 Spinach, Apple & Kale",17235
"baby food formula","Apples & Blueberries Stage 2 Baby Food",17220
"baby food formula","Sweet Potato Apple Stage 2 Baby Food",17047
"baby food formula","Kale, Apple & Mango Pouch",17015
"baby food formula","Sweet Potato & Chicken Dinner",16969
"baby food formula","Organic Fruit Yogurt Smoothie Mixed Berry",16889
"baby food formula","Baby Food Pouch - Roasted Carrot Spinach & Beans",16599
"baby food formula","Organic Mashups Mixed Berry",16329
"baby food formula","Organic Infant Formula With Iron",16177
"baby food formula","Whole Grain Rice Cereal",15740
"baby food formula","Organic Apple Raisin & Quinoa Stage 2 Baby Food",15700
"baby food formula","Baby Mum-Mum Organic Rice Rusks Original",15683
"baby food formula","Stage 2 Pear Pumpkin Baby Food",15613
"baby food formula","Tender Chicken & Stars Stage 3",15446
"baby food formula","Organic Stage 2 Pears Baby Food",15406
"baby food formula","Organic Stage 2 Winter Squash Baby Food Puree",15310
"baby food formula","Apple Blueberry Fruit Yogurt Smoothie",15282
"baby food formula","Purple Carrot & blueberry Puffs",15178
"baby food formula","Organic Stage 3 Pumpkin Cranberry Apple Baby Food",14975
"baby food formula","Mighty 4 Essential Tots Spinach, Kiwi, Barley & Greek Yogurt Nutrition Blend",14946
"baby food formula","Organic Stage 1 First Peas Baby Food",14739
"baby food formula","Organic Stage 2 Pears & Mangos Baby Food",14662
"baby food formula","Zucchini Banana & Amaranth Organic Baby Food",14464
"baby food formula","Stage 3 Hearty Meals - Chick Chick Organic Baby Food",14459
"baby food formula","Organic Stage 1 First Sweet Potatoes",14296
"baby food formula","Organic Stage 3 Zucchini Broccoli Medley Baby Food",14181
"baby food formula","Stage 1 Just Butternut Squash Baby Food",14135
"baby food formula","Baby Food Pouch - Butternut Squash, Carrot & Chickpea",14019
"baby food formula","Apple Puffs Finger Foods",13877
"baby food formula","Banana & Sweet Potato Organic Teething Wafers",13847
"baby food formula","Peter Rabbit Organic Pea Spinach & Apple Puree Snack",13756
"baby food formula","Blueberry & Purple Carrot Teething Wafers",13598
"baby food formula","Banana Raspberry & Brown Rice Stage 2",13288
"baby food formula","Just Sweet Potato Baby Food",13195
"baby food formula","Baby Food Stage 2 Raspberry Spinach & Greek Yogurt",13187
"baby food formula","Peter Rabbit Organics Kale Broccoli and Mango PurÃ©e",13138
"baby food formula","Berry & Barley Organic Baby Food",12974
"baby food formula","Love My Veg Banana, Beet, Squash, Blueberry",12904
"baby food formula","Stage 1 Just Peaches Baby Food",12892
"baby food formula","Hot Kid Organic Baby Mum-Mum Original Rice Rusks",12867
"baby food formula","Kiwi Spinach Peas & Green Apple",12775
"baby food formula","Organic Freeze-Dried Mango",12718
"baby food formula","Organic Baby Foods Whole Grain Multi-Grain Cereal",12409
"baby food formula","Organic Pear Mango Fruit Yogurt Smoothie",12373
