Aisles,Product,amountBought
"bakery desserts","Muffins, Mini, Flax, Chocolate Brownie",21046
"bakery desserts","Vegan Chocolate Chip Mini Muffins",12250
"bakery desserts","Angel Food Cake",10257
"bakery desserts","Vanilla Cupcakes",9102
"bakery desserts","Oatmeal Chocolate Chip Bite-Lettes",8085
"bakery desserts","Caramel Sea Salt Macaroons",6935
"bakery desserts","Chocolate Miracle Tart",6277
"bakery desserts","Apple Pie",6268
"bakery desserts","Pumpkin Pie",6210
"bakery desserts","Meyer Lemon Miracle Tart",5698
"bakery desserts","Carrot Cake Slice",5115
"bakery desserts","Double Chocolate Cake",4762
"bakery desserts","Iced Lemon Pound Cake",4322
"bakery desserts","Gluten Free Vegan Chocolate Chip Cookie Dough Macaroons",4222
"bakery desserts","Cookie Tray",4052
"bakery desserts","Cranberry Almond Chicken Salad",3780
"bakery desserts","New York Cheesecake Slice",3398
"bakery desserts","Gluten Free Vegan Penguinos Cupcakes",3294
"bakery desserts","Gluten Free Dark Chocolate Brownie Bites",2974
"bakery desserts","9"" Apple Pie",2907
"bakery desserts","Gluten Free Soft & Chewy Snicker Doodle Cookies",2879
"bakery desserts","Snickerdoodle Cookies",2793
"bakery desserts","Chocolate Chip Cookie DO Bites",2743
"bakery desserts","Oatmeal Raisin Bite-lettes",2601
"bakery desserts","Glazed Buttermilk Doughnuts",2549
"bakery desserts","Soft Baked Cookies Gingerbread Spice",2421
"bakery desserts","Marble Pound Cake",2356
"bakery desserts","Lemon Cupcakes",2315
"bakery desserts","Chocolate Cupcakes",2260
"bakery desserts","Oregon Oatmeal Cookies",2175
"bakery desserts","Wheat & Gluten Free Snickerdoodle Cookies",2144
"bakery desserts","Bread Original Crumpet",1914
"bakery desserts","Cherry Pie",1819
"bakery desserts","8 Inch Pumpkin Pie",1743
"bakery desserts","Sea Salt Brownies",1675
"bakery desserts","Brownie Bites, Petite",1652
"bakery desserts",Crostini,1618
"bakery desserts","Glazed Donuts",1587
"bakery desserts","Fresh Fruit Tart",1534
"bakery desserts","9"" Pumpkin Pie",1527
"bakery desserts","Homestyle Chocolate Babka",1525
"bakery desserts","Almond & Dark Chocolate Toffee Wafers",1512
"bakery desserts","Lemon Sliced Loaf Cake",1511
"bakery desserts","New York Cheesecake",1503
"bakery desserts","Double Chocolate Pound Cake",1469
"bakery desserts","Cheese Danish Twist",1452
"bakery desserts","Butter Pound Cake",1440
"bakery desserts",Cheesecake,1417
"bakery desserts","9"" Cherry Pie",1399
"bakery desserts","Lemon Bars",1396
"bakery desserts","Apple Strudel Bites",1350
"bakery desserts","Mini Chocolate Chip Cookies",1341
"bakery desserts","Honey Pecan English Tea Scones",1336
"bakery desserts","School Safe Chocolate Chip Cookie Bars",1294
"bakery desserts","Marble Sliced Loaf Cake",1233
"bakery desserts","Rice Pudding",1157
"bakery desserts","Bakery Gourmet Mini Lemon Bites",1114
"bakery desserts","Cheesecake, Chocolate Truffle",1114
"bakery desserts","Traditional Madeleines",1089
"bakery desserts","School Safe Chocolate Cupcakes",1082
"bakery desserts","Birthday Cake",1060
"bakery desserts","Molasses Clove Cookies",1042
"bakery desserts","Pecan Pie",994
"bakery desserts","Madeleine & Brownie Duet Bites",973
"bakery desserts","Chocolate Filled Brioche",967
"bakery desserts","Pop'ettes Rich Frosted Donuts",960
"bakery desserts","Gluten Free Red Velvet & Tuxedo Cupcake Duo",955
"bakery desserts","Chocolate Cream Pie",930
"bakery desserts","8 Inch Lemon Meringue Pie",911
"bakery desserts","8"" Apple Pie",890
"bakery desserts","Two-Bite Chocolate Cupcakes",881
"bakery desserts","Chocolate Cake",855
"bakery desserts","Double Chocolate",854
"bakery desserts","Blueberry Pie",852
"bakery desserts","Coconut Macaroons",851
"bakery desserts","School Safe Vanilla Cupcakes",846
"bakery desserts","Apple Turnovers",845
"bakery desserts","Colossal Chocolate Chip Cookie",814
"bakery desserts","Horns A Plenty Pastries",804
"bakery desserts","Frosted Sugar Cookies",796
"bakery desserts","Chocolate Frosted Donuts",772
"bakery desserts","Caramel Pecan Brownies",767
"bakery desserts","Small Cherry Pie",741
"bakery desserts","Red Velvet Cupcakes",734
"bakery desserts",Tiramisu,717
"bakery desserts","Louisiana Crunch Cake",710
"bakery desserts","Two-Bite Brownies",705
"bakery desserts","Lady Fingers",704
"bakery desserts","Coffee Cake Bites",697
"bakery desserts","Jumbo Marshmallows",682
"bakery desserts","Orange Poppy Pound Cake",665
"bakery desserts","Raspberry Coffee Cake",659
"bakery desserts","Mint Chocolate Chip Cookies",654
"bakery desserts","Cinnamon Babka",650
"bakery desserts","Peanut Butter Cookies",643
"bakery desserts","Strawberry Parfait",640
"bakery desserts","Cherry Turnover",629
"bakery desserts","No Sugar Added New York Cheesecake",627
"bakery desserts","Vanilla Pound Cake",626
"bakery desserts","Creme Brulee",625
"bakery desserts","Tuna Fillets With Jalapeno",623
"bakery desserts","Red Velvet Cake Slice",607
"bakery desserts","Sugar Cookies",594
"bakery desserts","Blueberry Cinnamon Bread",588
"bakery desserts","Gluten Free  Chocolate Chip Muffins",579
"bakery desserts","Almond Bark",563
"bakery desserts","Ginger Cookie",562
"bakery desserts","Donut Sticks",558
"bakery desserts","Cheddar Cheese Flavor Freshly Popped Rice Cakes",551
"bakery desserts","Gourmet Cupcakes Triple Chocolate Filled With Rich Chocolate Fudge",549
"bakery desserts","Half Pumpkin Pie",531
"bakery desserts","Raisin Snail Pastries",530
"bakery desserts","Banana Cream Pie",517
"bakery desserts","8"" Pumpkin Pie",517
"bakery desserts","Chocolate Filled Crepe",509
"bakery desserts","Assorted Cupcakes",506
"bakery desserts","Chocolate Chunk Brownies",499
"bakery desserts","6"" Apple Pie",492
"bakery desserts","Gourmet Red Velvet Cupcakes, Real Cream Cheese Filled",477
"bakery desserts","Vanilla Polar Bear Cupcakes Gluten Free",475
"bakery desserts","Coffee Cake",464
"bakery desserts","9"" Strawberry Rhubarb Pie",463
"bakery desserts","Iced Carrot Pound Cake",455
"bakery desserts","Brownie Bliss",448
"bakery desserts","Iced Lemon Cake Slice",444
"bakery desserts","Milk Chocolate Pretzel",443
"bakery desserts","Vanilla Cupcake",440
"bakery desserts","8"" Cherry Pie",438
"bakery desserts","Red Velvet Creme Cake",437
"bakery desserts","Pecan Pie Half",437
"bakery desserts","German Chocolate Cake Slice",429
"bakery desserts","Gourmet Chocolate Chunk Cookies",428
"bakery desserts","Gourmet Cupcakes Filled With Sweet Vanilla Creme",428
"bakery desserts","Gluten Free Brownie Bites",427
"bakery desserts","Classic Crumb Cake",384
"bakery desserts","Chocolate Cupcake",381
"bakery desserts","Peruvian Raw Cacao-Nectar Fudge",374
"bakery desserts","Vanilla Marshmallows",367
"bakery desserts","Red Velvet Cupcake",367
"bakery desserts","Oran Poppyseed Pound Cake",363
"bakery desserts","Very Berry Cheesecake",354
"bakery desserts","Caramel Sea Salt Squares",350
"bakery desserts","Mini Lemon Bites",343
"bakery desserts","Cake, Lemon",340
"bakery desserts","Mini Apple Pie Pre Priced $3.99",339
"bakery desserts",Apple,339
"bakery desserts","Oregon Peppermint Cacao-Nectar Bar",332
"bakery desserts","Chocolate Eclair",330
