Aisles,Product,amountBought
"baking ingredients","Light Brown Sugar",132044
"baking ingredients","Organic Vanilla Extract",95555
"baking ingredients","Organic Unbleached All-Purpose Flour",88767
"baking ingredients","Cane Sugar",84281
"baking ingredients","Pure Baking Soda",75930
"baking ingredients","100% Pure Pumpkin",75699
"baking ingredients","Premium Pure Cane Granulated Sugar",70302
"baking ingredients","Organic Cane Sugar",55313
"baking ingredients","Semi-Sweet Chocolate Premium Baking Chips",52407
"baking ingredients","Unbleached All-Purpose Flour",46254
"baking ingredients","All Purpose Flour",45442
"baking ingredients","Almond Meal/Flour",43916
"baking ingredients","Active Dry Yeast",43848
"baking ingredients","Organic Shredded Unsweetened Coconut",43467
"baking ingredients","Organic Pumpkin",43355
"baking ingredients","Baking Powder",40774
"baking ingredients","Toll House Semi-Sweet Chocolate Morsels",39867
"baking ingredients","Pure Granulated Cane Sugar",38510
"baking ingredients","Semi-Sweet Mini Chocolate Chips",36511
"baking ingredients","Organic Powdered Sugar",36348
"baking ingredients","Coconut Flakes",35583
"baking ingredients","60% Cacao Bittersweet Premium Baking Chips",34690
"baking ingredients","Natural Cane Turbinado Sugar",31890
"baking ingredients","Organic Pumpkin Puree",29420
"baking ingredients","Pure Vanilla Extract",29191
"baking ingredients","Semisweet Chocolate Chips",27482
"baking ingredients","Sliced Almonds",26632
"baking ingredients","Classic Air-Puffed Vanilla Flavored Marshmallows",24207
"baking ingredients","Extra Dark Chocolate Baking Chips",23724
"baking ingredients","Unsweetened Cocoa Powder",22881
"baking ingredients","No Calorie Sweetener Packets",22617
"baking ingredients","Bread Crumbs",21868
"baking ingredients","Jet Puffed Miniature Marshmallows",21752
"baking ingredients","Dark Brown Sugar",21402
"baking ingredients","Jet-Puffed Marshmallows",19480
"baking ingredients","Fridge and Freezer Baking Soda Pack",19145
"baking ingredients","Zero Calorie Sweetener",18634
"baking ingredients","Corn Starch",18174
"baking ingredients","Granulated White Cane Sugar",17461
"baking ingredients","Pure Dark Brown Cane Sugar",16688
"baking ingredients","Pure Cane Granulated White Sugar",16569
"baking ingredients","Natural Vanilla Marshmallows",16558
"baking ingredients","Toll House Semi Sweet Chocolate Mini Morsels Chips",16355
"baking ingredients","Unbleached Bread Flour",16082
"baking ingredients","Cacao Powder",15982
"baking ingredients","NaturÐµ's Calorie-Free Sweetener",15965
"baking ingredients","Organic Evaporated Milk",15942
"baking ingredients","Pure Cane Confectioners Powdered Sugar",15730
"baking ingredients","Vitamin D Added Evaporated Milk",15722
"baking ingredients","Organic Dark Brown Sugar",15488
"baking ingredients","Dark Chocolate Morsels",15293
"baking ingredients","Organic Traditional 9"" Pie Shells 2 ct",15256
"baking ingredients","Organic High Fiber Coconut Flour",14797
"baking ingredients","Nature's Calorie-Free Sweetener",14581
"baking ingredients","Pure Cane Golden Brown Sugar",14266
"baking ingredients","Whole Ground Flaxseed Meal",13290
"baking ingredients","Golden Brown Pure Cane Sugar",12867
"baking ingredients","Organic Blonde Coconut Palm Sugar",12803
"baking ingredients","Double Acting Baking Powder",12711
"baking ingredients","Coconut Sugar Pure & Unrefined",12386
"baking ingredients","Gluten Free Flour",12270
"baking ingredients","Pure Cane Confectioners 10-X Powdered Sugar",12116
"baking ingredients","Organic Whole Wheat Flour",11876
"baking ingredients","Classic Vanilla Flavor Marshmallow Minis",11624
"baking ingredients","100% Pure Corn Starch",11337
"baking ingredients","Natural Vanilla Miniature Marshmallows",11301
"baking ingredients","Organic Sweetened Condensed Milk",10963
"baking ingredients","Madagascar Pure Vanilla Extract",10843
"baking ingredients","Baking Soda",10600
"baking ingredients","3D White Arctic Fresh Toothpaste",10465
"baking ingredients","Toll House Milk Chocolate Morsels",10321
"baking ingredients","White Chocolate Baking Chips",10092
"baking ingredients","Organic Sweet Potato Puree",9963
"baking ingredients","Organic Turbinado, Raw Cane Sugar",9950
"baking ingredients","Pure Madagascar Vanilla Extract",9858
"baking ingredients","Milk Chocolate baking Chips",9796
"baking ingredients","Granulated Sugar",9481
"baking ingredients","Semi Sweet Chocolate Mega Chunks Dairy Nut & Soy Free",8995
"baking ingredients","Evaporated Milk",8950
"baking ingredients","Organic All Vegetable Shortening",8930
"baking ingredients","Arrowroot Starch/Flour",8922
"baking ingredients","Stone Ground Garbanzo Bean Flour",8862
"baking ingredients","Turbinado Cane Sugar Packets",8810
"baking ingredients","Organic Unbleached Bread Flour",8758
"baking ingredients","Organic Corn Starch",8746
"baking ingredients","Aluminum Free Baking Powder",8699
"baking ingredients","Organic Light Brown Sugar",8683
"baking ingredients","Unsweetened 100% Cocoa",8646
"baking ingredients","Condensed Milk, Sweetened, Full Cream",8119
"baking ingredients","Baking Powder Aluminum-Free",8036
"baking ingredients","Whole Wheat Flour",7959
"baking ingredients","Organic Coconut Palm Sugar",7906
"baking ingredients","Finely Ground Natural Almond Meal",7885
"baking ingredients","Carnation Sweetened Condensed Milk",7841
"baking ingredients","Cornmeal Medium Grind",7730
"baking ingredients","Flaxseed Meal, Whole Ground",7565
"baking ingredients","Organic Polenta Corn Grits",7549
"baking ingredients","Stevia Extract Packets",7530
"baking ingredients","Pure Cane Light Brown Sugar",7479
"baking ingredients","Powdered Confectioners Sugar",7426
"baking ingredients","Cake Blend Unbleached Flour",7346
"baking ingredients","Organic Almond Extract",7208
"baking ingredients","Baking Chopped Pecans",7162
"baking ingredients","Organic Cornstarch",7100
"baking ingredients","Toll House Dark Chocolate Morsels",7061
"baking ingredients","Multi-Purpose Gluten Free Flour",6892
"baking ingredients","Semi-Sweet Chocolate Morsels",6621
"baking ingredients","Calorie Free Sweetener",6555
"baking ingredients","Sugar, Organic",6534
"baking ingredients","Organic Coconut Flour",6514
"baking ingredients","Dairy Free Semi Sweet Baking Chips",6417
"baking ingredients","Shredded Coconut Unsweetened",6407
"baking ingredients","Eagle Brand Sweetened Condensed Milk",6398
"baking ingredients","Unbleached All Purpose Flour",6186
"baking ingredients","Pure Cane Dark Brown Sugar",6076
"baking ingredients","100% Natural Sweetener Zero Calorie Packets",6044
"baking ingredients","100% Organic Unbleached All-Purpose Flour",5991
"baking ingredients","Brown Sugar Cubes",5969
"baking ingredients","Muffin Mix, Almond Flour, Banana",5842
"baking ingredients","Mini Marshmallows",5646
"baking ingredients","Semi Sweet Chocolate Chips",5570
"baking ingredients","100% Organic Premium Whole Wheat Flour",5548
"baking ingredients","Baker's Pure Cane Ultrafine Sugar",5501
"baking ingredients","Vanilla Extract, Pure, Madagascar",5496
"baking ingredients","Cacao Sweet Raw Chocolate Nibs",5463
"baking ingredients","Organic Baking Cocoa",5447
"baking ingredients","Premium Quality Cornstarch",5432
"baking ingredients","Semolina Flour",5313
"baking ingredients","Nestle Toll House Premier White Chocolate Morsels",5162
"baking ingredients","Bittersweet Chocolate Chips",5152
"baking ingredients","Flaked Coconut Unsweetened",5091
"baking ingredients","Wheat Germ",5020
"baking ingredients","RapidRise Yeast",5018
"baking ingredients","Natural Sweetener",5015
"baking ingredients","100% Whole Grain Whole Wheat Flour",4960
"baking ingredients","Toll House Real Semi-Sweet Chocolate Morsels",4958
"baking ingredients","Organic Mint Confetti Ice Cream",4905
"baking ingredients","Angel Flake Sweetened Coconut",4766
"baking ingredients","Organic Gluten Free Yellow Cornmeal",4741
"baking ingredients","Organic Vanilla Frosting",4705
"baking ingredients","Rapid Rise Fast Acting Instant Yeast",4553
"baking ingredients","Premium Baking Chips Milk Chocolate",4539
"baking ingredients","Organic Spelt Flour",4476
"baking ingredients","100% Whole Grain White Whole Wheat Flour",4415
"baking ingredients","Organic Sugar",4406
"baking ingredients","All-Purpose Flour",4376
"baking ingredients","Sweetened Condensed Milk",4351
"baking ingredients","Classic White Premium Baking Chips",4348
"baking ingredients","Whole Grain Oat Flour",4341
"baking ingredients","Pure Cane Granulated W/Spout Sugar",4290
"baking ingredients","Pure Vanilla Extract Madagascar Bourbon",4259
"baking ingredients","Masa Harina Golden Corn Flour",4217
"baking ingredients","Organic Pumpkin Pie Mix",4192
"baking ingredients","Unmodified Potato Starch",4190
"baking ingredients","Gluten Free Almond Flour",4043
"baking ingredients","Organic Enriched Unbleached White Flour",3942
"baking ingredients","Organic Stevia Packets",3916
"baking ingredients","Baking Bar Ghirardelli 60% Cacao",3853
"baking ingredients","Whole Pine Nut",3848
"baking ingredients","Pure Cane Individual Packets Sugar",3789
"baking ingredients","Brownie Scratch Baking Mix",3784
"baking ingredients","Stone Ground White Rice Flour",3740
"baking ingredients","Unsweetened 100% Cacao Baking Chocolate",3712
"baking ingredients","Semi-Sweet Chocolate Chips",3675
"baking ingredients","Gluten Free Baking Flour",3632
"baking ingredients","Original 0 Calorie Sweetener Packets 115 Count",3628
"baking ingredients","Organic Reduced Fat Unsweetened Shredded Coconut",3552
"baking ingredients","Organic Stevia",3531
"baking ingredients","Packets No Calorie Sweetener",3521
"baking ingredients","Turbinado Cane Sugar",3506
"baking ingredients","100% Whole Ground Organic Golden Flaxseed Meal",3496
"baking ingredients","All Natural Cocoa Powder Unsweetened",3459
"baking ingredients","100% Cacao Unsweetened Chocolate Baking Bar",3420
"baking ingredients","Reese's Peanut Butter Chips",3372
"baking ingredients","ActiveDry Yeast",3287
"baking ingredients","Oat Flour, Organic",3277
"baking ingredients","Organic Buckwheat Flour",3203
"baking ingredients","All-Vegetable Shortening Baking Sticks",3172
"baking ingredients",Flour,3169
"baking ingredients","Muffin & Cake Mix, Almond Flour, Chocolate",3119
"baking ingredients","La Lechera Sweetened Condensed Milk, Fat Free",3119
"baking ingredients","Wholesome Organic Powdered Sugar",3081
"baking ingredients","Fine Granulated Sugar",3031
"baking ingredients","Low Fat 2% Evaporated Milk",3004
"baking ingredients","Shortening, All-Vegetable",2984
"baking ingredients","Bread Machine Yeast",2977
"baking ingredients","Chocolate Semi Sweet Mini Chips",2967
"baking ingredients","Xanthan Gum",2859
"baking ingredients","Raw Cacao Powder",2801
"baking ingredients","Whole Grain Stone Ground Brown Rice Flour",2753
"baking ingredients","Oat Flour, Whole Grain",2694
"baking ingredients","100% Organic Unbleached White Whole Wheat Flour",2674
"baking ingredients","100% Whole Grain Corn Meal",2627
"baking ingredients","Baking Bars, Gourmet, Bittersweet Chocolate",2616
"baking ingredients","Unsweetened Chocolate Baking Bar",2613
"baking ingredients","Caster Sugar",2610
"baking ingredients","Pure Almond Extract",2602
"baking ingredients","Sugar Substitute",2588
"baking ingredients","Organic Tapioca Starch",2556
"baking ingredients","Yellow Enriched & Degerminated Corn Meal",2556
"baking ingredients","1 to 1 Gluten Free Baking Flour",2555
"baking ingredients","Vegan Carob Chips",2493
"baking ingredients","Pure Cane Rough Cut Sugar Cubes",2394
"baking ingredients","Organic Raw Cacao Powder",2388
"baking ingredients","Pure Cane Sugar Cubes",2372
"baking ingredients",Marshmallows,2364
"baking ingredients","Organic Creamed Coconut",2329
"baking ingredients","Yellow Corn Meal",2314
"baking ingredients","Cake Flour",2275
"baking ingredients","Organic Brown Rice Flour",2250
"baking ingredients","Semi Sweet Baking Bar",2234
"baking ingredients","Unbleached Enriched All Purpose Flour",2216
"baking ingredients","Raw Cacao Nibs",2207
"baking ingredients","Semi-Sweet Baking Chocolate Bar",2200
"baking ingredients","Toasted Coconut Chips",2170
"baking ingredients","Organic Raw Shredded Coconut",2149
"baking ingredients","Organic Sprouted Spelt Flour",2142
"baking ingredients","Organic Superfood Coconut Flour Gluten-Free",2107
"baking ingredients","100% Organic Einkorn  All-Purpose Flour",2104
"baking ingredients","Quick Dissolve Superfine Pure Cane Sugar",2097
"baking ingredients","Raw Whole Flaxseed",2057
"baking ingredients","Xylitol Sweetener",2026
"baking ingredients","Organic Stone Ground Flour Whole Wheat",2019
"baking ingredients","Carnation Fat Free Evaporated Milk",1973
"baking ingredients","Non Fat Dry Milk Powder",1893
"baking ingredients","1-to-1 Baking Flour, Gluten/Wheat/Dairy Free",1891
"baking ingredients","Instant Corn Masa Flour",1863
"baking ingredients","Truvia Sweetener Packets",1831
"baking ingredients","Natural Raw Cane Turbinado Sugar",1821
"baking ingredients","Carnation Evaporated Milk",1801
"baking ingredients","Honey Maid Graham Cracker Crumbs",1793
"baking ingredients","Special Dark Cocoa",1790
"baking ingredients","Unbleached White All Purpose Organic Flour",1778
"baking ingredients","Quick-Rise Yeast for Bread Machines",1777
"baking ingredients","Milk Chocolate Chips",1762
"baking ingredients","Coarse Grind Cornmeal",1748
"baking ingredients","Original Toasted Wheat Germ",1735
"baking ingredients","Organic Cacao Powder",1716
"baking ingredients","Flour, All Purpose, Enriched, Bleached",1713
"baking ingredients","Pure Corn Starch",1713
"baking ingredients","Pure Cane Washed Raw Sugar",1701
"baking ingredients","SteviaClear Sweetener",1698
"baking ingredients","Pure Cane Granulated Sugar",1693
"baking ingredients","Organic Unbleached All Purpose Flour",1648
"baking ingredients","Demerara Cane Sugar Cubes",1643
"baking ingredients","Gluten Free Garbanzo & Fava Flour",1640
"baking ingredients","Cacao Nibs Raw Chocolate",1631
"baking ingredients","Bittersweet 60% Chocolate Baking Chips",1606
"baking ingredients","Corn Grits, Polenta",1603
"baking ingredients","Organic 55% Semi Sweet dark Chocolate Chips",1575
"baking ingredients","Unbleached Enriched Super-Fine Cake Flour",1569
"baking ingredients","Nutritional Yeast Flakes",1568
"baking ingredients","Organic Granulated Tapioca",1557
"baking ingredients","Bread Flour",1536
"baking ingredients","Berkshire Pork Lard",1535
"baking ingredients","Organic Red Palm & Coconut Shortening",1515
"baking ingredients","Chocolate Chips",1508
"baking ingredients","Golden Flaxseed",1505
"baking ingredients","Organic 65% Cacao Bittersweet Chocolate",1496
"baking ingredients",Cornstarch,1492
"baking ingredients","Bits o' Brickle Baking Chips",1476
"baking ingredients","Organic Unsweetened Dark Chocolate Baking Chips",1465
"baking ingredients","Unbleached Self Rising Flour",1464
"baking ingredients","Semi-Sweet Chocolate Baking Bars",1464
"baking ingredients","Akoma Extra Semisweet Chocolate Chips",1462
"baking ingredients","All-Purpose Unbleached Flour",1458
"baking ingredients","Sweetened Condensed Coconut Milk",1452
"baking ingredients","Vanilla Extract",1451
"baking ingredients","Coconut Sugar",1422
"baking ingredients","Semisweet Chocolate Super Cookie Chips",1409
"baking ingredients","Unprocessed Miller's Wheat Bran",1395
"baking ingredients","Morena Pure Cane Sugar",1395
"baking ingredients","Stevia, Organic",1372
"baking ingredients","Special Dark Chocolate Chips",1349
"baking ingredients","Extra Fine Flour",1346
"baking ingredients","Madagascar Bourbon Pure Vanilla Extract",1333
"baking ingredients","Easy Pumpkin Pie Mix",1321
"baking ingredients","Cocoa Rouge Unsweetened Cocoa Powder",1313
"baking ingredients","Organic Sprouted Whole Wheat Flour",1305
"baking ingredients","Pure Cane Sugar",1296
"baking ingredients","Organic White Cane Sugar",1295
"baking ingredients","Organic Stevia Powdered Sweetener Packets",1282
"baking ingredients","Cornmeal, Stone Ground",1273
"baking ingredients","Original Country Cherry Pie Filling & Topping",1247
"baking ingredients","Pure Cane Cubes Sugar",1242
"baking ingredients","Gluten Vital Wheat",1240
"baking ingredients","Pure Cane Sugar Packets",1233
"baking ingredients","Demerara Sugar",1227
"baking ingredients","Toll House Real Semi-Sweet Chocolate Chunks",1207
"baking ingredients","SweetLeaf Natural Stevia Sweetener Packets",1206
"baking ingredients","Peppermint Extract",1198
"baking ingredients","Sweet Drops Sweetener Vanilla Creme",1195
"baking ingredients","Brown Sugar Blend",1192
"baking ingredients","Organic Gluten Free Brown Rice Flour",1174
"baking ingredients","Original 0 Calorie Sweetener",1157
"baking ingredients","StackerMallows Marshmallows",1152
"baking ingredients","Shelled Pecans",1108
"baking ingredients","Organic Dark Rye Flour",1091
"baking ingredients","Unsweetened Carob Chips",1056
"baking ingredients","Baking Bar, 70% Bittersweet Chocolate",1054
"baking ingredients","Organic Unrefined Coconut Sugar",1045
"baking ingredients","Reduced Sodium Aluminum-Free Baking Powder",1038
"baking ingredients","Instant Yeast",1036
"baking ingredients","Baking Blend",1023
"baking ingredients","Wondra Quick Mixing Flour",1021
"baking ingredients","Hazelnut Meal/Flour Finely Ground",1013
"baking ingredients","Organic Whole Grain Quinoa Flour",1011
"baking ingredients","Pure Lemon Extract",1009
"baking ingredients","Organic Brown Sugar",1006
"baking ingredients","Self-Rising Flour",1003
"baking ingredients","Organic Unsweetened Cocoa",1001
"baking ingredients","Whole Grain Teff",994
"baking ingredients","Peppermint Flavor",991
"baking ingredients","100% Stone Ground Whole Wheat Organic Flour",958
