Aisles,Product,amountBought
beauty,"Organic Cotton Balls",9972
beauty,"Cotton Rounds",4470
beauty,"Jumbo Cotton Balls",4253
beauty,"Nail Polish Remover",3425
beauty,"Triple Size Cotton Balls",1638
beauty,"Strengthening Nail Polish Remover",1500
beauty,"Soothing Hydro Serum Facial Mask",1119
beauty,"100% Cotton Rounds",1063
beauty,"Non Acetone Nail Polish Remover",908
beauty,"Pouf Bath Sponge",861
beauty,"Instant Brightening Facial Mask",858
beauty,"Instant Soothing Facial Mask",838
beauty,"Clarifying Hydro Serum Facial Mask",803
beauty,"100% Cotton Swabs",737
beauty,"Instant Age Defying Facial Mask",699
beauty,"Clay Instant Luminous Facial Mask",695
beauty,"Perfect Fit Facial Tissue",686
beauty,"Micellar Makeup Remover Wipes",674
beauty,"Organic Naked Lip Balm",631
beauty,"Super Jumbo Size Cotton Balls",604
beauty,"Ecopouf Dual Cleansing Pad",571
beauty,"Oil-Free Eye Makeup Remover Pads",564
beauty,"The Best Lip Balm Ever",511
beauty,"Shower Poof",484
beauty,"Instant Clarity Clay Facial Mask",472
beauty,"Natural Body Brush",454
beauty,"Cotton Squares",422
beauty,"Makeup Remover Face Wipe",390
beauty,"Oil-Free Gentle Eye Makeup Remover",375
beauty,"Target Exclusive Aloe Love Cleansing Cloths",363
beauty,"Mongo Kiss Vanilla Lip Balm",355
beauty,"Volumizing Mascara Jet",340
beauty,"Very Black Washable Mascara",327
beauty,"Purifying, 2-in-1 Charcoal Mask",320
beauty,"Eye Liner Black",305
beauty,"Voluminous Original Mascara - Blackest Black 310",284
beauty,"Voluminous Original Mascara - Carbon Black 335",279
beauty,"Makeup Remover Wet Cloths, 25 count  Female Skin Care",272
beauty,"Lash and Lid Make-Up Remover",268
beauty,"The Colossal Volume Express 230 Glam Black Washable Mascara",267
beauty,"Great Lash Big Washable Mascara - Blackest Black",263
beauty,"Great LashÂ®  Mascara - Blackest Black 100",253
beauty,"Everyday Coconut Mint Lip Balm",251
beauty,"Lemongrass Oil",249
beauty,"Triple-Action Foot Cream",244
beauty,"LashBlast Volume Mascara - Black 805",243
beauty,"Refreshing Lip Balm with Pink Grapefruit",241
beauty,"Slant-Tip Tweezers",240
beauty,"Purely Coconut Lip Balm",235
beauty,"Voluminous Original Mascara - Waterproof Black 360",231
beauty,"Rosehip & Rosewater Body Oil Mist",226
beauty,"Essential Oils Cheer Up ButterCup Uplifting Blend",222
beauty,"Perfect Point Plus Eye Liner - Black Onyx 200",219
beauty,"Oatmeal Facial Scrub",219
beauty,"Lengthening Mascara - Graphite",215
beauty,"Deluxe Toenail Clipper",199
beauty,"Square Tip Tweezers",196
beauty,"ColorStay 201 Black Eyeliner",191
beauty,"LashBlast Volume Mascara - Very Black 800",187
beauty,"Clean Freak Refreshing Unscented Dry Shampoo",184
beauty,"Sponge Cosmetic Wedges",183
beauty,"Lip Shimmer - Peony",181
beauty,"Longwear Eye Makeup Remover",181
beauty,"LashBlast Volume Waterproof Mascara - Very Black 825",178
beauty,"100% Pure Cotton Ovals",176
beauty,"Lip Shimmer - Fig",175
beauty,"Blackout Berry",174
beauty,"Fingernail Clipper",171
beauty,"Everyday Coconut Pineapple Lip Balm",163
beauty,"ColorStay Eyeliner - Black Brown",161
beauty,"Compact Emery Boards",161
beauty,"Nylon Bath Gloves",159
beauty,"Graduates Lil' Meals Pasta Stars With Chicken & Vegetables",158
beauty,"Liquid Wart Remover",155
beauty,"Perfect Point Plus Eye Liner - Espresso 210",154
beauty,"Advance Revival Nail Polish Remover",149
beauty,"Voluminous Million Lashes Mascara - Blackest Black 635",144
beauty,"Mini Slant Pocket Tweezer",143
beauty,"Cinnamon Cassia Oil",137
beauty,"Raven Liquid Eyeliner",129
beauty,"Creme Brulee Lip Therapy",128
beauty,"Black Mascara",127
beauty,"Brownish Black Great Lash Mascara",126
beauty,"Emery Boards",124
beauty,"Extra Gentle Eye Makeup Remover Pads",122
beauty,"100% Oil-Free Eye Makeup Remover",121
