Aisles,Product,amountBought
"beers coolers",Beer,28448
"beers coolers","India Pale Ale",17193
"beers coolers","Belgian White Wheat Ale",7339
"beers coolers","Little Sumpin' Sumpin' Ale",7039
"beers coolers","Premium Lager Beer",6875
"beers coolers",IPA,6863
"beers coolers","Belgium Beer",6270
"beers coolers","Amber Ale",5704
"beers coolers","Premium Belgian Lager",5416
"beers coolers",Lager,4763
"beers coolers","Variety Pack Hard Cider",4602
"beers coolers",Clara,4585
"beers coolers","Extra Beer Bottles",4554
"beers coolers","Pale Ale Beer",4486
"beers coolers","Crisp Hard Cider Crisp Apple",4060
"beers coolers","Sculpin IPA",3815
"beers coolers","Brewmaster's Seasonal Sampler",3744
"beers coolers","Longboard Island Lager",3521
"beers coolers","Lager Beer",3093
"beers coolers","Ale, India Pale, Brew Free! Or Die IPA",3054
"beers coolers","12 Oz Lager",2992
"beers coolers","Belgian White Beer",2801
"beers coolers","Brown Ale",2610
"beers coolers","Mixed 12 Pack Lion's Share Ale",2466
"beers coolers","Draught Beer",2184
"beers coolers","Original Belgian Wheat Beer",2164
"beers coolers","India Pale Ale Racer 5",2138
"beers coolers",Especial,2053
"beers coolers",Light,2047
"beers coolers","Belgian Style Wheat Ale",2030
"beers coolers","Scrimshaw Pilsner Style Beer",2012
"beers coolers","Imported Beer from Mexico",1822
"beers coolers",805,1816
"beers coolers","Extra IPA Beer",1814
"beers coolers","Blonde Ale",1688
"beers coolers","12 Oz Beer",1686
"beers coolers",Draught,1568
"beers coolers","Single Malt Scotch Whiskey",1537
"beers coolers","Beer Cans",1475
"beers coolers","Pale Ale",1467
"beers coolers","Summer Pack Variety Bottles",1456
"beers coolers","312 Urban Wheat Ale",1422
"beers coolers","Belgian Style White Beer",1354
"beers coolers","Bottled Imported Premium Light Lager Beer",1339
"beers coolers","Beer Especial",1319
"beers coolers","Folly Variety Bottles",1307
"beers coolers","Premium Beer",1277
"beers coolers","Premium Light Beer",1270
"beers coolers","Fresh Squeezed IPA",1232
"beers coolers","Belgian White",1225
"beers coolers","Boston Lager",1217
"beers coolers","Ksa Ko?Lsch Style Ale",1155
"beers coolers","Imported Light Beer",1150
"beers coolers","Lite Beer",1108
"beers coolers","Coronita Beer Extra",1023
"beers coolers","Extra Stout Beer",989
"beers coolers","Big Wave Golden Ale",980
"beers coolers","Old Rasputin Stout Beer",968
"beers coolers","Traditional Original Amber Lager",958
"beers coolers","Ale, Hop Stoopid",945
"beers coolers","Daisy Cutter Pale Ale",929
"beers coolers","Variety Pack Beer",900
"beers coolers","60 Minute IPA",894
"beers coolers","Mighty Dry Hard Cider",878
"beers coolers","Light Beer",875
"beers coolers","312 Urban Wheat",857
"beers coolers","Organic & Raw Grape Kombucha",839
"beers coolers","Draft Beer",794
"beers coolers","La Fin Du Monde Ale",793
"beers coolers","Racer 5 IPA",791
"beers coolers","Cold Activated Beer",763
"beers coolers","Big Daddy IPA",763
"beers coolers","Backyard Variety Hard Strawberry Lemonade Hard Lemonade Hard Cranberry & Passion Fruit Lemonade Hard Tropical Mango Lemonade",753
"beers coolers","Pub Ale",724
"beers coolers","Icelandic White Ale 6 Pack",711
"beers coolers",Pils,710
"beers coolers",Ultra,692
"beers coolers","Simtra Triple IPA",674
"beers coolers","Natural Hard Apple Cider",670
"beers coolers","Big Eye IPA",665
"beers coolers","90 Minute Imperial Ipa",653
"beers coolers","805 Blond Ale",650
"beers coolers","Premium Malt Beverage",649
"beers coolers","Ale, Amber",625
"beers coolers","Down To Earth IPA",612
"beers coolers","Non Alcoholic Amber Beer",603
"beers coolers","Hard Cider Crisp Apple",591
"beers coolers","Belgian Style Tripel Ale",573
"beers coolers","Dogtown Pale Ale",568
"beers coolers","Extra Beer",554
"beers coolers","Day Time Fractional IPA",551
"beers coolers","Hell or High Watermelon Wheat, Cans",544
"beers coolers","Apple Ale",531
"beers coolers","Arrogant Bastard Ale",524
"beers coolers","Gold Apple Hard Cider",523
"beers coolers","Smokestack Mixed Four",522
"beers coolers","Brooklyn Lager",497
"beers coolers","Villager Ipa",488
"beers coolers","Premium Full Beer",485
"beers coolers","Ruination Double India Pale Ale",477
"beers coolers","Grapefruit Radler",472
"beers coolers","XX Lager Especial",464
"beers coolers","Ale, Not Quite Pale, No. 9",460
"beers coolers","Non-Alcohoic Beer",448
"beers coolers","Usual Suspects Variety Ales @ Lagers",447
"beers coolers","Fat Tire Amber Ale - 12 CT",446
"beers coolers","Canned Beer",434
"beers coolers","Classic Cosmic Cranberry Kombucha",423
"beers coolers","Denogginizer Imperial IPA",423
"beers coolers","Light Beer Cans",412
"beers coolers","Dark Belgian Beer",410
"beers coolers","Ranger India Pale Ale Bottles",399
"beers coolers","Brother Thelonious",398
"beers coolers","Coronita Extra Beer Bottles",398
"beers coolers","Hefeweizen Beer",395
"beers coolers","All Day IPA",392
"beers coolers","Belgian Golden Ale",387
"beers coolers","Celebration Fresh Hop IPA/Seasonal",385
"beers coolers","Grapefruit Sculpin IPA",385
"beers coolers","Lager, Jamaican Style",380
"beers coolers","Bud Light Beer Cans",373
"beers coolers","Jamaican Style Lager",372
"beers coolers","Dales Pale Ale",372
"beers coolers","Chicago Craft Variety Case",371
"beers coolers","Non Alcoholic Beer",363
"beers coolers","Premium Non Alcoholic Malt Beverage",362
"beers coolers","Westfalia Red Ale",359
"beers coolers","Pranqster Belgian Style Golden Ale",347
"beers coolers","Grand Reserve Belgium Ale",347
"beers coolers","Chainbreaker White IPA",339
"beers coolers","Malt Liquor",332
"beers coolers","Belgian Style Farmhouse Ale",332
"beers coolers","Great White Beer",331
"beers coolers","Session IPA",331
"beers coolers","Lime Beer",331
"beers coolers","Enjoy By (MM-DD-YY) IPA",328
"beers coolers","Lager Especial Beer",320
"beers coolers","Extra Stout",319
"beers coolers","Ranger IPA",319
"beers coolers","Imperial Stout",317
"beers coolers","Micro Craft Beer",304
"beers coolers","Nitro Milk Stout",302
"beers coolers","Kona Brewing Pipeline Porter",301
"beers coolers","Honkers Ale",298
"beers coolers","Union Jack IPA India Pale Ale",287
"beers coolers",Pabst,285
"beers coolers","Dos Equis Amber Lager",283
"beers coolers","IPA Hop Hunter",279
"beers coolers","Imported Beer Bottles",278
"beers coolers","Vieille Provision Saison Dupont Unfiltered Belgian Farmhouse Ale",275
"beers coolers","Clara Beer",272
"beers coolers",Ale,272
"beers coolers","Pear Hard Cider",269
"beers coolers",Amber,265
"beers coolers","IPA, Black, Back In Black",264
"beers coolers","Baba Black Lager",263
"beers coolers","Wooky Jack Black Rye Ipa",260
"beers coolers","Clara Imported Beer Mazaflan, Mexico",259
"beers coolers","Amber Hard Cider",257
"beers coolers","1500 Pale Ale",254
"beers coolers","Grapefruit Sculpin",254
"beers coolers","High Life Beer",251
"beers coolers","Limited Release The Hairy Eyeball",248
"beers coolers","Amber Alt Style Ale",247
"beers coolers","Ale Premier",246
"beers coolers","Nooner Pilsner",241
"beers coolers","Matilda Belgian Style Pale Ale",240
"beers coolers","Prohibition Ale",237
"beers coolers","Total Domination India Pale Ale",235
"beers coolers","Park Hoppy Wheat Beer",233
