Aisles,Product,amountBought
bread,"100% Whole Wheat Bread",445918
bread,"Organic Bread with 21 Whole Grains",186692
bread,"Ezekiel 4:9 Bread Organic Sprouted Whole Grain",148176
bread,"Sourdough Bread",134817
bread,"Organic 21 Grain Thin Sliced Bread",96613
bread,"Organic Whole Wheat Bread",91137
bread,"Organic Good Seed Bread",88232
bread,"Whole Wheat Bread",86841
bread,"Organic Honey Sweet Whole Wheat Bread",86088
bread,"Gluten Free 7 Grain Bread",64781
bread,"California Sourdough Bread",60209
bread,"Cinnamon Raisin Bread",55365
bread,"Classic White Bread",52058
bread,"White Sandwich Bread",50813
bread,"Gluten Free White Sandwich Bread",49973
bread,"Sweet Baguette",49715
bread,"Sourdough Baguette",47058
bread,"Good Seed Organic Thin Sliced Bread",47012
bread,"Organic Ezekiel 49 Bread Cinnamon Raisin",45686
bread,"Organic Ezekiel 4:9 Sesame Bread",43836
bread,"Organic California Style Sprouted Bread",42668
bread,"Sprouted Multi-Grain Bread",42275
bread,"Honey Wheat Bread",41905
bread,"Bread, Country Buttermilk",41058
bread,"Organic Soft Wheat Bread",40179
bread,"French Baguette",38887
bread,"Multigrain Oat Bread",38638
bread,"Challah Bread",36938
bread,"Gluten Free Sliced Mountain White Bread",35056
bread,"Country Morning White Bread",34995
bread,"Brownberry 100% 12 Grain Bread",34959
bread,"Cinnamon Swirl Raisin Bread",34755
bread,"Country White Bread",34509
bread,"Honey Wheat Enriched Bread",34345
bread,"French Baguettes, Take & Bake, Twin Pack",33228
bread,"Whole Grains Oatnut Bread",32130
bread,"Sprouted Whole Wheat Bread",30846
bread,"Gluten Free Millet-Chia Bread",30575
bread,"Sliced Sourdough Bread",28494
bread,"Premium Italian Bread",28484
bread,"Organic White Bread Done Right",28246
bread,"Soft Potato Bread",27791
bread,"Rocky Mountain Sourdough Bread",27706
bread,"Gluten Free Omega Flax & Fiber Bread",26179
bread,"Soft & Smooth Whole Grain White Bread",25477
bread,"French Loaf",25196
bread,"Classic Wheat Bread",24296
bread,"French Baguette Bread",22981
bread,"Double Fiber Bread",22928
bread,"Gluten Free Cinnamon Raisin Bread",22859
bread,"Best Cinnamon Bread",22583
bread,"Olive Bread",22573
bread,"Garlic Bread",22145
bread,"Whole Grain Loaf",21376
bread,"Sprouted Grain Low Sodium Bread",21262
bread,Ciabatta,20978
bread,"Country Potato Bread",20836
bread,"Sour Batard",20749
bread,"100% Oatnut Bread",20552
bread,"Baguette Sourdough",20311
bread,"Bread Co Pain Au Levain",20145
bread,"Soft 10 Grain Bread",19862
bread,"7 Sprouted Grains Bread",19285
bread,"Sourdough Deli Bread",19059
bread,"Multigrain Sandwich Bread",18635
bread,"Cracked Wheat Sourdough Loaf",17657
bread,"Sweet Batard",17542
bread,"Brownberry Natural Wheat Bread",17463
bread,"Organic 100% Whole Wheat Loaf",17444
bread,"Organic Multigrain Bread",17375
bread,"Organic Soft White Bread",17216
bread,"All Natural Cinnamon Raisin Bread",17003
bread,"Organic Blues Bread with Blue Cornmeal Crust",16339
bread,"100% Whole Wheat",15839
bread,"Gluten Free Multigrain Bread",15682
bread,"Whole Wheat Sourdough",15560
bread,"Farmhouse Hearty White Bread",15513
bread,"Organic Pack Peasant Bread",15266
bread,"Big California Sourdough Bread",15006
bread,"12 Grain Bread",14731
bread,"The Original Multi Grain Bread",14219
bread,"Bread, Sprouted Sourdough",13868
bread,"Organic Whole Wheat Pita",13702
bread,"15 Grain Whole Grain Bread",13676
bread,"French Bread",13054
bread,"Organic Whole Wheat Sourdough Bread",12829
bread,"Large Enriched Bread",12817
bread,"Split Top Wheat Bread",12704
bread,"Sweet Sliced Bread",12668
bread,"Healthy Multi Grain Bread",11759
bread,"Rosemary Olive Oil Bread",11723
bread,"UDI'S GLUTEN FREE WHOLE GRAIN BREAD",11664
bread,"Whole Rye Bread",11309
bread,"Organic Cinnamon Raisin Bread",11257
bread,Cornbread,11107
bread,"Bread, Double Fiber",10927
bread,"Butter Bread",10596
bread,"Old Fashioned Whole Wheat Bread",10585
bread,"Sliced Wheat Bread",10517
bread,"Rustic Baguette",10322
bread,"Butter Top White Bread",10212
bread,"White Italian Bread",10033
bread,"Organic 7 Grain with Flax Bread",9868
bread,"Sourdough Hearty Sliced Bread",9830
bread,"Bolani Spinach Filled Flatbread",9753
bread,"Soft & Smooth100% Whole Wheat Bread",9723
bread,"Bread, Sprouted Grain & Seed Loaf, Genesis 1:29",9709
bread,"Honey Whole Wheat Bread",9683
bread,"Cinnamon Raisin Sandwich Bread",9633
bread,"Almond Paleo Bread Non GMO Gluten Free",9242
bread,"100% Whole Grain Bread",8927
bread,"Nine Grain Sourdough Dough",8926
bread,"Gluten Free French Baguettes",8795
bread,"Raisin Cinnamon Swirl Bread",8692
bread,"Bread, Natural Fitness",8562
bread,"Great White Bread",8529
bread,"All Natural Whole Wheat Bread",8480
bread,"Small Walnut Levain Bread",8448
bread,"Whole Grain White Bread",8435
bread,"Rustic Country White Sandwich Bread",8373
bread,"Sourdough Loaf",8129
bread,"Whole Grains Health Nut Bread",7749
bread,"Multigrain Bread",7726
bread,"Organic Whole Grain",7707
bread,"Bread, Natural Pumpernickel",7706
bread,"Herb Slab Bread",7469
bread,"Brownberry Country Buttermilk Sandwich Bread",7455
bread,"Wheat Sandwich Bread",7354
bread,"Natural Health Nut 100% All Natural Bread",7252
bread,"Italian Bread",7167
bread,"Red Wax Gouda",7130
bread,"Roasted Garlic Loaf",6966
bread,Bread,6962
bread,"White Bread",6943
bread,"Bread, Sliced, Extra Sourdough",6855
bread,"Italian Batard",6674
bread,"Hearty Nine Grain Bread",6577
bread,"Bread, Jewish Rye",6504
bread,"Ciabatta Bread",6237
bread,"Cinnamon Bread",6066
bread,"Country White Sourdough Petite Loaf",6048
bread,"Classic French White Bread",5838
bread,"Wheat Organic Bread",5707
bread,"Super Garlic Croutons",5695
bread,"Artesano Style Bread",5670
bread,"Nut & Oat Bread",5518
bread,"Rustic Sourdough Bread",5470
bread,"Soft Honey Whole Wheat Bread",5200
bread,"Santa Cruz Sourdough",5133
bread,"Gluten Free White Bread",4953
bread,"The Big 16 Grain Sprouted Whole Grain Bread",4905
bread,"White Enriched Bread",4768
bread,"French Demi Baguette",4747
bread,"Nine Grain Sourdough Bread",4743
bread,"100% Whole Wheat Cinnamon with Raisins",4566
bread,"Sprouted Seven-Grain Bread",4542
bread,"Mack's Flax Sprouted Whole Grain Bread",4533
bread,"7 Grain Bread",4503
bread,"Organic 14 Grain Bread",4487
bread,Breadstick,4482
bread,"Dutch Country Smooth Texture 100% Whole Wheat Bread",4451
bread,"Swirl Bread Cinnamon",4365
bread,"Light Style Soft Wheat Bread",4300
bread,"Squirrelly Sprouted Grain Bread",4283
bread,"Wheat Bread",4229
bread,"Farmhouse Oatmeal Hearty Sliced Bread",4214
bread,"Petite French Baguette",4130
bread,"Split Top White Bread",4116
bread,"Paleo Bread Made with Coconut",4111
bread,"Country French Bread",4062
bread,"Bread, Healthy Multi-Grain",4052
bread,"Italian Sliced Bread",3998
bread,"Bread, Organic, Spelt Ancient Grain",3963
bread,"Oatnut Bread",3869
bread,"45 Calories & Delight Wheat Bread",3818
bread,"Raisin Bread",3759
bread,"Delightful Multi-Grain Bread",3729
bread,"100% Whole Wheat with Honey Bread",3700
bread,"Gluten Free Classic Sourdough",3627
bread,"Whole Wheat Challah",3625
bread,"Little Big Sprouted Grain Bread",3612
bread,"Whole Grain Oatmeal Bread",3572
bread,"Natural Sunflower Seed Bread",3566
bread,"Organic Sprouted Whole Grain Bread",3512
bread,"All Natural Whole Grain Ancient 12 Grains Bread",3508
bread,"California Black Bread",3496
bread,"Organic Nine Grain",3488
bread,"Butter Top Wheat Bread",3463
bread,"Country Honey Whole Wheat Bread",3449
bread,"Jewish Rye & Pumpernickel Deli Swirl Bread",3377
bread,"Hearty & Delicious 100% Whole Wheat Bread",3377
bread,"Raisin Cinnamon Bread",3308
bread,"Asiago Cheese Sourdough Bread",3269
bread,"Bread, Raisin",3220
bread,"Pumpernickel Dark Pump Bread",3204
bread,"Classic 100% Whole Wheat  Bread",3110
bread,"Organic Sour Rye Bread",3068
bread,"Three Grain Bread",3048
bread,"Pane Turano Italian Bread",2997
bread,"Swirl Thick Slice Brown Sugar Cinnamon Bread",2962
bread,"Sliced Toasted Sunflower Honey Loaf",2914
bread,"Bread, Gluten Free, Seeded",2911
bread,"Soft White Bread",2875
bread,"Organic White Bread",2861
bread,"Multigrain Bread Artisan Sandwich",2821
bread,"Sourdough Bachelor Loaf",2809
bread,Baguette,2781
bread,"Whole 7 Ancient Grains Bread",2718
bread,"Dakota Style 12 Grain Bread",2715
bread,"Sprouted Rye Seed Bread",2702
bread,"Bread Co New York Rye",2660
bread,"Organic Colorado Cracked Wheat Bread",2658
bread,"Gluten Free Sprouted Seed Bread",2590
bread,"Italian Bread With Sesame Seeds",2581
bread,"Panko Japanese Style Bread Crumbs",2578
bread,"Seeded Rye Bread",2534
bread,"Italian Round Loaf",2524
bread,"Whole Grains Double Fiber Bread",2522
bread,"Premium White Bread",2459
bread,"Whole Wheat Walnut Bread",2428
bread,"Special Recipe White Bread",2401
bread,"Old Fashioned Sourdough Spelt Bread",2320
bread,"Three Seed Sourdough Bread",2304
bread,"Enriched White Bread",2303
bread,"Healthy Multigrain Bread",2279
bread,"Mini Banana Chocolate Chip Bars Snack Cakes",2248
bread,"Schwarzwalder Dark Rye Bread",2198
bread,"Best Grains Bread 100% Whole Wheat Bread",2176
bread,"Boudin Sliced Sourdough Round",2172
bread,"Chicken Legs",2153
bread,"Sourdough Cracked Wheat Bread",2114
bread,"Country White Sour Dough Oval Sliced Loaf",2113
bread,"Seedless Jewish Rye Bread",2110
bread,"French Batard Bread",2098
bread,"Original Cinnamon Bread",2077
bread,"Whole Wheat Baguette",2061
bread,"Organic Oat Bread",2055
bread,"Authentic French Cheese & Cream Brioche",2046
bread,"Pain Rustique French Bread",2012
bread,"Bread, 18 Grains and Seeds",2002
bread,"Gluten Free Exotic Black Rice Bread",1970
bread,"French Sliced Bread",1951
bread,"Organic  No Salt Sprouted Multigrain Bread",1947
bread,"Ciabatta Baguette",1939
bread,"Marble Rye Bread",1914
bread,"100% Whole Grain Flaxseed Bread",1904
bread,"Healthy Multgrain Wp Bread",1882
bread,"Bread, French Baguette, Mini",1881
bread,"Hearty & Delicious 100% Whole Wheat with Honey Bread",1872
bread,"Seeds The Day Organic Bread",1860
bread,"Whole Wheat Challah Rolls",1845
