Aisles,Product,amountBought
"breakfast bakery","Organic Whole Grain Wheat English Muffins",127541
"breakfast bakery","Original Nooks & Crannies English Muffins",123251
"breakfast bakery","Plain Bagels",86767
"breakfast bakery","Plain Mini Bagels",71545
"breakfast bakery","Everything Bagels",68983
"breakfast bakery","Plain Pre-Sliced Bagels",68027
"breakfast bakery","Presliced Everything Bagels",56091
"breakfast bakery","Whole Wheat English Muffins",55154
"breakfast bakery","Organic Sprouted English Muffin",54044
"breakfast bakery","Authentic French Brioche",53927
"breakfast bakery","Plain Bagelettes",52869
"breakfast bakery","Light Multi-Grain English Muffins",41919
"breakfast bakery","Hearty Grains 100% Whole Wheat English Muffins",38348
"breakfast bakery","Wheat English Muffins",37945
"breakfast bakery","Organic Sprouted Wheat Bagels",35932
"breakfast bakery","Organic White English Muffins",34940
"breakfast bakery","Deluxe Plain Bagels",33942
"breakfast bakery","Sprouted Organic Cinnamon Raisin English Muffins",30300
"breakfast bakery","White English Muffins",28669
"breakfast bakery","Gluten Free Blueberry Muffins",28006
"breakfast bakery","Gluten Free Plain Bagels",27759
"breakfast bakery","Cinnamon Raisin Swirl Pre-Sliced Bagels",27457
"breakfast bakery","English Muffins",26030
"breakfast bakery","Organic Multigrain with Flax English Muffins",25511
"breakfast bakery","Original English Muffins",25327
"breakfast bakery","Flourless  Sprouted Whole Grain 7-Sprouted Grains English Muffins",24961
"breakfast bakery","Sesame Bagels",24958
"breakfast bakery","100% Whole Wheat Bagels",24422
"breakfast bakery","Mini Blueberry Muffins",21434
"breakfast bakery","Muffins, Flax, Wild Blueberry",19468
"breakfast bakery","100% Whole Wheat Pre-Sliced Bagels",19193
"breakfast bakery","Gluten Free Whole Grain Bagels",18363
"breakfast bakery","Deluxe Everything Bagels",17989
"breakfast bakery","Sprouted Wheat Cinnamon Raisin Bagels",17846
"breakfast bakery","Blueberry Muffins",17429
"breakfast bakery","Plain Pre-Sliced Bagel Thins",16712
"breakfast bakery","Bagel Thins Everything",16638
"breakfast bakery","Morning Rounds Muesli Fruit & Grain Buns",15511
"breakfast bakery","Chocolate Crepes",14743
"breakfast bakery","Extra Crisp English Muffins",14456
"breakfast bakery","Gluten Free Brown Rice English Muffins 6 ct",14334
"breakfast bakery","Organic Sprouted Wheat Sesame Bagels",11963
"breakfast bakery","Toastable Apple Cinnamon Fruit & Grain Buns",11787
"breakfast bakery","Everything Inside Bagels",11704
"breakfast bakery","Chunky Chocolate Chip Flax Muffins",11552
"breakfast bakery","Everything Bagel",11516
"breakfast bakery","Gluten Free Double Chocolate Muffins",11489
"breakfast bakery","Gluten Free Cinnamon Raisin Bagels",11317
"breakfast bakery","100% Whole Wheat English Muffin 6 Ct",11232
