Aisles,Product,amountBought
"breakfast bars pastries","Nutri-Grain Soft Baked Strawberry Cereal Breakfast Bars",24003
"breakfast bars pastries","Frosted berry Strawberry Toaster Pastries",23682
"breakfast bars pastries","Whole Wheat Blueberry Fig Bars",21703
"breakfast bars pastries","Oats & Chocolate Chewy Bars",21393
"breakfast bars pastries","Sweet & Salty Nut Peanut Granola Bars",20809
"breakfast bars pastries","Cinnamon Brown Sugar Breakfast Biscuits",20380
"breakfast bars pastries","Raspberry Cereal",18573
"breakfast bars pastries","Soft-Baked Ripe Strawberry Cereal Bars",18338
"breakfast bars pastries","Nutri Grain Bars Multi Pack",17708
"breakfast bars pastries","Organic Frosted Maple Brown Sugar Toaster Pastries",16763
"breakfast bars pastries","Organic Frosted Wildberry Acai Toaster Pastries",16606
"breakfast bars pastries","Kellogg's Pop-Tarts Frosted Strawberry Pastries",15020
"breakfast bars pastries","90 Calorie Chocolate Fudge Brownies",14861
"breakfast bars pastries","Pop-Tarts Frosted Strawberry Toaster Pastries",14201
"breakfast bars pastries","BelVita Blueberry Breakfast Biscuit Packs",13640
"breakfast bars pastries","Frosted Toaster Pastries, Cherry Pomegran",13469
"breakfast bars pastries","Crunchy Oats 'n Honey Granola",13057
"breakfast bars pastries","Kellogg's Nutri-Grain Apple Cinnamon Cereal",12995
"breakfast bars pastries","Crunchy Chocolate Chip Chia Granola & Seed Bars",11780
"breakfast bars pastries","Big Chewy Chocolate Chip Granola",11675
"breakfast bars pastries","Blueberry Almond Breakfast Bars",11609
"breakfast bars pastries","Pop-Tarts Frosted Brown Sugar Cinnamon Toaster Pastries",11137
"breakfast bars pastries","Peanut Butter Gluten Free Breakfast Bars",10415
"breakfast bars pastries","Organic Razzi Raspberry Frosted Toaster Pastries 6 Count",9471
"breakfast bars pastries","EnviroKidz Glute Free & Wheat Free Chocolate Crispy Rice Bars",9170
"breakfast bars pastries","Dark Mocha Almond Chewy Granola Bars",8782
"breakfast bars pastries","Unfrosted Strawberry Toaster Pastries",8546
"breakfast bars pastries","Pop-Tarts Frosted Brown Sugar Cinnamon Pastries",8189
"breakfast bars pastries","Kellogg's Nutri-Grain Blueberry Cereal",8125
"breakfast bars pastries","BelVita Golden Oat Breakfast Biscuit Packets",8051
"breakfast bars pastries","Organic Frosted Blueberry Toaster Pastries",7930
"breakfast bars pastries","Kellogg's Special K Red Berries Cereal",7265
"breakfast bars pastries","Protein Caramel Nut Chewy Bars",7117
"breakfast bars pastries","Whole Wheat Fig Bar",7023
"breakfast bars pastries","Protein Chewy Bars Salted Caramel Nut",6343
"breakfast bars pastries","Nutri-Grain Soft Baked Mixed Berry Cereal Breakfast Bars",6267
"breakfast bars pastries","Crunchy Variety Pack Granola",6194
"breakfast bars pastries","Oat Blueberry Lemon Whenever Bars",6085
"breakfast bars pastries","Organic Toaster Pastries Frosted Lotta Chocolotta - 6 CT",5746
"breakfast bars pastries","Fiber One Oat & Chocolate Bar",5719
"breakfast bars pastries","Apple Cinnamon Fig Bar",5587
"breakfast bars pastries","Kellogg's Special K Strawberry Fruit Crisps 100 Calorie",5526
"breakfast bars pastries","90 Calorie Chocolate Chip Cookie",5453
"breakfast bars pastries","Blueberry Breakfast Biscuits",5078
"breakfast bars pastries","90 Calories Low Fat Chocolate Chunk Granola Bars",4949
"breakfast bars pastries","Frosted S'mores Toaster Pastries",4610
"breakfast bars pastries","Frosted Granny's Apple Pie Toaster Pastries",4510
"breakfast bars pastries","Crunchy Granola Bars Variety Pack",4416
"breakfast bars pastries","Rich Milk Chocolate Complete Nutritional Drink",4410
"breakfast bars pastries","Pop Tarts Variety Pack",4401
"breakfast bars pastries","Strawberry Fig Bars",4264
"breakfast bars pastries","Breakfast Raspberry Chia Bars",4075
"breakfast bars pastries","Kellogg's Pop-Tarts Frosted S'mores Pastries",3972
"breakfast bars pastries","Coconut Almond Protein Chewy Bars",3669
"breakfast bars pastries","Soft Baked Banana Bread",3554
"breakfast bars pastries","Frosted Cherry Pop-Tarts Toaster Pastries",3436
"breakfast bars pastries","Frosted Cherry Toaster Pastries",3341
"breakfast bars pastries","Belvita Soft Baked Mixed Berry",3106
"breakfast bars pastries","Soft Baked Oats and Chocolate Breakfast Biscuits (Cookies)",3083
"breakfast bars pastries","Gluten Free Strawberry Toaster Pastry",3060
"breakfast bars pastries","Blackberry Graham Soft-Baked Cereal Bars",3002
"breakfast bars pastries","Gluten Free Lemon Streusel Muffins",2801
"breakfast bars pastries","BelVita Cranberry Orange Breakfast Bar",2718
"breakfast bars pastries","Pop-Tarts Frosted Cookies & Creme Toaster Pastries",2654
"breakfast bars pastries","Frosted Chocolate Fudge Pop-Tarts",2541
"breakfast bars pastries","Special K Chocolatey Pretzel Cereal Bars",2455
"breakfast bars pastries","Unfrosted Strawberry Pop Tarts",2415
"breakfast bars pastries","Nutri-Grain Strawberry",2411
"breakfast bars pastries","Gluten Free Blueberry Breakfast Bars",2360
"breakfast bars pastries","Pop-Tarts Frosted Strawberry/Frosted Brown Sugar Cinnamon Variety Pack Toaster Pastries",2348
"breakfast bars pastries","Baked Crackers, Cheddar Cheese",2340
"breakfast bars pastries","Pop-Tarts Frosted Blueberry Toaster Pastries",2230
"breakfast bars pastries","Oats & Peanut Butter Chewy Bars",2217
"breakfast bars pastries","Gluten Free Strawberry Breakfast Bars",2135
"breakfast bars pastries","Trail Mix Chewy Granola Bars Dark Chocolate & Nut",2032
"breakfast bars pastries","Nutri-Grain Raspberry Cereal Bars",2023
"breakfast bars pastries","Oatmeal Square Banana Dark Chocolate",2005
"breakfast bars pastries","Unfrosted Buncha Blueberries Toaster Pastries 6 Count",1917
"breakfast bars pastries","Blueberry Soft-Baked Oatmeal Squares",1883
"breakfast bars pastries","Brown Sugar Cinnamon Pastry Crisps",1795
"breakfast bars pastries","Pop-Tarts Frosted Chocolate Fudge Toaster Pastries",1723
"breakfast bars pastries","Special K 100 Calorie Blueberry Pastry Crisps",1706
"breakfast bars pastries","Honey Breakfast Biscuits",1687
"breakfast bars pastries","Organic Strawberry Cobbler Cereal Bars",1538
"breakfast bars pastries","Pop-Tarts Unfrosted Strawberry",1518
"breakfast bars pastries","Organic Peanut Butter Chocolate Chip Granola",1510
