Aisles,Product,amountBought
"bulk dried fruits vegetables","Dried Mango",72627
"bulk dried fruits vegetables","Organic Black Mission Figs",27976
"bulk dried fruits vegetables",Apricots,25818
"bulk dried fruits vegetables","Vegetable Chips",5889
"bulk dried fruits vegetables","Whole Medjool Dates",5119
"bulk dried fruits vegetables","Organic Blueberries Package",1273
"bulk dried fruits vegetables","Turkish Apricots",1244
"bulk dried fruits vegetables","Organic Hunza Golden Raisins",1093
"bulk dried fruits vegetables","Fit Super A Juice, Cold Pressed, Carrot/Apple/Ginger",823
"bulk dried fruits vegetables","Organic White Popcorn",370
"bulk dried fruits vegetables","Naturally Sweet Plantain Chips",336
"bulk dried fruits vegetables","Crystallized Ginger Chunks",290
