Aisles,Product,amountBought
"bulk grains rice dried goods","Organic Rolled Oats",55799
"bulk grains rice dried goods","Pesto Sauce",13160
"bulk grains rice dried goods","Organic Royal Rainbow Quinoa",12374
"bulk grains rice dried goods","Rolled Oats",12201
"bulk grains rice dried goods","Organic Quick Rolled Oats",10919
"bulk grains rice dried goods","Organic Short Brown Sprouted Rice",8602
"bulk grains rice dried goods","Israeli Couscous",7574
"bulk grains rice dried goods","Organic Turkish Apricots",7536
"bulk grains rice dried goods","Organic Red Kidney Beans",5360
"bulk grains rice dried goods","Organic Mung Beans",4410
"bulk grains rice dried goods","Organic Split Green Peas",3678
"bulk grains rice dried goods","Organic Pearled Barley",3675
"bulk grains rice dried goods","Organic Hemp Plus Granola",2793
"bulk grains rice dried goods","Large Ataulfo Mango",1921
"bulk grains rice dried goods","Super Nutty Granola",1800
"bulk grains rice dried goods","Organic Brown Jasmine Rice",1758
"bulk grains rice dried goods","Organic Brown Basmati Rice",1734
"bulk grains rice dried goods","Organic Magic Muesli",916
"bulk grains rice dried goods","Organic Honey Lavender Granola",876
"bulk grains rice dried goods","Organic Raspberry Muesli",760
"bulk grains rice dried goods","Wild Rice Blend",654
"bulk grains rice dried goods","Organic Roasted Buckwheat (Kasha)",339
"bulk grains rice dried goods","Cranberry Beans",315
"bulk grains rice dried goods","Organic Wheat Bran",295
"bulk grains rice dried goods","Madagascar Pink Rice",201
"bulk grains rice dried goods","Organic Emmer Farro",156
