Aisles,Product,amountBought
butter,"Unsalted Butter",309094
butter,"Pure Irish Butter",244630
butter,"Organic Unsalted Butter",192174
butter,"Salted Butter",169062
butter,"Unsalted Pure Irish Butter",147786
butter,"Organic Salted Butter",131205
butter,"Salted Tub of Butter",101852
butter,Butter,65850
butter,"Purity Farms Ghee Clarified Butter",65088
butter,"Unsalted Cultured Butter",61987
butter,"Salted Sweet Cream Butter",58781
butter,"Sweet Cream Salted Butter",49471
butter,"Cultured Pasture Butter",36075
butter,"Organic Salted Individually Wrapped Quarters Butter",34230
butter,"Spreadable Butter With Canola Oil",32038
butter,"Unsalted Butter Quarters",24101
butter,"European Style Unsalted Butter",21470
butter,"Butter with Olive Oil & Sea Salt",21405
butter,"Butter with Canola Oil Spread",20654
butter,"Reduced Fat Irish Butter",20042
butter,"Whipped Butter",18504
butter,"Original Spread",18154
butter,"European Style Salted Butter",17411
butter,"Organic European Style Sweet Unsalted Butter",16226
butter,"Salted Butter Half Sticks",15463
butter,"Light Butter with Canola",12725
butter,"Original Spray",12150
butter,"Original Buttery Spread",11059
butter,"European-Style Cultured Butter",10978
butter,"Unsalted Sweet Butter",10612
butter,"Organic European Style Lightly Salted Butter",9278
butter,"Light Spread Butter Substitute",9101
butter,"Vegetable Oil & Nonfat Yogurt Spread",8030
butter,"Light Butter with Canola Oil",7868
butter,"Sweet Cream Whipped Butter Salted",7801
butter,"Unsalted Sweet Cream Butter",7626
butter,"Garlic & Herb Butter Stick",7552
butter,"Homemade Salted Butter",7355
butter,"Pasture Raised Salted Butter",7241
butter,"Calcium Plus Vitamin D Vegetable Oil Spread",6956
butter,"Unsalted Homemade Butter",6911
butter,"Original Vegetable Oil Spread",6435
butter,"Imported Butter",5990
butter,"Organic Raw Coconut Butter",4997
butter,"Imported Unsalted Butter",4822
butter,"Butter Spreadable with Canola Oil Tub",4464
butter,"Unsalted Sweet Butter Sticks",4355
butter,"Unsalted 100% Pure Butter",3517
butter,"Spreadable Butter with Olive Oil & Sea Salt",3460
butter,"Salted Whipped Butter",3432
butter,"Stick East Coast Vegetable Oil Spread",3363
butter,"Buttery Spread Light With Flaxseed Oil",3218
butter,"Margarine Quarters",3210
butter,"Butter Salted",3110
butter,"Extra Virgin Olive Oil Spread",3052
butter,"Vegan Butter",2977
butter,"Salted Sweet Cream Butter Quarters",2887
butter,"Vegetable Oil Spread with Calcium",2802
butter,"Shedd's Spread Original Vegetable Oil Spread",2735
butter,"Organic Lightly Salted Butter",2716
butter,"Goat Milk Butter European Style",2558
butter,"Danish Butter, Imported",2500
butter,"Unsalted Butter Quarter",2489
butter,"Light Vegetable Oil Spread",2463
butter,"Butter Unsalted 4 ct",2416
butter,Ghee,2324
butter,"Lightly Salted Cultured Butter",2219
butter,"Lightly Salted Sweet Cream Butter",2185
butter,"80% Vegetable Oil Margarine",2117
butter,"Unsalted Whipped Butter",2107
butter,"Organic Unsalted Sweet Cream Butter",2083
butter,"Sweet Cream Unsalted Sweet Butter Sticks",2054
butter,"Organic  Unsalted  Butter",1754
butter,"Unsalted European Style Butter",1704
butter,Margarine,1601
butter,"Organic Roasted Creamy Almond Butter",1576
butter,"Unsalted 65%  Vegetable Oil Spread",1292
butter,"Grade AA Butter Quarters",1251
butter,"Buttery Spread",1221
butter,"Unsalted Sweet Butter Quarters",1195
butter,"Nonfat Yogurt",1071
butter,"Butter with Coarse Sea Salt",960
butter,"Butter with Canola Oil",893
butter,"Fresh Yeast",876
butter,"Butter Spread With Olive Oil & Sea Salt Half Sticks",746
butter,"Light Buttery Spread Omega-3",718
butter,"Grass Fed Vat Unsalted Cultured Butter",680
butter,"Dairy Free Butter Omega-3",667
butter,"Vat Cultured European Style Salted Butter",596
butter,"Sea Salt & Maple Butter",576
butter,"Cinnamon Sugar Butter Tub",555
butter,"Spreadable Light Butter & Canola Oil Blend",519
butter,"European Style with Sea Salt Butter",518
butter,"Spreadable W/Canola Oil Butter",512
butter,"Whipped Sweet Cream Butter",489
butter,"Sweet Cream Butter Salted",453
butter,"European Style Salted Butter Sticks",398
butter,"Sweet Cream Butter",396
butter,"Squeeze 60% Vegetable Oil Spread",388
