Aisles,Product,amountBought
"candy chocolate","Almonds & Sea Salt in Dark Chocolate",121808
"candy chocolate","Organic Dark Chocolate Peanut Butter Cups",93988
"candy chocolate","Dark with 70% Cacao Content Organic Chocolate Bar",52887
"candy chocolate","Organic 85% Cacao Dark Chocolate Bar",51422
"candy chocolate","Organic Milk Chocolate Peanut Butter Cups",46392
"candy chocolate","Bar, Toffee & Almonds in Milk Chocolate",45740
"candy chocolate","Organic Deep Dark Sea Salt Chocolate",45323
"candy chocolate","Organic Bagged Mini Dark Peanut Butter",41704
"candy chocolate","Cherries & Almonds in Dark Chocolate, 55% Cocoa",29663
"candy chocolate","Orange Peel In Dark Chocolate Bar",29152
"candy chocolate","Toffee & Sea Salt Milk Chocolate Bar",29075
"candy chocolate","70% Dark Chocolate Salted Almond Bar",28380
"candy chocolate","Organic Quinoa Dark Chocolate Bar",27794
"candy chocolate","Organic Bagged Mini Milk Peanut Butter",24730
"candy chocolate","Raspberries Dark Chocolate Bar",24023
"candy chocolate","Dark Blackout Organic Chocolate",23179
"candy chocolate","Milk Chocolate Almonds",21491
"candy chocolate",Almonds,21076
"candy chocolate","Pretzel In Milk Chocolate Bar",19614
"candy chocolate","Dark Chocolate Chips",18489
"candy chocolate","Dark Chocolate Pumpkin Seed Bark",17683
"candy chocolate","Gin Gins Original Chewy Ginger Candy",17456
"candy chocolate","Dark Chocolate Mint Snacking Chocolate",17360
"candy chocolate","Chocolate Strong Dark",17220
"candy chocolate","34% Cacao Milk Chocolate Bar",17008
"candy chocolate","Dark Chocolate with 88% Cocoa",15946
"candy chocolate","Milk Chocolate Candy Bars",15923
"candy chocolate","Crystallized Ginger In Dark Chocolate  Bar",15375
"candy chocolate","Milk Chocolate Bar",15013
"candy chocolate","70% Dark Chocolate Bar",14947
"candy chocolate","Milk Chocolate Covered Raisins",14861
"candy chocolate","Dark Brown Butter Organic Chocolate",14214
"candy chocolate","Organic Mint Dark Chocolate Bar",14051
"candy chocolate","Dark Chocolate Coconut Almond Bark",14013
"candy chocolate","Gluten Free Fudge Covered Pretzels",13921
"candy chocolate","Yogurt Covered Pretzels",13859
"candy chocolate","Dark Chocolate Sea Salt Caramels",13077
"candy chocolate","Organic Pure 85% Dark Chocolate Bar",13016
"candy chocolate","Organics Gummy Bears",12699
"candy chocolate","Dove Dark Chocolate Snowflake Promises",12691
"candy chocolate","Excellence 70% Cocoa Smooth Dark Chocolate Bar",12558
"candy chocolate","Peppermint In Dark Chocolate Bar 55% Cocoa",12323
"candy chocolate","Dark Coconut Toffee Organic Chocolate",12160
"candy chocolate","Gummy Bears",12094
"candy chocolate","Miniatures Candy Bars",12044
"candy chocolate","White with 30% Cacao Content Organic Chocolate",11757
"candy chocolate","Licorice Soft Eating Raspberry",11424
"candy chocolate","70% Dark Chocolate With Coconut Bar",11202
"candy chocolate","Natural Dark Chocolate Bar",11199
"candy chocolate","Organic White Chocolate Peanut Butter Cups",11118
