Aisles,Product,amountBought
"canned fruit applesauce","Organic AppleApple",161746
"canned fruit applesauce","Apple Sauce",66899
"canned fruit applesauce","Gogo Squeez Organic Apple Strawberry Applesauce on the Go",58909
"canned fruit applesauce","Organic Cinnamon Apple Sauce",46608
"canned fruit applesauce","Apple Apple Applesauce On The Go Pouches",28795
"canned fruit applesauce","Natural Apple Sauce Cups",27468
"canned fruit applesauce","Organic AppleBerry Applesauce on the Go",24514
"canned fruit applesauce","Organic Apple Sauce",24018
"canned fruit applesauce","Original Applesauce",21827
"canned fruit applesauce","Pineapple Slices in 100% Pineapple Juice",17749
"canned fruit applesauce","Mandarin Orange in 100% Fruit Juice",15897
"canned fruit applesauce","Cinnamon Applesauce",14634
"canned fruit applesauce","Chia Squeeze Vitality Snack Blackberry Bliss",14407
"canned fruit applesauce","Pineapple Slices",13317
"canned fruit applesauce","Diced Peaches in 100% Fruit Juice",11531
"canned fruit applesauce","Mandarin Oranges In Light Syrup",10752
"canned fruit applesauce","Natural Applesauce",10687
"canned fruit applesauce","Gelatin Free Snacks Natural Orange Gels",10177
"canned fruit applesauce","Organic Applesauce",9544
"canned fruit applesauce","Jellied Cranberry Sauce",8906
"canned fruit applesauce","Natural Applesauce Snack & Go Pouches",8084
"canned fruit applesauce","Crushed Pineapple in Juice",8048
"canned fruit applesauce","Pineapple Chunks, Organic, in Their Own Organic Juice",7734
"canned fruit applesauce","California Diced Peaches Packed in Water No Sugar Added",7693
"canned fruit applesauce","No Sugar Added Mandarin Oranges in Artificially Sweetened Water",7585
"canned fruit applesauce","Diced Pears In Light Syrup Fruit Cups",7283
"canned fruit applesauce","Whole Berry Cranberry Sauce",6670
"canned fruit applesauce","Organic Mashups Strawberry Banana",6452
"canned fruit applesauce","Sliced Yellow Cling Peach Slices in 100% Real Fruit Juice",6234
"canned fruit applesauce","Apple Peach Sauce",5659
"canned fruit applesauce","Apple Cinnamon Applesauce On The Go",5524
"canned fruit applesauce","Mango Coconut Chia Squeeze",5404
"canned fruit applesauce","Pineapple Tidbits in 100% Pineapple Juice",5343
"canned fruit applesauce","Diced Peaches in Light Syrup Fruit Cups",5305
"canned fruit applesauce","Organic Whole Berry Cranberry Sauce",5295
"canned fruit applesauce","Harvest Best in 100% Fruit Juice Mandarin Oranges",5272
"canned fruit applesauce","No Sugar Added Apple Sauce",5194
"canned fruit applesauce","Apple Apricot Sauce",5124
"canned fruit applesauce","No Sugar Added Applesauce",5020
"canned fruit applesauce","Apple Sauce Pouches",4755
"canned fruit applesauce","Lite Sliced Yellow Cling in Extra Light Syrup Peaches",4440
"canned fruit applesauce","Sliced Peaches In 100% Fruit Juice",4350
"canned fruit applesauce","Applesauce On The Go Apple Cinnamon Pouches",4199
"canned fruit applesauce","Diced Pears No Sugar Added",3923
"canned fruit applesauce","Apple Strawberry  Applesauce On The Go Pouches",3890
"canned fruit applesauce","Mixed Fruit in 100% Cherry  Juice",3871
"canned fruit applesauce","Apple Berry Applesauce on The Go Pouches",3705
"canned fruit applesauce","Natural Unsweetened",3696
"canned fruit applesauce","Organic Mash ups Tropical Squeezable Fruit",3461
"canned fruit applesauce","Mandarin Oranges in Light Syrup Fruit Cups",3295
"canned fruit applesauce","Apple Banana Applesauce On The Go Pouches",3292
"canned fruit applesauce","Maraschino Cherries",3188
"canned fruit applesauce","Fruit Squish'ems Apple Strawberry",3184
"canned fruit applesauce","No Sugar Added Mandarin Oranges in Water",3058
"canned fruit applesauce","Peach Mango Gels Vegan",3034
"canned fruit applesauce","Unsweetened Apple Sauce",2968
"canned fruit applesauce","Original Apple Sauce",2871
"canned fruit applesauce","Applesauce Strawberry Snack & Go Pouches",2850
"canned fruit applesauce","Cinnamon Apple Sauce",2592
"canned fruit applesauce","Squeezable Pouches Apple Sauce",2568
"canned fruit applesauce","Applesauce On The Go Apple Strawberry Pouches",2567
"canned fruit applesauce","Mandarin Orange Segments in Light Syrup",2459
"canned fruit applesauce","No Sugar Added Sliced Peaches",2380
"canned fruit applesauce",Cherries,2240
"canned fruit applesauce","Snack & Go Original Applesauce Cups",2125
"canned fruit applesauce","No Sugar Added Apple Sauce To Go Packs",2120
"canned fruit applesauce","100% Organic Pineapple Slices",2086
"canned fruit applesauce","Snack N Go Applesauce Pouches",2032
"canned fruit applesauce","Sliced Yellow Cling Peaches in Heavy Syrup",1940
"canned fruit applesauce","Strawberry Applesauce",1884
"canned fruit applesauce","California Diced Pears Bartlett Pears in Light Syrup",1853
"canned fruit applesauce","Organic Applesauce Unsweetened",1816
"canned fruit applesauce","No Sugar Added Sliced Pears",1806
"canned fruit applesauce","Apple Sauce Original",1768
"canned fruit applesauce","Mixed Fruit  No Sugar Added",1767
"canned fruit applesauce","Old Fashioned Apple Sauce",1763
"canned fruit applesauce","Organic Applesauce Cups",1761
"canned fruit applesauce","Chunks In Heavy Syrup Pineapple",1754
"canned fruit applesauce","Unsweetened Applesauce",1729
"canned fruit applesauce","Snack & Go! Cinnamon Applesauce, Pouch",1643
"canned fruit applesauce","Healthy Harvest Granny Smith Apple Sauce",1641
"canned fruit applesauce","Fruit Naturals No Sugar Added Red Grapefruit in Artificially Sweetened Water Fruit",1638
"canned fruit applesauce","Apple Mango Applesauce On The Go Pouches",1599
"canned fruit applesauce","Whole Lychees in Heavy Syrup",1586
"canned fruit applesauce","Pear Halves in 100% Juice",1565
"canned fruit applesauce","Pear Halves In Heavy Syrup",1529
"canned fruit applesauce","Tropical Fruit in 100% Juice",1525
"canned fruit applesauce","Peaches in Strawberry Gel",1455
"canned fruit applesauce","Mandarin Oranges in Water Sweetened with Monk Fruit Concentrate",1425
"canned fruit applesauce","Organic Pineapple Crushed",1413
"canned fruit applesauce","Watermelon Spears",1390
"canned fruit applesauce","Mandarins in Orange Gel Fruit Bowls",1370
"canned fruit applesauce","Applesauce On The Go Apple Peach Pouches",1366
"canned fruit applesauce","Pineapple Chunks in 100% Juice",1363
"canned fruit applesauce","Pineapple Chunks In Juice",1332
"canned fruit applesauce","Diced Mango Fruit",1304
"canned fruit applesauce","Cherry Mixed Fruit Cups in Light Syrup",1293
"canned fruit applesauce","Diced Peaches Fruit Bowl",1210
"canned fruit applesauce","No Sugar Added Red Grapefruit in Water",1153
"canned fruit applesauce","Red In Extra Light Syrup Grapefruit",1138
"canned fruit applesauce","Apple And Banana Fruit Squish'ems",1115
"canned fruit applesauce","Bartlett Pear Slices in Heavy Syrup",1081
"canned fruit applesauce","Slices in 100% Pineapple Juice Pineapple",1070
"canned fruit applesauce","In Light Syrup & Passion Fruit Juice Tropical Fruit",1033
"canned fruit applesauce","Pineapple Slices In Heavy Syrup",1033
"canned fruit applesauce","Lite Pear Halves In Light Syrup",1031
"canned fruit applesauce","In Heavy Syrup Fruit Cocktail",1008
"canned fruit applesauce","Red Grapefruit Sunrise Cups",1004
"canned fruit applesauce",Applesauce,968
"canned fruit applesauce","Chia Squeeze Cherry Beet",958
"canned fruit applesauce","Original Unsweetened Apple Sauce",949
"canned fruit applesauce","Bada Bing Pitted Cherries",902
"canned fruit applesauce","Fresh Frozen Mango Chunks",896
"canned fruit applesauce","Applesauce Mango Peach",892
"canned fruit applesauce","in 100% Juice Mixed Fruit",889
"canned fruit applesauce","Healthy Harvest No Sugar Added Summer Strawberry Apple Sauce",882
"canned fruit applesauce","Mixed Fruit in Black Cherry Gel",839
"canned fruit applesauce","Organic Apple Peach Sauce",833
"canned fruit applesauce","No Sugar Added Packed in Water Fruit Cocktail",829
"canned fruit applesauce","Diced Mangos in Light Syrup",791
"canned fruit applesauce","Fruit Cocktail in 100% Fruit Juice",784
"canned fruit applesauce","Sliced Pears In Heavy Syrup",774
"canned fruit applesauce","Fruit & VeggieS On The Go Zippin' Zingin' Pear Pouches",754
"canned fruit applesauce","Unsweetened Natural Big Cup Apple Sauce",747
"canned fruit applesauce","Squeez Yogurt Berry",745
"canned fruit applesauce","Mixed Fruit In Light Syrup",711
