Aisles,Product,amountBought
"canned meat seafood","Solid White Albacore Tuna In Water",40028
"canned meat seafood","Wild Albacore Tuna No Salt Added",39262
"canned meat seafood","Solid White Albacore Tuna in Spring Water",18476
"canned meat seafood","Wild Sardines in Extra Virgin Olive Oil",17765
"canned meat seafood","Wild Skipjack Light Tuna",16836
"canned meat seafood","Chunk Light Tuna",15420
"canned meat seafood","Wild Alaskan Pink Salmon",14817
"canned meat seafood","Wild Caught Skinless & Boneless Sardines Packed in Pure Olive Oil",11508
"canned meat seafood","Wild Sardines in Spring Water",10854
"canned meat seafood","Albacore Solid White Tuna In Water",10270
"canned meat seafood","Boneless & Skinless Wild Alaskan Sockeye Salmon",10256
"canned meat seafood","Flat Fillets of Anchovies",10119
"canned meat seafood","Tuna Fillets in Olive Oil",9869
"canned meat seafood","Tuna, Solid Pack Light",9319
"canned meat seafood","Light Tuna Chunk In Water",9282
"canned meat seafood","Solid White Albacore Tuna",9225
"canned meat seafood","Solid White AlbacoreTuna  in Water",9104
"canned meat seafood","Solid White Albacore Premium Tuna in Water",8983
"canned meat seafood","Wild Alaska Pink Salmon",8870
"canned meat seafood","Yellowfin Tuna in Pure Olive Oil",8552
"canned meat seafood","Wild Albacore Tuna in Extra Virgin Olive Oil",7494
"canned meat seafood","Chopped Clams",7381
"canned meat seafood","Organic Chicken Breast In Water",7239
"canned meat seafood","Natural Skinless & Boneless Sardines In Water",7192
"canned meat seafood","Naturally Smoked Oysters in Pure Olive Oil",6987
"canned meat seafood","Flat Fillet Anchovies in Olive Oil with Salt Added",6641
"canned meat seafood","Lightly Smoked Sardines in Olive Oil",6223
"canned meat seafood","Chunk Light Tuna in Water",5998
"canned meat seafood","Fancy Lump White, Crab Meat",5756
"canned meat seafood","Pure, All-Natural Clam Juice",5667
"canned meat seafood","Tuna Fillets in Spring Water",5496
"canned meat seafood","Tuna Chunk Light In Water",5410
"canned meat seafood","White Premium Chunk Chicken Breast With Rib Meat in Water",5397
"canned meat seafood","Wild Caught Anchovy Paste",5312
"canned meat seafood","Swanson Premium Chicken Breast Chunks",4703
"canned meat seafood","Chunk White Albacore Tuna in Water",4485
"canned meat seafood","Tuna Salad with Crackers Snack",4436
"canned meat seafood","Spam Original Luncheon Meat",4321
"canned meat seafood","Prime Fillet Solid White Albacore in Water",4282
"canned meat seafood","Natural Wild Caught Brisling Sardines in Extra Virgin Olive Oil",3836
"canned meat seafood","Tuna Ventresca, in Olive Oil",3672
"canned meat seafood","Wild Pink Salmon",3659
"canned meat seafood","Anchovy Paste",3640
"canned meat seafood","No Salt Wild Albacore Tuna",3631
"canned meat seafood","Pacific Northwest Wild Albacore Tuna",3615
"canned meat seafood","Pink Salmon",3452
"canned meat seafood","Anchovy Fillets in Olive Oil",3436
"canned meat seafood","Albacore White Tuna Pouch",3358
"canned meat seafood","Wild Sardines in Extra Virgin Olive Oil with Lemon",3271
"canned meat seafood","Solid Light Tuna In Olive Oil",3054
"canned meat seafood","Premium Solid White Albacore Tuna in Water",3046
"canned meat seafood","White Albacore In Water Tuna",3000
"canned meat seafood","Lightly Smoked Portuguese Sardines in Cayenne Pepper with Extra Virgin Olive Oil",2988
"canned meat seafood","Canned Meat 25% Less Sodium",2957
"canned meat seafood","Ready to Eat Tuna Salad Original Deli Style",2817
"canned meat seafood","Wild Sardines in Marinara Sauce",2816
"canned meat seafood","Corned Beef",2731
"canned meat seafood","Chunk Light in Water Tuna",2454
"canned meat seafood","Tonno, Tuna Solid White in Olive Oil",2329
"canned meat seafood","Solid White-No Salt Added Albacore Tuna",2318
"canned meat seafood","Solid Pack Light Tuna",2304
"canned meat seafood","Anchovy Fillets In Oil",2293
"canned meat seafood","Lightly Smoked Sardines In Lemon Flavored Extra Virgin Olive Oil",2251
"canned meat seafood","White Anchovies In Water",2227
"canned meat seafood","Fillets of Anchovies in Olive Oil",2187
"canned meat seafood","Premium Light Tuna in Water",2171
"canned meat seafood","Corned Beef Hash",2085
"canned meat seafood","Tuna Creations Chunk Light Tuna Lemon Pepper Single Serve",1970
"canned meat seafood","Low Sodium Chunk Light Tuna in Water",1956
"canned meat seafood","Chunk Light Tuna In Oil",1938
"canned meat seafood","Premium Chunk White Albacore in Water Tuna",1918
"canned meat seafood","Vienna Sausage In Chicken Broth",1909
"canned meat seafood","Wild Caught Boiled Baby Clams",1908
"canned meat seafood","Premium Breast of Chicken in Water",1902
"canned meat seafood","Sweet & Spicy Tuna Creations",1803
"canned meat seafood","Tuna Solid Canned Olive Oil",1797
"canned meat seafood","Solid Light Yellowfin Tuna in Extra Virgin Olive Oil",1793
"canned meat seafood","Brisling Sardines In Water",1734
"canned meat seafood","Lite Luncheon Meat",1730
"canned meat seafood","Skinless & Boneless Sardines In Olive Oil",1730
"canned meat seafood","Smoked Rainbow Trout",1719
"canned meat seafood","Sardines in Olive Oil",1695
"canned meat seafood","Tuna Fillets In Oregano Olive Oil",1622
"canned meat seafood","Clams Minced In Clam Juice",1605
"canned meat seafood","Naturally Smoked Oysters with Red Chili Peppers Mildly Spiced",1533
"canned meat seafood","Wild Kippers, Wild, Smoked",1505
"canned meat seafood","Flat Fillets of Anchovies in Pure Olive Oil",1481
"canned meat seafood","Selects Solid Light Tuna in Extra Virgin Olive Oil",1433
"canned meat seafood","Clam Juice",1390
"canned meat seafood","Light Smoked Portuguese Sardines in Tomato Sauce",1376
"canned meat seafood","White Tuna In Olive Oil",1363
"canned meat seafood","Traditional Style Pink Salmon",1336
"canned meat seafood","Tuna Fillets with Oregano in Olive Oil",1323
"canned meat seafood","Ranch Single Serve Tuna Creations",1308
"canned meat seafood","Premium Albacore in Water Tuna",1281
"canned meat seafood","Premium Chunk Light in Vegetable Oil Tuna",1269
"canned meat seafood","Wild Mackerel With Olive Oil",1250
"canned meat seafood","Skinless Boneless Smoked Sardine Fillets",1244
"canned meat seafood","Tuna Creations Herb & Garlic Tuna",1131
"canned meat seafood","Natural Smoked Baby Clams In Olive Oil",1131
"canned meat seafood","Premium Wild-Caught Pink Salmon Skinless & Boneless",1112
"canned meat seafood","Anchovies Flat Fillets In Olive Oil",1059
"canned meat seafood","Vienna Sausage Original",1057
"canned meat seafood","White & Dark Chunk Chicken",1028
"canned meat seafood","Oysters, Smoked, Fancy, in Cottonseed Oil",1006
"canned meat seafood","Henry & Lisa's Wild Alaskan Pink Salmon",982
"canned meat seafood","Flat Fillets of Anchovies in Olive Oil",977
"canned meat seafood","Lunch To-Go Light Tuna",950
"canned meat seafood","Deviled Ham Spread",943
"canned meat seafood","Chunk Light in Water 50% Less Sodium Tuna",937
"canned meat seafood","Wild Caught Skinless & Boneless Alaskan Pink Salmon",926
"canned meat seafood","Rolled Fillets Of Anchovies",920
"canned meat seafood","Wild Caught Sardines in Extra Virgin Olive Oil",912
"canned meat seafood","Chunk Light Tuna In Vegetable Oil",905
"canned meat seafood","Whole Maine Cherrystone Clams",888
"canned meat seafood","Prime Fillet Very Low Sodium Solid White Albacore Tuna In Water",870
"canned meat seafood","Premium Solid White Albacore in Vegetable Oil Tuna",840
"canned meat seafood","Fat Free Tuna Salad With Crackers Snack on the Run!",813
"canned meat seafood","Tongol No Salt Added Chunk Light in Spring Water Tuna",797
"canned meat seafood","No Salt Added Solid Light Tuna In Water",788
"canned meat seafood","In Spring Water No Salt Added Tin Overwrap Sardines",756
"canned meat seafood","All Natural Clam Juice",752
"canned meat seafood","Sensations Lemon and Pepper Seasoned Tuna Medley with Crackers",747
"canned meat seafood","Vienna Sausage",742
"canned meat seafood","Anchovy Paste with Olive Oil",724
"canned meat seafood","Classic Spam",720
"canned meat seafood","Solid White Longline Albacore Tuna In Water",700
"canned meat seafood","Tuna Fillets With Jalape̱o in Olive Oil",692
"canned meat seafood","Natural Chicken Breast in Water",692
"canned meat seafood","Wild Smoked Kipper Snacks",691
