Aisles,Product,amountBought
cereal,"Honey Nut Cheerios",274522
cereal,"Raisin Bran Cereal",149732
cereal,Cereal,91090
cereal,"Organic Cinnamon Crunch Cereal",88961
cereal,"Cheerios Cereal",80633
cereal,"Peanut Butter Cereal",61110
cereal,"Organic Honey Nut O's Cereal",58173
cereal,"Original Puffins Cereal",57303
cereal,"Original Multigrain Spoonfuls Cereal",56742
cereal,"Whole Grain Oat Cereal",55208
cereal,"Frosted Mini-Wheats Original Cereal",53715
cereal,"Panda Puffs Peanut Butter Cereal",51029
cereal,"GOLEAN Crunch! Cereal",48978
cereal,"Original Cereal",48758
cereal,"Heart to Heart Honey Toasted Oat Cereal",46614
cereal,"Organic Cinnamon Harvest Cereal",46518
cereal,"Quaker Life Cinnamon Cereal",42654
cereal,"Organic Multi Grain Squares Cereal",41257
cereal,"Go Lean Crunch! Honey Almond Flax Cereal",39173
cereal,"Go Lean Cereal",38991
cereal,"Cherrios Honey Nut",38613
cereal,"Family Size Naturally Flavored Whole Grain Oats Cereal",37490
cereal,"Oatmeal Squares Brown Sugar",35422
cereal,"Organic Graham Crunch Cereal",33837
cereal,"Organic Raisin Bran Cereal",33781
cereal,"Organic Promise Strawberry Fields Cereal",33060
cereal,"Gluten Free Crunchy Vanilla Cereal",33047
cereal,"Organic Promise Autumn Wheat Cereal",32713
cereal,"Honey Bunches of Oats Honey Roasted Cereal",32235
cereal,"EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal",31808
cereal,"Honey Bunches of Oats Honey Roasted with Almonds Cereal",31712
cereal,"Cinnamon Cereal",31091
cereal,"Organic Frosted Flakes Cereal",29751
cereal,"Purely O's Organic Cereal",29282
cereal,"Raisin Bran Crunch Cereal",28943
cereal,"Heart to Heart Organic Oat Flakes & Blueberry Clusters Cereal",28901
cereal,"Morning Oat Crunch",27661
cereal,"Original Life Cereal",27025
cereal,"Rice Krispies Cereal",26982
cereal,"Special K Red Berries Cereal",25222
cereal,"GOLEAN Crisp! Toasted Berry Crumble Cereal",23795
cereal,"Organic Flax Plus Multibran Flakes",22776
cereal,"Veganic Sprouted Brown Rice Cacao Crisps",22556
cereal,"Crispix Rice & Corn Cereal",22328
cereal,"with Crispy Almonds Cereal",22327
cereal,"Cinnamon Toast Crunch",21988
cereal,"Lucky Charms Cereal",21741
cereal,"Organic Brown Rice Crisps Cereal",21631
cereal,"Frosted Flakes",19897
cereal,"Gluten Free Rice Chex",19654
cereal,"Rise Krisipies Toasted Rice Cereal",19464
cereal,"Organic Heritage Flakes Cereal",19100
cereal,"Organic Bran Flakes Cereal",18789
cereal,"Organic Fruitful Os Cereal",18278
cereal,"Frosted Flakes Cereal",18201
cereal,"Grape-Nuts Cereal",18091
cereal,"Organic Coconut Chia Granola",17136
cereal,"Envirokidz Chocolate Koala Crisp",17007
cereal,"Organic Mesa Sunrise Cereal",16931
cereal,"Vanilla Almond",16756
cereal,"Traditional Size Corn Tortillas, 6"",128,3
31379,Bread N' Butter Pickles,110,13
31380,Omeprazole Acid Reducer Tablets,70,11
31381,Sugar Cubes Dots,17,13
31382,Mandarin Orange Sparkling  Water,115,7
31383,"Cereal, Superfood, Hemp & Greens",16479
cereal,"Organic Whole O's Gluten Free Cereal",16463
cereal,"Cocoa Bunnies Whole Grain Cereal",16343
cereal,"Gluten Free Sunrise Crunchy Maple Cereal",16025
cereal,"Ezekiel 4:9 Flax Sprouted Grain Bread",15927
cereal,"Honey Nut Chex Cereal",15617
cereal,"Crunch Berries Cereal",15371
cereal,"Flax Plus Raisin Bran Cereal",14791
cereal,"Organic Gluten Free Crispy Brown Rice Cereal",14756
cereal,"Special K Fruit & Yogurt Cereal",13950
cereal,"Organic Honey'd Corn Flakes Cereal Gluten Free",13597
cereal,"Cinnamon Multigrain Cereal",13587
cereal,"Island Vanilla Cereal",13367
cereal,"EnviroKidz Chocolate Choco Chimps",13148
cereal,"Cocoa Puffs Cereal",13003
cereal,"Cereal Variety Fun Pack",12978
cereal,"Raisin Bran",12807
cereal,"Multi Grain Cheerios Cereal",12456
cereal,"Special K Original Cereal",12309
cereal,"Apple Cinnamon Cheerios Cereal",11957
cereal,"Gluten Free Organic Peanut Butter & Chocolate Cereal",11720
cereal,"Corn Flakes",11688
cereal,"Organic Flax Plus Pumpkin Raisin Crunch Cereal",11578
cereal,"Cracklin' Oat Bran Cereal",11534
cereal,"Golden Grahams Cereal",11000
cereal,"No Sugar Added Muesli Cereal",10488
cereal,"Sweetened Corn & Oat Cereal",9850
cereal,"Special K Vanilla Almond Cereal",9693
cereal,"Apple Jacks Cereal",9348
cereal,"Original Frosted Mini Wheats Little Bites",9072
cereal,"Honey Bunches With Almonds Cereal",9036
cereal,"Smart Start Original Antioxidants Cereal",8722
cereal,"Organic Stoneground Flakes Purple Corn Cereal",8696
cereal,"Special K Chocolatey Delight Cereal",8589
cereal,"Corn Pops Cereal",8430
cereal,"Gluten Free Puffins Honey Rice Cereal",8153
cereal,"Heritage Flakes Cereal",8145
cereal,"Flax Plus Red Berry Crunch Cereal",7971
cereal,"Kix Crispy Corn Puffs Cereal",7962
cereal,"Kellogg's Corn Flakes Cereal",7938
cereal,"Berry Vanilla Puffs",7923
cereal,"Cocoa Krispies Cereal",7900
cereal,"Original Bran Cereal",7852
cereal,"7 Whole Grain Nuggets Cereal",7807
cereal,"Special k Protein Cereal",7730
cereal,"Reese Puffs",7606
cereal,"Multigrain Cereal",7604
cereal,"Corn Chex Cereal",7594
cereal,"Corn Flakes Cereal",7490
cereal,"Ezekiel 4:9 Golden Flax Sprouted Grain Crunchy Cereal",7367
cereal,"Swiss Muesli",7363
cereal,"Special K Original",7353
cereal,"General Mills Multi-Grain",7284
cereal,"Fruity Cheerios Cereal",7002
cereal,"Fruity Pebbles Rice Cereal",6916
cereal,"Reese Puffs Peanut Butter Cereal",6754
cereal,"Berry Bunnies Cereal Organic",6699
