Aisles,Product,amountBought
"chips pretzels","Lightly Salted Baked Snap Pea Crisps",247929
"chips pretzels","Pretzel Crisps Original Deli Style Pretzel Crackers",170976
"chips pretzels","Sea Salt Pita Chips",168584
"chips pretzels","Sea Salt & Vinegar Potato Chips",146734
"chips pretzels","Organic Blue Corn Tortilla Chips",128177
"chips pretzels","Sea Salt Potato Chips",126119
"chips pretzels","Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs",119258
"chips pretzels","Pita Chips Simply Naked",118908
"chips pretzels","Organic Tortilla Chips",87734
"chips pretzels","Backyard Barbeque Potato Chips",86020
"chips pretzels","Veggie Chips",81439
"chips pretzels","Original Real Vegetable Chips",78802
"chips pretzels","Dark Chocolate Pretzels with Sea Salt",78524
"chips pretzels","Multigrain Tortilla Chips",73281
"chips pretzels","Corn Chips",71848
"chips pretzels","Thin & Light Tortilla Chips",71263
"chips pretzels","Thick & Crispy Tortilla Chips",71160
"chips pretzels","Scoops! Tortilla Chips",70155
"chips pretzels","Sour Cream & Onion Potato Chips",65918
"chips pretzels","Salt & Pepper Krinkle Chips",63785
"chips pretzels","Jalapeno Potato Chips",62873
"chips pretzels","Plantain Chips",58923
"chips pretzels","Original Restaurant Style Tortilla Chips",58280
"chips pretzels","Multigrain Pita Chips",53719
"chips pretzels","Blue Chips Corn Tortilla Chips",52495
"chips pretzels","Everything Deli Style Pretzel Crisps Crackers",52487
"chips pretzels","Barbecue Potato Chips",51877
"chips pretzels","Gluten Free Pretzel Sticks",50030
"chips pretzels","Classic Mix Variety",46774
"chips pretzels","Classic Potato Chips",45646
"chips pretzels","Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips",44811
"chips pretzels","Cheese Puffs",44570
"chips pretzels","Hint of Lime Flavored Tortilla Chips",44167
"chips pretzels","Tortilla Chips, Clasico, Jalapeno Lime",44134
"chips pretzels","Sea Salt Made With Organic Grain Rice Chips",43173
"chips pretzels","Organic Simply Naked Pita Chips",42377
"chips pretzels","Organic Fuji Red Apple Chips",40858
"chips pretzels","Whole Grain White Corn Salted Tortilla Chips",40068
"chips pretzels","Baked Rice and Corn Puffs, Aged White Cheddar",40035
"chips pretzels","Gluten Free Pretzel Twists",39030
"chips pretzels","Pita Chips, Simply Naked, Party Size",38474
"chips pretzels","Harvest Cheddar Multigrain Chips",37614
"chips pretzels","Original Potato Chips",36686
"chips pretzels","Pretzel Rods",35533
"chips pretzels","Cheese Puffs Original",35238
"chips pretzels","Restaurant Style Organic Chia & Quinoa Tortilla Chips",35218
"chips pretzels","Organic Sea Salt Potato Chips",34987
"chips pretzels","Pretzel Sticks",34981
"chips pretzels","Gluten-Free Red Hot Blues Made with Organic Blue  Corn Tortilla Chips",34466
