Aisles,Product,amountBought
"cleaning products","Lemongrass Citrus Scent Disinfecting Wipes",41235
"cleaning products","Kitchen Scrubber Sponge",25856
"cleaning products","Disinfecting Wipes, Lemon",24227
"cleaning products","Heavy Duty Scrub Sponges",22508
"cleaning products","Disinfecting Wipes Fresh Scent",20682
"cleaning products","All Natural Powder Cleanser",18045
"cleaning products","Original Glass Cleaner",17188
"cleaning products","Natural Cellulose Scrub Sponge",16780
"cleaning products","Clean Up Cleaner with Bleach Fresh Scent",16745
"cleaning products","Disinfecting Multi-Surface Cleaner Lemongrass Citrus Scent",16252
"cleaning products","Max Gel Clog Remover",16079
"cleaning products","All Purpose Cleaner",15228
"cleaning products","Disinfecting Wipes Fresh Scent & Lemon",14809
"cleaning products","Disinfecting Wipes, Lemon Scent",13248
"cleaning products","Plant Based Scrub Sponge",12998
"cleaning products","Sweeper Open Window Fresh Scent Wet Mopping Cloths Refill",12534
"cleaning products","Lavender Multi-Surface Everyday Cleaner",12461
"cleaning products","Free & Clear All-Purpose Natural Cleaner",11842
"cleaning products","Original Glass Cleaner With Ammonia-D",11436
"cleaning products","Non-Scratch Scrub Sponges",10233
"cleaning products","Disinfecting Wet Wipes - Lemongrass Citrus",10197
"cleaning products","Naked Sponges - 2 CT",9898
"cleaning products","All Purpose Cleaner, Lemon Breeze Scent",9673
"cleaning products","Toilet Bowl Cleaner with Bleach Rain Clean",9475
"cleaning products","Bathroom Cleaner Natural Tub + Tile Cleaner",9383
"cleaning products","Glass Cleaner",9128
"cleaning products","Natural Glass and Surface Cleaner",9006
"cleaning products","Antibacterial Kitchen All Purpose Spray Cleaner, Lemon Fresh",8499
"cleaning products","Pink Grapefruit All-Purpose Natural Surface Cleaner",8467
"cleaning products","Multi Surface Vinegar Cleaner",8210
"cleaning products","Magic Eraser Extra Power",7802
"cleaning products","Complete Clean Power Toilet Bowl Cleaner",7719
"cleaning products","Lemon Clean Furniture Spray",7695
"cleaning products","Medium Household Gloves",6751
"cleaning products","Heavy Duty Scrub Sponge",6701
"cleaning products","Free & Clear Natural Dish Liquid",6331
"cleaning products","Murphy Oil Soap Liquid Wood Cleaner",6253
"cleaning products","Complete Clean Power Toilet Bowl Cleaner Value Pack",6102
"cleaning products","Disinfecting Bathroom Cleaner - Lemongrass Citrus",6049
"cleaning products","Abrasive Cleanser With Bleach",5974
"cleaning products","With Bleach Cleanser",5923
"cleaning products","Magic Eraser Cleaning Sponge 2ct. Surface Care",5686
"cleaning products","Lemon & Lime Blossom Scent Disinfecting Wipes",5676
"cleaning products","Drain Cleaner, Fresh Citrus & Sage Fragrance",5536
"cleaning products","French Lavender All-Purpose Natural Surface Cleaner",5500
"cleaning products","Wood for Good Almond Scented Polish",5399
"cleaning products","Crystal Rain Trigger Glass Cleaner",5342
"cleaning products","Multi Surface Antibacterial",5308
"cleaning products","Fruit & Vegetable Wash",5279
"cleaning products","Original Magic Eraser",5146
"cleaning products","Hardwood Floor Cleaner",5100
"cleaning products","Clean Day Honeysuckle Scent Multi-Surface Cleaner",5028
"cleaning products","Original Pre-Moistened Wipes",4768
"cleaning products","Sweeper Wet Mopping Pad Refills Open Window Fresh Scent Surface Care",4522
"cleaning products","Total All Purpose Grease Cutting Lemon Cleanser",4509
"cleaning products","Sweeper Dry Sweeping Refills",4490
"cleaning products","Scrubbing Bubbles Heavy Duty All Purpose Cleaner",4462
"cleaning products","Daily Shower Cleaner Ylang Ylang",4452
"cleaning products","Dish Liquid/Hand Soap, Triple Action, Orange",4441
"cleaning products","Bathroom Bleach Foamer",4440
"cleaning products","Handy Size Sponges",4433
"cleaning products","Toilet Bowl Cleaner - Emerald Cypress and Fir",4419
"cleaning products","Disinfecting Toilet Wand Refills",4417
"cleaning products","Delicate Care Scrub Sponges - 3 CT",4367
"cleaning products","Geranium Scented Multi-Surface Everyday Spray Cleaner",4362
"cleaning products","Disinfecting Bathroom Bleach-Free Cleaner",4107
"cleaning products","Pine Fresh Natural Toilet Cleaner",4016
"cleaning products","Foaming Bleach Bathroom Cleaner",4008
"cleaning products","Cleanser with Bleach",3820
"cleaning products","Multi-Surface Cleaner",3805
"cleaning products","Disinfecting Wipes - 3x35ct - Variety Scent",3791
"cleaning products","Antibac Bamboo All Purpose Cleaner",3761
"cleaning products","Free & Clean Unscented Hand Soap",3756
"cleaning products","Glass Cleaner Spray",3697
