Aisles,Product,amountBought
coffee,"Cold Brew Coffee",63672
coffee,"Major Dickason's Blend Ground Coffee Dark Roast",46108
coffee,"New Orleans Iced Coffee",44384
coffee,"French Roast Ground Coffee",39825
coffee,"Cold-Brew Black Coffee",37396
coffee,"House Blend Deep Roast Ground Coffee",29577
coffee,"Major Dickason's Blend Whole Bean Coffee",21352
coffee,"Holler Mountain Organic Coffee",20856
coffee,"Black Coffee",20621
coffee,"XX Espresso Iced Coffee With Almond Milk",20491
coffee,"Compostable Coffee Filters",20234
coffee,"Breakfast Blend Medium Roast Ground Coffee",20020
coffee,"Organic French Roast Ground Coffee",19708
coffee,"Tesora Medium Roast",19007
coffee,"Instant Coffee",18148
coffee,"Breakfast Blend Medium Keurig Brewed K-Cups Ground Coffee",17977
coffee,"Unsweetened Iced Coffee",17625
coffee,"Hair Bender Whole Bean Coffee",17252
coffee,"Medium Roast Original Blend Ground Coffee",15124
coffee,"Direct Trade House Blend Medium Roast Ground Coffee",14815
coffee,"Direct Trade Organic El Gallo Breakfast Blend Whole Bean Coffee",14002
coffee,"French Roast Whole Bean Coffee",13837
coffee,"Jacob's Wonderbar Dark Roast",13804
coffee,"Cold Brew Coffee Nitro Can",13755
coffee,"Original Cold Brew  Coffee With Milk",13572
coffee,"Vanilla Coffee Concentrate",13327
coffee,"Medium Roast Ground Coffee",12878
coffee,"Mocha Frappucino Chilled Coffee Drink",12483
coffee,"House Blend Whole Bean Coffee",12410
coffee,"Pike Place Roast Medium Keurig Brewed K-Cups",11984
coffee,"Freeze Dried Instant Coffee",11903
coffee,"Ground Espresso Coffee Medium Roast",11760
coffee,"Ground Coffee Dark Roast",11372
coffee,"Organic Mocha Coffee Concentrate",10920
coffee,"Direct Trade Black Cat Classic Espresso Roast Whole Bean Coffee",10625
coffee,"Organic Breakfast Blend Whole Bean Coffee",10481
coffee,"Veranda Blend Blonde Keurig Cups",10219
coffee,"Medium Roast Whole Bean Coffee",10127
coffee,"French Roast, Dark Roast K-Cups",10039
coffee,"Concentrated Cold Brew Coffee",9942
coffee,"Espresso Ground Coffee",9592
coffee,"Sooo Good Light Roast Coffee",9523
coffee,"Intense & Smoky French Roast Dark Roast Ground Coffee",9418
coffee,"Smooth & Balanced Pike Place Medium Roast Ground Coffee",9400
coffee,"Ambrosia, Medium Roast",9336
coffee,"Sumatra Dark Roast K-Cups",8549
coffee,"Classic Roast Medium Ground Coffee",8499
coffee,"Blend Blueboon Coffee",8085
coffee,"Coffee Cold-Brew Espresso",8003
coffee,"French Roast Organic Whole Bean Coffee",7944
coffee,"Instant Espresso Coffee",7938
coffee,"Black And White Cold Brew Coffee With Almondmilk",7839
coffee,"House Blend Medium Keurig Brewed K-Cups Ground Coffee",7719
coffee,"Doubleshot Espresso & Cream Premium Coffee Drink",7614
coffee,"#2 Coffee Filters",7420
coffee,"Espresso Dark Roast Ground Coffee",7406
coffee,"Compostable Basket Coffee Filters",7226
coffee,"Iced Coffee Lightly Sweet",7175
coffee,"Caffe Espresso Ground Coffee",7113
coffee,"Direct Trade El Diablo Dark Roast Whole Bean Coffee",7092
coffee,"Brass Tacks Blend Whole Bean Coffee",7028
coffee,"Cold Brew Coffee With Milk Chocolate",6959
coffee,"Cold Brew Coffee Can",6684
coffee,"White Paper 8-12 Cups Basket Coffee Filters",6504
coffee,"Double Espresso Cold Brew Coffee",6254
coffee,"Classic Roast",6165
coffee,"Doubleshot Light Espresso and Cream Coffee Drink",6154
coffee,"Medium House Blend Ground Coffee",5983
coffee,"Caffe Verona Dark Ground Coffee",5944
coffee,"Medium Roast Extra Bold K-Cup Packs Coffee",5842
coffee,"Major Dickason's Blend Dark Roast K-Cups",5837
coffee,"Breakfast Blend Light Roast K-Cup Packs",5822
coffee,"Medium Roast Coffee",5723
coffee,"Owl's Howl Coffee",5480
coffee,"100% Premium Arabica Ground Coffee",5462
coffee,"Premium House Blend Ground Coffee",5415
coffee,"Coffee Mexican Vanilla",5049
coffee,"Mexican Coffee",4888
coffee,"Organic Freeze Dried Instant Decaf Coffee",4863
coffee,"Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes",4851
coffee,"Friendo Blendo Espresso Beans",4765
