Aisles,Product,amountBought
"cold flu allergy","The Original Natural Herb Drops Cough Suppressant",10442
"cold flu allergy","Oscillo Oscillococcinum Quick-Dissolving Pellets",7649
"cold flu allergy","Coldcalm Homeopathic Tablets",6771
"cold flu allergy","LemonMint Herb Throat Drops",5556
"cold flu allergy","Honey-Herb Drops Cough Suppressant",5164
"cold flu allergy","Honey Lemon Menthol Drops Cough Suppressant/Oral Anesthetic",4648
"cold flu allergy","Cherry Honey Soothing Relief Drops",4043
"cold flu allergy","Natural Herb Cough Drops",3520
"cold flu allergy","Cherry Menthol Drops Cough Suppressant/Oral Anesthetic",3519
"cold flu allergy","24 Hour Non-Drowsy Allergy Relief",2625
"cold flu allergy","UltratabÂ® Tablets Allergy",2539
"cold flu allergy","Children's Pain and Fever Relief Cherry Blast Liquid",2535
"cold flu allergy","Duel Action Honey Lemon Cough Drop",2513
"cold flu allergy","ColdCare, Soothing Hot Drink, Lemon Flavor",2241
"cold flu allergy","Allergy Relief Spray",2096
"cold flu allergy","Blast of Vitamin C Orange Supplement",2006
"cold flu allergy","Cold & Flu Nighttime Relief",1997
"cold flu allergy","Children's Pain and Fever Grape Splash Liquid",1711
"cold flu allergy","Severe Daytime Non-Drowsy Caplets Sinus Congestion & Pain",1680
"cold flu allergy","Nasal Spray With Xylitol",1622
"cold flu allergy","Dual Action Cherry Cough Drops",1613
"cold flu allergy","Honey Lemon with Echinacea Cough Suppressant Throat Drops",1594
"cold flu allergy","Vicks DayQuil Cold & Flu Multi-Sympton Relief",1592
"cold flu allergy","Allergy Ultratab Tablets",1561
"cold flu allergy","12 Hour Chest Congestion",1532
"cold flu allergy","Cough & Chest Congestion Chestal Honey Cough Syrup",1500
"cold flu allergy","Adult Allergy Relief Tablets 10mg",1369
"cold flu allergy","Cold 'n Cough 4 Kids Night Time Syrup",1343
"cold flu allergy","Mentho Lyptus Cough Suppressant Oral Anesthetic Menthol Drops",1321
"cold flu allergy","Vaporizing Decongestant Vicks VapoRub Cough Suppressant Topical Analgesic Ointment 3.53 oz Respiratory Care",1311
"cold flu allergy","Citrus Cold Remedy RapidMelt",1280
"cold flu allergy","Grape Flavored Pain Reliever and Fever Reducer",1252
"cold flu allergy","Alka-Seltzer Plus Cold Formula Orange Zest Effervescent",1232
"cold flu allergy","Cough Drop",1221
"cold flu allergy","Sabadil Allergy Relief Homeopathic Medicine",1211
"cold flu allergy","Cherry Flavored Allergy Medicine",1204
"cold flu allergy","Extra Strength Glacier Mint Drops With Natural Menthol",1172
"cold flu allergy","Vaporizing Decongestant Vicks VapoRub Cough Suppressant Topical Analgesic Ointment",1164
"cold flu allergy","Original Nasal Spray",1157
"cold flu allergy","Organic Sambucus for Kids Standardized Elderberry",1096
"cold flu allergy","Blast of Vitamin C Very Berry",1071
"cold flu allergy","Cold & Cough Cough Syrup",1067
"cold flu allergy","24 Hour Original Prescription Strength Fexofenadine 180 Mg Allergy Tablets",1035
"cold flu allergy","Original Sambucus For Kids Bio Certified Elderberry",1001
"cold flu allergy","Umcka Elderberry Intensive Cold + Flu Berry Flavor",999
"cold flu allergy","Lemon Mint Sugar Free",988
"cold flu allergy","4 Kids Cold n' Cough Syrup",974
"cold flu allergy","Non-Drowsy Allergy Relief Tablets",972
"cold flu allergy","Liqui-Gels Softgels Dye-Free Allergy",949
"cold flu allergy","Honey & Lemon Menthol Cough Suppressants",935
"cold flu allergy","Immune Support Supplement Vitamin C Citrus",928
"cold flu allergy","Umcka Cold+Flu Chewable Tablets Berry Flavor - 20 CT",922
"cold flu allergy","Nighttime Sleep-Aid",913
"cold flu allergy","Night Time Sleep Aid",890
"cold flu allergy","Honey Lemon & White Tea Multi-Symptom Pain Reliever/Fever Reducer",888
"cold flu allergy","NyQuil Cold & Flu Nighttime Relief",886
"cold flu allergy","Luden's Throat Drops Wild Cherry",882
"cold flu allergy","Cool Berry Pectin Throat Drops",864
"cold flu allergy","Day/Night Cold Formula Effervescent Tablets Multi-Symptom Relief",849
"cold flu allergy","Non-Medicated Saline & Aloe Nasal Spray",843
"cold flu allergy","Original Menthol Cough Drops",775
"cold flu allergy","Extended Chest Congestion 600 mg Expectorant",775
"cold flu allergy","Children's Claritin Non-Drowsy Allergy Relief Tablets Grape Flavor",765
"cold flu allergy","Baby Tiny Cold Tablets Quick-Dissolving - 125 CT",758
"cold flu allergy","ZzzQuil Nighttime Sleep-Aid LiquiCaps",750
"cold flu allergy","Pain Reliever and Fever Reducer Cherry Infant Drops",750
"cold flu allergy","Allergy 24 Hour 10mg Tablets",749
"cold flu allergy","24 Hour Allergy Dissolve Tabs",747
"cold flu allergy","Immune Support Supplement Assorted Fruit Flavored",744
"cold flu allergy","RediTabs Non Drowsy Indoor & Outdoor 24 Hour Allergy Tablets",731
"cold flu allergy","Honey/Lemon Cough Drops",727
"cold flu allergy","Saline Nasal Spray",711
"cold flu allergy","24 Hour Allergy Relief Liquid Gels",710
"cold flu allergy","Cold N Flu Liquid Gel",708
"cold flu allergy","Vicks DayQuil and NyQuil Cold & Flu Relief Combo",688
"cold flu allergy","Herbal Pastilles Cough Drops",677
"cold flu allergy","NyQuil Severe Cold & Flu",676
"cold flu allergy","Kids Saline Nasal Spray with Xylitol",654
"cold flu allergy","Cough Suppressant Throat Drops Honey Lemon with Echinacea - 24 CT",649
"cold flu allergy","Allergy 24 Hour Relief - 15 CT",642
"cold flu allergy","Umcka Cold Care Chewable Tablets Cherry Flavor",642
"cold flu allergy","Cherry Flavored Allergy",642
"cold flu allergy","Defense Sugar Free Vitamin C Drops",624
"cold flu allergy","DayQuil Severe Cold & Flu",624
"cold flu allergy","NyQuil Cold & Flu Nighttime Relief Cherry Flavor Liquid",616
"cold flu allergy","Immune System Support Blast of Vitamin C Assorted Fruit Flavors Dietary Supplement",614
"cold flu allergy","1,000 Mg Vitamin C Super Orange",611
"cold flu allergy","24 Hr Nasal Allergy Spray",611
"cold flu allergy","Children's Honey Cough Syrup",601
"cold flu allergy","Non-Drowsy Orally Disintegrating Antihistamine",557
"cold flu allergy","Allergy 24 Hour 10mg (Individual Blisters) Tablets",554
"cold flu allergy","Nasal Relief Simply Saline Nasal Mist",541
"cold flu allergy","Plus Sparkling Original Cold Effervescent Tablets 20 Ct",538
"cold flu allergy","Adult DM Max Cough+Chest Congestion Non-Drowsy Liquid",537
"cold flu allergy","Benadryl Allergy Ultratab Posted 10/14/2013 Allergy",530
"cold flu allergy","No Drip Severe Congestion Pump Mist Fast, Powerful Congestion Relief Maximum Strength Plus Menthol",525
"cold flu allergy","Vicks DayQuil Cold & Flu Relief Liquid",509
"cold flu allergy","24 Hour Allergy Relief Liquid",506
"cold flu allergy","Bubble Gum Flavored Liquid Allergy Relief",491
"cold flu allergy","Immune Support Supplement with Vitamin C Effervescent Citrus Flavor",474
"cold flu allergy","Extra Nasal Strips",473
"cold flu allergy","Saline Spray/Drops For Noses",469
"cold flu allergy","Mountain Menthol Menthol Drops Cough Suppressant/Oral Anesthetic",469
"cold flu allergy","NyQuil Severe Cold & Flu and DayQuil Severe Cold & Flu Caplets Convenience",465
"cold flu allergy","Cold Max Day Non-Drowsy Caplets Cold Medicine",457
"cold flu allergy","Wild Berries Sore Throat Lozenges",451
"cold flu allergy","Sugar Free Black Cherry Menthol Drops Cough Suppressant/Oral Anesthetic",449
"cold flu allergy","Extra Moisturizing NoDrip Pump Mist",448
"cold flu allergy","Vitamin C Raspberry",442
"cold flu allergy","Expectorant and Cough Suppresant",440
"cold flu allergy","Sore Throat Plus Coating Protection Wild Berry Flavor Spray",435
"cold flu allergy","Assorted Citrus Flavor Supplement Drops",429
"cold flu allergy","Natural Throat Drops Honey & Pomegranate",429
"cold flu allergy","First Defense Immune Formula Dietary Supplement",426
"cold flu allergy","Sinus-Max Maximum Strength Liquid Gels Severe Congestion Relief",422
"cold flu allergy","Cold Remedy Honey Lemon Lozenges",422
"cold flu allergy","12 Hour Maximum Strength Cough Suppressant",418
"cold flu allergy","Berry Chewable Tablets",415
"cold flu allergy","Organic Herbalozenge Lemon Honey Soother with Zinc & Vitamin C - 18 CT",415
"cold flu allergy","Nasal Relief Spray",414
"cold flu allergy","Severe Cold & Flu",414
"cold flu allergy","Sugar Free Honey Lemon Cough Drops",406
"cold flu allergy","Cold Care, Original Drops",404
"cold flu allergy","Cold Remedy, Quick Dissolve Tablets, Cherry Flavor",403
"cold flu allergy","No Drip Sinus Pump Mist",403
"cold flu allergy","Children's Allergy Relief Oral Suspension Berry Liquid",403
"cold flu allergy","ZzzQuil Nighttime Liquid Sleep-Aid Twin Pack",402
"cold flu allergy","Revitalizing Lemon Zest Herb Drops",395
"cold flu allergy","Natural Throat Drops Honey & Lemon",394
"cold flu allergy","Children's Grape Flavor Nighttime Cough Syrup",392
"cold flu allergy","Nasal Cleansing Salt",391
"cold flu allergy","Defense Vitamin C",390
"cold flu allergy","Immune Plus Citrus Drink Mix Dietary Supplement 1 Packet",389
"cold flu allergy","Night Time Cold & Cough Syrup Grape Flavor",380
"cold flu allergy","Sugar Free Mountain Menthol Flavor",376
"cold flu allergy","Eucalyptus Chest Rub",371
"cold flu allergy","Indoor & Outdoor Allergies, Original Prescription Strength, 10 mg, Tablets",368
"cold flu allergy","Cold Relief Multi-Symptom Children's Pellets",366
"cold flu allergy","Flu & Sore Throat Packets Pain Reliever/Fever Reducer",365
"cold flu allergy","Pulsatilla 30 C Homeopathic Pellets",363
"cold flu allergy","Allergies Grape Syrup",361
"cold flu allergy","Sugar Free Original Swiss Herb Throat Drops Cough Suppressant",357
"cold flu allergy","Allergy Plus Congestion Grape Flavored Liquid",351
"cold flu allergy","Sinus Congestion Relief",348
"cold flu allergy","Menthol Nasal Swab",344
"cold flu allergy","24 Hour Non-Drowsy Allergy Relief Liqui-Gels",342
"cold flu allergy","Cold Remedy Orange Cream Ultra RapidMelt",336
"cold flu allergy","Adult DM Max Nighttime Cough Liquid",336
"cold flu allergy","Daytime Severe Cold & Cough Berry Packets",335
"cold flu allergy","Sugar Free Black Cherry Cough Drops",330
"cold flu allergy","12 Hour Orange Adult Cough Suppressant",329
"cold flu allergy","Extra Strength Sore Throat & Cough Mixed Berry Lozenges Oral Pain Reliever/Cough Suppressant",325
"cold flu allergy","Cold Remedy Cherry Lozenges",321
"cold flu allergy","Green Tea & Honey Lemon Multi-Symptom Pain Reliever/Fever Reducer",317
"cold flu allergy","Immune+ Super Orange Drink Mix Dietary Supplement",316
"cold flu allergy","Cherry Menthol Cough Suppressant Drops",316
"cold flu allergy","Allergy Relief",313
"cold flu allergy","Sterile Saline Nasal Mist for Dry or Stuffy Nose",312
"cold flu allergy","Cough Syrup",308
"cold flu allergy","Children's Cough Syrup + Mucus With Dark Honey Dietary Supplement Natural Grape Flavor",302
"cold flu allergy","Sugar Free Black Currant Lozenges",296
"cold flu allergy","NyQuil Cough Nighttime Relief Cherry Flavor Liquid",295
"cold flu allergy","Ceramic Neti Pot",294
"cold flu allergy","Nighttime Cough & Bronchial Syrup",289
"cold flu allergy","Triple Soothing Action Mentho Lyptus Cough Drops Bonus Bag",289
"cold flu allergy","Immune Support Supplement Vitamin C Effervescent Orange",287
"cold flu allergy","Original Sambucus For Kids Standardized Elderberry",285
"cold flu allergy","Watermelon Sore Throat Drops",279
"cold flu allergy","Sore Throat Oral Anesthetic Lozenges Cherry - 18 CT",278
"cold flu allergy","24 Hour Allergy Relief Tablets",277
"cold flu allergy","NyQuil Severe Cold & Flu Nighttime Relief",277
"cold flu allergy","24 Hour Non-Drowsy Allergy Relief Tablets",276
"cold flu allergy","Cold & Cough Formula, Effervescent Tablets, Citrus",274
"cold flu allergy","Allergy 24 Hour 10mg Posted 10/28/2013 Dissolve Tabs",272
"cold flu allergy","Rescue Remedy, Spray",272
"cold flu allergy","NyQuil Cold & Flu Nighttime Relief Original Flavor Liquid",269
"cold flu allergy","Defense Watermelon Vitamin C Supplement Drops",268
"cold flu allergy","Berry Flavor Zinc Lozenges",266
"cold flu allergy","Nighttime Cough & Bronchial Syrup for Restful Sleep",256
"cold flu allergy","Children's Cold & Cough Liquid Grape Medicine",250
"cold flu allergy","Strawberry Menthol Cough Suppressant/Oral Anesthetic",247
"cold flu allergy","Original Nasal Strips",244
