Aisles,Product,amountBought
condiments,"Organic Ketchup",159226
condiments,"Tomato Ketchup",131698
condiments,"Organic Dijon Mustard",122230
condiments,"Original Hot Sauce",117710
condiments,"Real Mayonnaise",99668
condiments,"Organic Mayonnaise",93550
condiments,"Squeeze Tomato Ketchup",83336
condiments,"Organic Yellow Mustard",68767
condiments,"Organic Tahini",66923
condiments,"Classic Yellow Mustard",55844
condiments,"Dijon Mustard",54327
condiments,"Original Sauce",46839
condiments,"Just Mayo",45914
condiments,"Authentic Red Curry Paste",42228
condiments,"Old Style Whole Grain Dijon Mustard",33155
condiments,"Original BBQ Sauce",26901
condiments,"Organic Honey Mustard",26551
condiments,"Mayonnaise, Classic",25998
condiments,"The Original Worcestershire Sauce",25505
condiments,"Ccnut Raw Cocoaminos",25296
condiments,Mayonnaise,24886
condiments,"Hot Sauce",24562
condiments,"Organic Sweet Relish",24334
condiments,"Light Mayonnaise",23237
condiments,"Squeeze Real Mayonnaise",22242
condiments,"Dijon Mustard Squeeze Bottle",20317
condiments,"Spicy Brown Mustard",19939
condiments,"Original Vegenaise Dressing & Sandwich Spread",17853
condiments,"Organic Tomato Ketchup",17608
condiments,"Sriracha Sauce",16562
condiments,"Red Hot Original Cayenne Pepper Sauce",15304
condiments,"Country Dijon Mustard",14558
condiments,"Simply Heinz Tomato Ketchup",14414
condiments,"Mayo Made With Avocado Oil",13816
condiments,"Baked Organic Sea Salt Crunchy Pea Snack",13137
condiments,"Classic Ketchup",12996
condiments,"White Horseradish",12542
condiments,"Prepared White Horseradish",12457
condiments,"Mirin Rice Cooking Wine",11653
condiments,"Organic Dill Relish",11402
condiments,"Organic Raw Coconut Aminos",10701
condiments,"Organic Worcestershire",10574
condiments,"Organic Mayonnaise with Olive Oil",10513
condiments,"Organic Ketchup Gluten Free",9800
condiments,"Sweet Relish",9787
condiments,"Grapeseed Oil Vegenaise",9463
condiments,"Sriracha Hot Sauce",9394
condiments,"Red Hot Buffalo Wings Sauce",9337
condiments,"Organic Stone Ground Mustard",9062
condiments,"Original Medium Taco Sauce",8428
