Aisles,Product,amountBought
"cookies cakes","Chocolate Chip Cookies",101775
"cookies cakes","Gluten Free Chocolate Chip Cookies",92103
"cookies cakes","Fig Newmans Fruit Filled Cookies",59837
"cookies cakes","Oreo Chocolate Sandwich Cookies",46939
"cookies cakes","Newman O's Creme Filled Chocolate Cookies",42065
"cookies cakes","Honey Graham Sticks",38963
"cookies cakes","Fudge Mint Cookies",37406
"cookies cakes","Cookies, Chocolate Chip Walnut",36613
"cookies cakes","Chocolate Chip Cookie",35222
"cookies cakes","Mini Chocolate Chunk Cookies",32365
"cookies cakes","Honey Bunny Grahams",31980
"cookies cakes","Double Stuf Oreo Sandwich Cookies",30909
"cookies cakes","Original Chocolate Chip Cookies",29786
"cookies cakes","Whole Wheat Cookies Dark Chocolate",25506
"cookies cakes","Double Chocolate Chip Cookies",24268
"cookies cakes","Chocolate Whole Grain Graham Snacks Bunny Grahams",23747
"cookies cakes","Crackers Bunny Graham Friends Snack Packs",23167
"cookies cakes","Ginger Snap Cookies",22195
"cookies cakes","Vanilla Sandwich Creme Cookies",21531
"cookies cakes","Friends Honey, Chocolate & Chocolate Chip Bunny Grahams Whole Grain Snacks",21327
"cookies cakes","Rice Krispies Treats Original Crispy Marshmallow Squares",21159
"cookies cakes","Nilla Wafers",20741
"cookies cakes","Original Rice Krispies Treats",20420
"cookies cakes","Little Bites Chocolate Chip Muffins",19748
"cookies cakes","Oatmeal Raisin Cookies",17013
"cookies cakes","Milano Double Chocolate Cookies",16892
"cookies cakes","Pure Butter Shortbread",16528
"cookies cakes","Newman O's Creme Filled Mint Chocolate Cookies",14373
"cookies cakes","Peanut Butter Creme Cookies",13986
"cookies cakes","Chips Ahoy! Chewy Cookies",13827
"cookies cakes","Vegan Oatmeal Chocolate Chip Cookies",13628
"cookies cakes","Gluten Free Chocolate Coated Wafers",13555
"cookies cakes","Milano Mint Cookies",12940
"cookies cakes","Montauk Soft Baked Milk Chocolate Cookies",12877
"cookies cakes","Biscoff Cookie",12509
"cookies cakes","Cocoa & Vanilla Bunny Cookies Gluten Free Bunny Cookies Gluten Free",12499
"cookies cakes","Gluten Free Dream Cookies Chocolate Vanilla Creme",12447
"cookies cakes","Chocolate Macaroons",11792
"cookies cakes","Little Bites Blueberry Muffin Pouches",11673
"cookies cakes","Original Thins",11589
"cookies cakes","Honey Maid Fresh Stack Honey Grahams",11383
"cookies cakes","Vegan Peanut Butter Chocolate Chip Cookies",11335
"cookies cakes","Chocolate Sandwich Cookies",11271
"cookies cakes","Milano Dark Chocolate Cookies",10796
"cookies cakes","Snak-Saks Crackers",10591
"cookies cakes","White Chocolate Macadamia Nut Cookies",10394
"cookies cakes","Graham Crackers",10388
"cookies cakes","Dairy Free Gluten Free Chocolate Almond Butter Miracle Tart",10340
"cookies cakes","Smoreables Graham Style Crackers",10250
"cookies cakes","Gluten-Free Double Chocolate Chip Cookies",10197
"cookies cakes","Gluten Free Ginger Zinger Cookies",10186
"cookies cakes","Fair Trade Dark Chocolate Cookies",10109
"cookies cakes","Swiss Rolls",9826
"cookies cakes","Chocolate Chip Bunny Grahams Whole Grain Graham Snacks Bunny Grahams",9745
"cookies cakes","Hazelnut Bite Size Wafer Cookies",9725
"cookies cakes","Family Size Cookie Pack",9404
"cookies cakes","Donettes Powdered Mini Donuts",9384
"cookies cakes","Honey Snack Packs Bunny Grahams",9328
"cookies cakes","Petit Ecolier Milk Chocolate Biscuits",9022
"cookies cakes","Nutty Bars",8875
"cookies cakes","Golden Oreo Sandwich Cookies",8668
"cookies cakes","Chocolate Chip Snackimals",8578
"cookies cakes","Fudge Stripes Original Cookies",8527
"cookies cakes","Soft Baked Double Chocolate Brownie Cookies",8498
"cookies cakes","Oatmeal Cr̬me Pies",8475
"cookies cakes","Gluten-Free Lemon Wafers",7929
"cookies cakes","Quadratini Chocolate Cream Wafers",7905
"cookies cakes","Vanilla Cookies",7873
"cookies cakes","Snickerdoodle Cinnamon Sugar Cookies",7873
"cookies cakes","Fig Newtons Cookies",7860
"cookies cakes","Cookies, Fudge Striped",7795
"cookies cakes","Honey Graham Snacks",7758
"cookies cakes","Milano Milk Chocolate Cookies",7520
"cookies cakes","Nutter Butter Cookies",7467
"cookies cakes","Organic Chocolate Super Cookies",7392
"cookies cakes","Donettes Frosted Mini Donuts",7311
"cookies cakes","Double Stuf Chocolate Sandwich Cookies Family Size",7300
"cookies cakes","Sausalito Milk Chocolate Macadamia Cookies",7258
"cookies cakes","Brussels Cookies",7164
"cookies cakes","Oatmeal Dark Chocolate Cookies",7026
"cookies cakes","Organic Letter of the Day Very Vanilla Cookies",6915
"cookies cakes","Original Circus Animal Cookies",6804
"cookies cakes","Vegan Chocolate Chip With Walnuts Cookies",6796
"cookies cakes","Chessmen Cookies",6758
"cookies cakes","Pop'ems Glazed Donut Holes",6531
"cookies cakes","Dark Chocolate & Oats Granola Cookies",6465
"cookies cakes","Fig Newtons",6461
"cookies cakes","Frosted Chocolate Cup Cakes  with Creamy Filling",6359
"cookies cakes","Classic Variety Pack Donuts",6342
"cookies cakes","Snackimals Cookies Vanilla",6211
"cookies cakes","Nutter Butter Peanut Butter Bites Sandwich Cookies",6177
"cookies cakes","Snackimals Chocolate Chip Cookies",6117
"cookies cakes","Shortbread Cookies",6113
"cookies cakes","Gluten-Free Figgies & Jammies Cookies",5914
"cookies cakes","Ginger Snaps",5884
"cookies cakes","Double Stuf Golden Sandwich Cookies",5835
"cookies cakes","Oreo Mini/Nutter Butter Bites/Mini Chips Ahoy! Cookies",5787
"cookies cakes","Soft Baked Cookies Chocolate Chip",5747
"cookies cakes","Little Bites Fudge Brownies",5665
"cookies cakes","Tahoe White Chocolate Macadamia Cookies",5607
"cookies cakes","Sandwich Cookies & Crackers Variety Snack Packs",5519
"cookies cakes",Brownie,5472
"cookies cakes","Ginger-O's Creme Filled Ginger Cookies",5434
"cookies cakes","Friends Bunny Grahams",5324
"cookies cakes","Soft Baked Chocolate Chip Cookies Gluten Free",5293
"cookies cakes","Gluten Free Vanilla Creme Cookies",5288
"cookies cakes","Oreo Mini Bite Size Chocolate Sandwich Cookies",5287
"cookies cakes","Vanilla Animal Cookies",5284
"cookies cakes","Chocolate Mint Creme Sandwich Cookies",5182
"cookies cakes","Thin Mint Crisp Oreos",5117
"cookies cakes","Mini Nilla Wafers",5080
"cookies cakes","Strawberry Thumbprint Cookies",5061
"cookies cakes","Brownie Bites",5057
"cookies cakes","Oatmeal Snackimals Cookies",5039
"cookies cakes","Rich Frosted Donuts",5021
"cookies cakes","Chocolate Graham Snacks",4928
"cookies cakes","Vanilla Bite Size Wafer Cookies",4906
"cookies cakes","Pretzel ""Shells"",107,19
18049,Thirst Quencher Caffeine Free Naturally Flavored Citrus Soda,77,7
18050,Gluten free Spaghetti,131,9
18051,"Coffee Cake, Cinnamon Walnut",4842
"cookies cakes","Chunky Chocolate Chunk Cookies",4736
"cookies cakes","Oatmeal Animal Cookies",4721
"cookies cakes","Blonde Macaroons",4696
"cookies cakes","Dark Chocolate Double Chocolate Nantucket",4526
