Aisles,Product,amountBought
crackers,"Crackers Cheddar Bunnies Snack Packs",139356
crackers,"Cheddar Bunnies Snack Crackers",119182
crackers,"Hint Of Sea Salt Almond Nut Thins",108870
crackers,"Organic Lightly Salted Brown Rice Cakes",85903
crackers,"Almond Nut & Rice Cracker Snacks",81147
crackers,"Organic Wheat-Free & Gluten-Free Original Crackers",78519
crackers,"Organic Mini Sandwich Crackers Peanut Butter",78247
crackers,"Crispy Wheat, Crackers",74599
crackers,"Goldfish Cheddar Baked Snack Crackers",74218
crackers,"Original Black Box Tablewater Cracker",74152
crackers,"Organic Wheat Square Crackers",73687
crackers,"Saltine Crackers",68461
crackers,"Crackers Harvest Whole Wheat",67480
crackers,"Organic Stoneground Wheat Crackers",60070
crackers,"Original Fresh Stack Crackers",53013
crackers,"Organic Mini Sandwich Crackers Cheddar Cheese",51194
crackers,"6 OZ LA PANZANELLA CROSTINI ORIGINAL CRACKERS",50763
crackers,"Original Wheat Thins",48030
crackers,"Cheddar Snack Crackers Cheddar Bunnies",46635
crackers,"Goldfish Cheddar Baked Snack Crackers Multi Packs",46343
crackers,"Premium Original Saltine Crackers",45871
crackers,"Honey Maid Graham Crackers",45348
crackers,"Organic Classic Rich Crackers",44743
crackers,Crackers,44156
crackers,"Classic Round Crackers",43231
crackers,"Original Baked Whole Grain Wheat Crackers",42042
crackers,"Organic Cheddar Bunnies",41807
crackers,"Crispy Cheddar Crackers",41368
crackers,"Organic Brown Rice Cake Salt-Free",40815
crackers,"Cheese Square Crackers",40428
crackers,"Whole Grain Cheddar Baked Snack Crackers",40313
crackers,"Herb Crackers",40076
crackers,"Organic Golden Round Crackers",39314
crackers,"Super Seed Crispy Crackers",39130
crackers,"Original Gluten Free Crackers",37733
crackers,"Wheat Thins Reduced Fat Crackers",37257
crackers,"Whole Wheat Crackers",37254
crackers,"Rosemary Mini Croccantini",36284
crackers,"Multi-Seed Original Crackers",33893
crackers,"Cheddar Cheese Nut Thins Cracker Snacks",33599
crackers,"Lightly Salted Rice Cakes",32133
crackers,"Sesame Whole Wheat Crackers",32074
crackers,"Original Baked Snack Crackers",31553
crackers,"Single Serve Crispy Wheat Crackers",31061
crackers,"Gluten Free Multi Seed Rice Thin Crackers",28694
crackers,"Rainbow Crisps Fig And Olive Crackers",28273
crackers,"Whole Wheat Bunnies Baked Snack Crackers",28241
crackers,"Organic Cinnamon Graham Crackers",28217
crackers,"Baked Snack Crackers Original",28109
crackers,"Thin Stackers Brown Rice Lightly Salted",28099
crackers,"Yogurt Pretzels",27530
crackers,"Organic Honey Graham Crackers",26615
crackers,"Whole Grain Cheddar Baked Goldfish Crackers",26580
crackers,"Mini Peanut Butter Sandwich Crackers",25222
crackers,"Original Wheat Thins Crackers",25006
crackers,"Pecan Nut & Rice Cracker Snacks",24348
crackers,"White Cheddar Snack Crackers Cheddar Bunnies",23725
crackers,"Oyster Crackers",22803
crackers,"Original 7 Grain Crackers",22768
crackers,"Triscuit Baked Whole Grain Wheat Rosemary & Olive Oil",21340
crackers,"Cheez-It Cheddar Cracker",21214
crackers,"Multi Grain Crispbread",21149
crackers,"Almond Snack Crackers",21137
crackers,"Lightly Salted Brown Rice Cakes",20495
crackers,"Crackers, Crispy, Cheddar",20051
crackers,"Rice Thins Brown Rice Snack Crackers",19435
crackers,"Organic Mini Cheddar Cheese Crackers",18768
crackers,"Cheez-It Baked Snack Crackers",17436
crackers,"Original Club Crackers",17174
crackers,"Organic Cheddar Squares",17061
crackers,"Raincoast Crisps Cranberry And Hazelnut Crackers",16893
crackers,"Baked Whole Grain Wheat Cracked Pepper & Olive Oil Crackers",16640
crackers,"Cinnamon Toast Organic Rice Cakes",16109
crackers,"Triscuit Original Baked Whole Grain Wheat Crackers",16034
crackers,"Rosemary Raisin Raincoast Crisps",15800
crackers,"Multi-Grain Sea Salt Crackers",15385
crackers,"Salty Date Raincoast Crisps",15018
crackers,"White Cheddar Baked Snack Crackers",14869
crackers,"Almond Flour Fine Ground Sea Salt Crackers",14721
crackers,"Brown Rice Snaps Black Sesame",14109
crackers,"Rice Thin Sesame Seed Gluten Free Crackers",13919
crackers,"Reduced Fat Original Baked Snack Crackers",13909
crackers,"Multi-Seeds Cracker",13834
crackers,"Organic Animal Crackers",13705
crackers,"Organic Classic Saltine Crackers",13518
crackers,"Table Water Crackers with Cracked Pepper",13390
crackers,"Goldfish Original Baked Snack Crackers",13309
crackers,"Goldfish Pretzel Baked Snack Crackers",13174
crackers,"Original Crackers",12774
crackers,"Organic Black Pepper",12680
crackers,"Organic Saltine Baked Cracker Classic Crackers",12600
crackers,"Wheat Thins Original",12286
crackers,"Organic Brown Rice Snaps Unsalted Plain",12246
crackers,"Multigrain Flax Seeded Flatbread Crackers",12005
crackers,"Caramel Corn Rice Cakes",11873
crackers,"Baked Whole Grain Reduced Fat Crackers",11701
crackers,"Flavor Blasted Xtra Cheddar Baked Goldfish Crackers",11514
crackers,"Goldfish Parmesan Baked Snack Crackers",11460
crackers,"Light Rye Crispbread",11224
crackers,"Crackers, Puffed, Lightly Salted Brown Rice",10471
crackers,"Original Multigrain Crackers",10286
crackers,"Minis Original Saltine Crackers",10033
crackers,"Flavor Blasted Xtra Cheddar Goldfish Crackers",9988
crackers,"Organic Tamari With Seaweed Rice Cake",9784
crackers,"Crackers, Baked, Crispy Sea Salt",9770
crackers,"Crackers, Puffed, Corn, Quinoa & Sesame",9737
crackers,"Natural Crackers",9596
crackers,"White Cheddar Rice Cakes",9498
crackers,"Crackers Almond Flour Farmhouse Sharp Cheddar",9409
crackers,"Soup & Oyster Crackers",9332
crackers,"Pepperidge Farm Goldfish Neon Colors Baked Snack Crackers",9285
crackers,"Crackers Almond Flour Rosemary Sea Salt",9272
crackers,"Honey Low Fat Grahams",8956
crackers,"Gluten Free Crackers Multigrain",8643
crackers,"Honey Maid Cinnamon Grahams",8580
crackers,"Honey Graham Crackers",8513
crackers,"Sea Salt Garden Veggie Straws",8466
crackers,"Baked Whole Grain Wheat Original Crackers Thin Crisps",8434
crackers,"Rosemary Crackers",8423
crackers,"Crunchy Rice Rollers",8302
crackers,"Organic Buttery Rich Classics",8041
crackers,"Original Thin Rye Crispbread",7766
crackers,"Kale & Sea Salt Popcorn",7750
crackers,"Cheddar Squares Cheddar Squares",7719
