Aisles,Product,amountBought
cream,"Organic Half & Half",480951
cream,"Half & Half",461968
cream,"Organic Heavy Whipping Cream",202097
cream,"Heavy Whipping Cream",177217
cream,"Organic Whipping Cream",80586
cream,"French Vanilla Creamer",60827
cream,"Half and Half",47893
cream,"Heavy Cream",41847
cream,"Coconut Almond Unsweetened Creamer Blend",39945
cream,"Original Whipped Cream",30506
cream,"Dairy Free Unsweetened Vanilla Coconut Milk",27592
cream,"Half And Half Cream",27391
cream,"Hazelnut Bromstad Design Liquid Coffee Creamer",27010
cream,"Lactose Free Half & Half",24817
cream,"Barista Blend Pure Almond Milk",22459
cream,"French Vanilla Sugar Free Liquid Coffee Creamer",21641
cream,"Fat Free French Vanilla Creamer",19892
cream,"Coconut Almond Creamer Blend",19421
cream,"French Vanilla Coffee Creamer",17919
cream,"Squeeze Pouch Sour Cream",17102
cream,"Creme Fraiche French Cultured Cream",16093
cream,"Extra Creamy Dairy Whipped Topping",15608
cream,"Natural Bliss Salted Caramel Flavor All-Natural Coffee Creamer",15037
cream,"Sweetened Light Whipped Cream",13964
cream,"Original Coffee Creamer",13480
cream,"Star Wars Italian Sweet Creme Creamer",12094
cream,"Hazelnut Coffee Sugar Free CoffeeCreamer",11353
cream,"Coffee Mate Natural Bliss Sweet Creme Coffee Creamer",10830
cream,"French Vanilla Half+Half",10785
cream,"Whipped Light Cream, Original",10741
cream,"Hazelnut Fat Free Liquid Coffee Creamer",9892
cream,"Light Cream",8951
cream,"Dairy Pure Heavy Whipping Cream",8447
cream,"Organic Half And Half",7502
cream,"Hazelnut Coffee Creamer",7490
cream,"Reddi Wip Fat Free Whip Cream",7136
cream,"Land O' Lakes Mini Moo's Half & Half",6641
cream,"Caramel Macchiato Gourmet Coffee Creamer",6596
cream,"Peppermint Mocha Liquid Coffee Creamer",6545
cream,"Unsweetend Creamer",6155
cream,"Sugar Free Italian Sweet Creme Coffee Creamer",6052
cream,"Whipping Cream Ultra Pasteurized",5654
cream,"Organic Heavy Cream",5531
cream,"Dairy Pure Fresh Heavy Whipping Cream",5203
cream,"Dairy Pure Fresh Half & Half",4931
cream,"Fat Free Half And Half Creamer",4907
cream,"Hazelnut Half+Half",4901
cream,"Original Powder Coffee Creamer",4871
cream,"Heavy Whip Cream",4788
cream,"Natural Bliss Cinnamon Cream Coffee Creamer",4631
cream,"Rich & Creamy Fat-Free Half & Half Ultra-Pasteurized",4283
cream,"Caramel Macchiato Creamer",4044
cream,"Natural Bliss Hazelnut Coffee Creamer",3819
cream,"Original Non-Dairy Coffee Creamer",3778
cream,"Hazelnut Gourmet Coffee Creamer",3704
cream,"Mini I.D.'s French Vanilla Creamer, Singles",3430
cream,"Natural Bliss All Natural Coffee Creamer Sweet Cream Flavor",3190
cream,"The Original Liquid Coffee Creamer",3155
cream,"Fat Free Half & Half",3031
cream,"Rice Whip",2922
cream,"Ultra Pasteurized Grade A Heavy Whipping Cream",2842
cream,"14 Oz Half And Half",2723
cream,"Fat Free Half & Half Ultra-Pasteurized",2600
cream,"Coconut Cr̬me Coffee-Mate Coffee Creamer",2490
cream,"Ultra Half & Half",2442
cream,"Cold Stone Creamery Sweet Cream Coffee Creamer",2408
cream,"CoffeeMate French Vanilla Sugar Free Creamer",2401
cream,"Mini Moo's Real Cream Half & Half",2212
cream,"Hershey's Chocolate Caramel Gourmet Coffee Creamer",2181
cream,"Extra Creamy Whipped Cream",2165
cream,"Heavy Whipping Crean Ultra Pasteurized Grade A",1914
cream,"Original Whipped Topping With Real Cream",1892
cream,"Original Fat Free Powder Coffee Creamer",1874
cream,"Non Alcoholic The Original Irish Cream Coffee Creamer",1840
cream,"Soy Whip Whipped Topping",1795
cream,"English Double Devon Cream",1699
cream,"Almond Joy Creamer",1633
cream,"pumpkin spice",1617
cream,"Dairy Whipped Topping",1584
cream,"Mini I.D.'s Caramel Macchiato Non-Dairy Coffee Creamer",1532
cream,"Extra Sweet, Extra Creamy Coffee Creamer",1517
cream,"Original Fat Free Liquid Creamer",1445
cream,"Clotted Cream, English Luxury",1363
cream,"Chocolate Cafe Mocha Creamer",1325
cream,"Natures's Dairy-Free Creamer French Vanilla Unsweetened",1309
cream,"Hazelnut Dairy Free Creamer",1247
cream,"Non-Dairy French Vanilla Singles Creamer",1193
cream,"White Chocolate Mocha Coffee Creamer",1132
cream,"Caramel Macchiato Coffee Creamer",1126
cream,"Cinnabon Classic Cinnamon Roll Coffee Creamer",1108
cream,"French Vanilla Fat Free Coffee Creamer",981
cream,"Whipping Cream",966
cream,"Rich & Creamy Lowfat Half And Half",933
cream,"Chocolate Chip Cookie Coffee Creamer",876
cream,"Coffee Rich Original Non-Dairy Creamer",697
cream,"Cultured Cream Cheese",682
cream,"French Vanilla Liquid Coffee Creamer",665
cream,"Ultra-Pasteurized Half & Half",661
cream,"Non Alcoholic French Vanilla Coffee Creamer",658
cream,"Chantilly Creme",633
cream,"Dairy Pure Fresh Half And Half",603
cream,"Coffee-Mate Creme Brulee Flavor Coffee Creamer",545
cream,"Dairy Pure Half & Half",507
cream,"Salted Caramel Mocha Creamer",494
cream,"Irish Creme Cafe Gourmet Coffee Creamer",472
cream,"Rich and Creamy Ultra-Pasteurized Half and Half",434
cream,"French Vanilla Sugar Free Powder Coffee Creamer",408
cream,"French Vanilla Sugar Free Coffee Creamer",386
cream,"Sugar Free And Fat Free Caramel Creme Coffee Creamer",343
cream,"Sugar Free Hazelnut Coffee Creamer",338
cream,"Non Alcoholic Caramel Coffee Creamer",323
cream,"Southern Butter Pecan Gourmet Coffee Creamer",317
cream,"Coffee House Skinny Caramel Macchiato Creamer",316
cream,"Vanilla Caramel Coffee Creamer",285
cream,"White Chocolate Macadamia Coffee Creamer",248
cream,"Non Alcoholic Hazelnut Coffee Creamer",243
cream,"Coffee Creamer Frosted Vanilla Cookie",227
cream,"Mini I.D.'s Cold Stone Creamery Sweet Cream Non-Dairy Coffee Creamer",213
cream,"Hazelnut Sugar Free Powder Coffee Creamer",194
cream,"Fat Free French Vanilla Coffee Creamer",186
cream,"Sugar-Free Whipped Heavy Cream",181
cream,"French Vanilla Concentrated Liquid Coffee Creamer",176
cream,"Snickerdoodle Coffee Creamer",176
cream,"Heath Coffee Creamer",175
cream,"French Vanilla Fat Free Powder Coffee Creamer",172
cream,"Sugar Free Peppermint Mocha Coffee Creamer",170
cream,"Pumpkin Pie Spice Coffee Creamer",168
cream,"Amaretto Cafe Coffee Creamer",164
cream,"Simply Pure Caramel",164
cream,"Coffee Mate 2 Go Hazelnut Coffee Creamer",138
cream,"Original Dairy Whipped Topping",133
cream,"Creme Brulee Coffee Creamer",128
cream,"Coffee Mate Sugar Free Pumpkin Spice Coffee Creamer",123
cream,"Coffee Creamer White Chocolate Raspberry",110
cream,"Gourmet Half And Half",108
cream,"Creamy Chocolate Powder Coffee Creamer",106
cream,"Melanie Medleys Vegetable Cream Cheese",101
cream,"Vanilla Caramel Creme Coffee Creamer",101
cream,"Hazelnut Macchiato Gourmet Coffee Creamer",99
cream,"Non Alcoholic Vanilla Brown Sugar Coffee Creamer",97
cream,"Sugar Free French Vanilla Coffee Creamer",96
cream,"Creamer Peppermint Chocolate Truffle",92
cream,"Creamy Chocolate Sugar Free Powder Coffee Creamer",88
cream,"Hershey's Chocolate Singles Creamer",87
cream,"Pumpkin Spice Eggnog",79
cream,"Simply Pure Hazelnut Coffee Creamer",73
cream,"Coldstone Sweet Cream",72
cream,"Whipped Peanut Butter & Salty Caramel",55
cream,"Fat Free Half And Half",53
cream,"Caramel Almond Creamer",50
cream,"Coffee-Mate Star Wars Spiced Latte Coffee Creamer",40
cream,"Caramel Macchiato",38
cream,"Non Alcoholic Baileys Mudslide Coffee Creamer",38
cream,"Non-Alcoholic White Chocolate Peppermint Bark Coffee Creamer",35
cream,"French Vanilla Sugar Free Non Dairy Creamer",33
cream,"Caramel Coffee Creamer",31
cream,"Mocha Flavored Coffee Creamer",26
