Aisles,Product,amountBought
deodorants,"Men Dry Protection Cool Rush Antiperspirant & Deodorant",5124
deodorants,"Lavender Long Lasting Deodorant",5092
deodorants,"Unscented Long Lasting Stick Deodorant",3912
deodorants,"Antiperspirant Deodorant Cool Essentials Fresh Scent",3586
deodorants,"Shower Fresh Invisible Solid Women's Antiperspirant & Deodorant",3458
deodorants,"Clean Comfort Antiperspirant Deodorant",3039
deodorants,"Cedarwood Deodorant",2836
deodorants,"Solid Original Clean Deodorant Clinical Protection",2405
deodorants,"Body Deodorant Roll-On",2202
deodorants,"Clinical Strength Secret Clinical Strength Smooth Solid Women's Antiperspirant & Deodorant Light & Fresh Scent",2154
deodorants,"Organic All Day Fresh Deodorant Lavender",2144
deodorants,"High Endurance Pure Sport Anti-Perspirant/Deodorant",1971
deodorants,"Beautiful Earth Long Lasting Women's Deodorant",1857
deodorants,"Powder Antiperspirant Deodorant",1838
deodorants,"Clean Comfort Deodorant",1786
deodorants,"Natural Active Life Aluminum Free Deodorant Sport Stick",1767
deodorants,"Classic Original Scent Deodorant",1720
deodorants,"Original Care Natural Unscented Deodorant",1493
deodorants,"Men Cool Rush Anti-Persperant Twin Pack",1355
deodorants,"Deodorant Antiperspirant Gel- Lavender Scent",1343
deodorants,"Unscented PH Balanced Antiperspirant & Deodorant",1332
deodorants,"Shower Clean Antiperspirant Deodorant",1322
deodorants,"Mountain Spring Long Lasting Deodorant for Men",1296
deodorants,"Deodorant Sandalwood",1257
deodorants,"UltraClear Invisible Solid Pure Clean Anti-Perspirant & Deodorant",1214
deodorants,"Phoenix Daily Fragrance",1193
deodorants,"Lemongrass Long Lasting Deodorant Stick",1137
deodorants,"Men Dry Protection Extreme Blast Antiperspirant & Deodorant 2.7 oz, Twin",1132
deodorants,"Extra Fresh Antiperspirant Deodorant",1103
deodorants,"Outlast Xtend Secret Outlast Xtend Invisible Solid Completely Clean Antiperspirant/Deodorant 2.6 oz AP/DO & Body Spray",1099
deodorants,"Citrus Deodorant",1080
deodorants,"Natural Active Life Deodorant",1022
deodorants,"Fresh Invisible Solid Anti-Perspirant Deodorant",1021
deodorants,"Endurance Cool Wave Clear Gel Anti-Perspirant & Deodorant",1013
deodorants,"Clinical Protection Shower Clean Anti-Perspirant & Deodorant",968
deodorants,"Fresh High Endurance Deodorant",963
deodorants,"Deodorant Fresh Scent",933
deodorants,"Roll-on Lavender & White Tea Mineral Deodorant",933
deodorants,"Clinical Strength Secret Clinical Strength Clear Gel Women's Antiperspirant & Deodorant Completely Clean Scent 1.6 oz  Female AP/DO & Body Spray",912
deodorants,"Clinical Strength Secret Clinical Strength Smooth Solid Women's Antiperspirant & Deodorant Sensitive Hypoallergenic Unscented 1.6 oz  Female AP/DO & Body Spray",911
deodorants,"High Endurance Invisible Solid Fresh Anti-Perspirant/Deodorant",843
deodorants,"Cool Essentials Anti-Perspirant Deodorant",835
deodorants,"Ultimate Go Fresh Revive Pomegranate & Lemon Verbena Scent Anti-Perspirant Deodorant",812
deodorants,"Organic Deodorant Spray All Day Clean Citrus",791
deodorants,"Apollo Anti-Perspirant & Deodorant Stick",785
deodorants,"Death By Lavender Deodorant",782
deodorants,"Clean Antiperspirant and Deodorant",775
deodorants,"Deodorant, Wild Rose",768
deodorants,"Red Zone Collection Deodrant - Swagger",766
deodorants,"Dusk Deodorant",762
deodorants,"High Endurance Pure Sport Deodorant",744
deodorants,"Fresh Apricot Long Lasting Deodorant",724
deodorants,Deodorant,706
deodorants,"Mineral Deodorant Roll-On Chamomile Green Tea",698
deodorants,"Invisible Solid Unscented Deodorant",682
deodorants,"Fresh Invisible Solid Anti-Perspirant/Deodorant",670
deodorants,"Fresh Scent Speed Stick Deodorant",657
deodorants,"Natural Powder Long Lasting Deodorant",655
deodorants,"Solid Cool Essentials W/Cucumber & Green Tea Scent Deodorant Clinical Protection",649
deodorants,"Invisible Solid Powder Fresh Antiperspirant/Deodorant",638
deodorants,"Phoenix Antiperspirant Stick",631
deodorants,"Dry Spray Cool Essentials Antiperspirant",625
deodorants,"Fiji Anti Perspirant & Deodorant",616
deodorants,"Advanced Care Cool Essentials Anti-Perspirant Deodorant",615
deodorants,"Men's Clean Confidence Deodorant",608
deodorants,"Original Unscented Roll-On Antiperspirant Deodorant",598
deodorants,"Red Zone Collection Deodrant - Pure Sport",591
deodorants,"Apollo Daily Fragrance",576
deodorants,"High Endurance Pure Sport Twin Pack Deodorant",573
deodorants,"Calendula Long Lasting Deodorant",570
deodorants,"Dry Spray Antiperspirant",570
deodorants,"Fragrance Free Crystal Body Deodorant Roll On Stick",552
deodorants,"Deodorant, Lavender",552
deodorants,"Purifying Tea Tree Pure Natural Deodorant Stick",546
deodorants,"Woman's PowderGel Odor Protection Shower Fresh Anti-Perspirant & Deodorant",539
deodorants,"Clinical Advanced Solid Ultimate Fresh Anti-Perspirant and Deodorant & Body Spray",539
deodorants,"Outlast Invisible Solid, Clear Gel, Completely Clear Deodorant",526
deodorants,"Wild Collection Wolfthorn Scent Men's Invisible Solid Anti-Perspirant & Deodorant",520
deodorants,"Cool Comfort Antiperspirant",511
deodorants,"Deodorant with Oil of Sage",498
deodorants,"Sage Deodorant",489
deodorants,"Clinical Strength Invisible Solid Completely Clean Antiperspirant/Deodorant",488
deodorants,"Lavender Deodorant Stick",479
deodorants,"Natural Deodorant, Tea Tree, Lavender",477
deodorants,"High Endurance Fresh Twin Pack Deodorant",477
deodorants,"Men Clinical+ Clean Anti-Perspirant & Deodorant",463
deodorants,"Fragrance Free Natural Confidence Deodorant Crystal",462
deodorants,"Honeysuckle Rose Long Lasting Deodorant",452
