Aisles,Product,amountBought
digestion,"Organic Lowfat Mango Kefir",13803
digestion,"Organic Kids Berry Cherry Flavor Probiotic Chews",9380
digestion,"Straightshot Probiotic Oat Drink",9315
digestion,"Raw Probiotics Women probiotic 85 Billion 32 Strains capsules",7724
digestion,"Kids Berry Probiotic Chewables",6373
digestion,"Strawberry Probiotic Dairy Drink",5131
digestion,"Organic Rice Probiotic Drink Blueberry",5091
digestion,"Ultimate Flora Critical Care 50 Billion",4851
digestion,"Probiotic Dairy Culture Strawberry",3704
digestion,"Adult's Probiotic Capsules",3116
digestion,"Fresh Coconut Water Probiotic Berry Flavor",2876
digestion,"Cherry Flavor Primadophilus Kids Chewables",2856
digestion,"Vanilla Chamomile Flavor Super Shot Probiotic Drink",2741
digestion,"Rice Based Formula Vanilla Probiotic",2694
digestion,"Ultra Strength Assorted Berries Antacid",2372
digestion,"Organic Fermented Rice Probiotic",2288
digestion,"Original Probiotic Dairy Culture",2113
digestion,"Natural Raspberry Flavor Yum Yum Dophilus Probiotic",2020
digestion,"Raw Probiotic Kids",1937
digestion,"Organic Lemon Ginger Flavor Super Shot Probiotic Drink",1927
digestion,"Liquid Upset Stomach Reliever/Anti-Diarrheal",1879
digestion,"OTC Acid-Reducer Omeprazole 20mg",1813
digestion,"Strawberry Flavor Fermented Dairy Probiotic Acidophilus+C",1786
digestion,"Raw Probiotics Vaginal Care  50 Billion 38 Strains",1771
digestion,"Laxative Unflavored",1681
digestion,"Maximum Strength Tablets Acid Reducer",1667
digestion,"Ultimate Flora RTS Women's Probiotic 15 Billion Cultures Delayed Release Vegetarian Capsules",1632
digestion,"Saline Enema",1546
digestion,"Multi-Symptom Relief Caplets",1443
digestion,"Primadophilus Kids Orange Flavor Chewables",1354
digestion,"Doctor Formulated Ultimate 90 Billion Probiotic",1340
digestion,"RAW Probiotics Men",1327
digestion,"Tropical Flavor Dairy-Free Probiotic Kefir",1263
digestion,"5 Symptom Digestive Relief Liquid",1241
digestion,"Immunity Probiotic",1241
digestion,"Extra Strength Assorted Fruit Antacid",1224
digestion,"One a Day Ultimate Flora Adult Formula Capsules",1223
digestion,"Ultra Assorted Fruit Antacid Tablets",1209
digestion,"PepcidÂ® AC Acid Reducer Tablets",1200
digestion,"Doctor Formulated Probiotics Once Daily Women's 50 Billion Guaranteed Vegetarian Capsules",1196
digestion,"Max Strength Liquid Upset Stomach Reliever/Anti-Diarrheal",1189
digestion,"Ultimate Flora RTS Daily Probiotic 15 Billion",1165
