Aisles,Product,amountBought
"dish detergents","Natural Free & Clear Dish Liquid",87052
"dish detergents","Lemon Verbena Dish Soap",67117
"dish detergents","Dishwasher Gel Free & Clear",42309
"dish detergents","Lavender Floral & Mint Natural Dish Liquid",37629
"dish detergents","Basil Dish Soap",36568
"dish detergents","Lavender Dish Soap",34875
"dish detergents","Natural Free & Clear Dishwasher Detergent Packs",34401
"dish detergents","Lemongrass & Clementine Zest Natural Dish Liquid",28677
"dish detergents","Ginger Yuzu Scented Dish Soap",22052
"dish detergents","Citrus Dish Soap",20887
"dish detergents","Ultra Original Scent Dishwashing Liquid",20778
"dish detergents","Geranium Liquid Dish Soap",20413
"dish detergents","Completeâ„¢ ActionPacsâ„¢ Fresh Scent Dishwasher Detergent",19215
"dish detergents","Smarty Dish Free and Clear Dishwasher Tablets",18387
"dish detergents","Free & Clear Natural Dishwasher Detergent",16554
"dish detergents","Ultra Apple Blossom Antibacterial Dish Liquid",15470
"dish detergents","Jet-Dry Original Rinse Aid",13384
"dish detergents","Free & Clear Automatic Dishwasher Detergent",13325
"dish detergents","Lemon Natural Dishwasher Detergent Gel",13035
"dish detergents","Ultra Concentrated Original Scent Dishwashing Liquid",11772
"dish detergents","Platinumâ„¢ ActionPacsâ„¢ Fresh Scent Dishwasher Detergent",10692
"dish detergents","Automatic Dishwasher Tablets Citrus - 25 CT",10186
"dish detergents","Honeysuckle Dish Soap",10176
"dish detergents","Clementine Dish Soap",9707
"dish detergents","Dishwasher Detergent ActionPacs Fresh Scent",9700
"dish detergents","Lemon Dish Liquid",9660
"dish detergents","Complete ActionPacs Fresh Scent Dishwasher Detergent",9623
"dish detergents","Antibacterial Concentrated Dish Soap",9388
"dish detergents","Dishmate Ultra Grapefruit Dishwashing Liquid",7721
"dish detergents","Action Pacs, Fresh Scent with Dawn",7412
"dish detergents","Fresh Scent Dishwasher Detergent",7380
"dish detergents","Dishwasher Detergent",7116
"dish detergents",All-In-1,7063
"dish detergents","Lemon Mint Dish Soap",6898
"dish detergents","Mrs Meyers Dish Soap Rosemary",6786
"dish detergents","CASCAD ACTION PACS REG 60CT",6745
"dish detergents","Original Ultra Concentrated Ultra Concentrated",6700
"dish detergents","Ultra Dawn Ultra Dishwashing Liquid Antibacterial Orange 21.6 Oz Dish Care",6661
"dish detergents","Fresh Scent Dishwasher Detergent with Dawn",5921
"dish detergents","Ultra Power Plus Dishwashing Detergent el, Fresh Scent",5478
"dish detergents","Ultra Free & Clear Dishwashing Liquid",5281
"dish detergents","Smarty Dish Pink Grapefruit Dishwasher Detergent Tabs",5029
"dish detergents","Classic Scent Liquid Dish Soap",4890
"dish detergents","Original Dish Liquid",4824
"dish detergents","Dishmate Lavender DIsh Liquid",4571
"dish detergents","Dishwasher Detergent, Fresh Scent",4393
"dish detergents","Complete with Dawn Citrus Breeze Scent Gel Dishwasher Detergent",4289
"dish detergents","All in 1 Powerball Fresh Scent Automatic Dishwasher Detergent",4170
"dish detergents","ECOS Dishmate Free & Clear Dish Liquid",3782
"dish detergents","Bluebell Dish Soap",3773
"dish detergents","Complete Powder",3660
"dish detergents","Powerball Quantum Max Shine & Protect Automatic Dishwasher Detergent",3654
