Aisles,Product,amountBought
"dog food care","Good Buddy Beef Jerky Dog Treat",6008
"dog food care","Snack Sticks Chicken & Rice Recipe Dog Treats",6007
"dog food care","Small Dog Biscuits",5428
"dog food care","Organix Chicken & Brown Rice Recipe",5360
"dog food care","Chicken & Vegetable Snack Sticks for Dogs",5246
"dog food care","Standard Size Pet Waste bags",5112
"dog food care","Organix Grain Free Chicken & Vegetable Dog Food",4746
"dog food care","Beef Stew Canned Dog Food",3923
"dog food care","Strips Bacon Flavor Bacon Dog Snacks",3494
"dog food care","Premium Dog Treats Peanut Butter Flavor, Medium Size",3460
"dog food care","Organix Butcher & Bushel Grain-Free Turkey Dinner Canned Dog Food",3343
"dog food care","Good Buddy USA Rawhide Braid Dog Chews",3283
"dog food care","Original Beef Flavor Dog Snacks",3130
"dog food care","Dog Snacks, Medium",3032
"dog food care","5 Meaty Flavors Variety Dog Snacks",3024
"dog food care","Organix Butcher & Bushel Grain-Free Tender Chicken Canned Dog Food",3013
"dog food care","Organix Grain Free Turkey & Vegetable Dog Food",2976
"dog food care","Organix Butcher & Bushel Grain Free Shredded Chicken Dog Food",2960
"dog food care","Chicken Stew Natural Food for Dogs",2818
"dog food care","Spots Stew Chicken Dry Dog Food",2652
"dog food care","Spot's Stew Salmon Dry Dog Food",2528
"dog food care","Filet Mignon Canine Cuisine Wet Dog Food",2501
"dog food care","Core Original Grain Free Dry Dog Food",2493
"dog food care","Select Tender Chicken with Vegetables & Brown Rice Dog Food Recipe",2387
"dog food care","Organix Butcher & Bushel Chicken Wing & Thigh Grain Free Adult Dog Food",2342
"dog food care","Brushless Dog Toothpaste",2181
"dog food care","Chicken Flavored Bone 4 Inch Dog Chew",2015
"dog food care","Prepared Meals Beef Stew Wet Dog Food",1905
"dog food care","Originals Dog Food",1892
"dog food care","Organix Butcher & Bushel Grain-Gree Turkey & Chicken Dog Food",1878
"dog food care","Bone, Meaty Center",1870
"dog food care","Dog Chew, USA Rawhide, Chicken Flavored, 7 Inch",1865
"dog food care","Mini Dog Treats",1830
"dog food care","Beneful Healthy Weight with Real Chicken",1820
"dog food care","Porterhouse Steak Flavor In Meaty Juices Wet Dog Food",1801
"dog food care","Original Dry Dog",1758
"dog food care","Mini Chicken Dog Bones",1758
"dog food care","Good Buddy Meaty Center Bone",1736
"dog food care","Liv A Littles Chicken Cat & Dog Treats",1713
"dog food care","Turkey & Sweet Potato Dog Treats",1685
"dog food care","Organix Chicken & Brown Rice Formula Adult Dog Food",1603
"dog food care","Chicken and Liver Canine Cuisine Wet Dog Food",1593
"dog food care","Chunky Beef with Vegetables & Brown Rice Dog Food",1589
"dog food care","Biscuits for Dogs less than 20 lbs",1529
"dog food care","Busy Bone Dog Treats Real Meat Sm & Med 6",1507
"dog food care","Prepared Meals Savory Rice & Lamb Stew Dog Food",1494
"dog food care","Blazin' Beef Recipe Dog Food",1449
"dog food care","Prepared Meals Simmered Chicken Medley Wet Dog Food",1446
"dog food care","ProActive Health Adult Chicken Dry Dog Food",1432
"dog food care","Grilled Chicken Canine Cuisine Wet Dog Food",1411
"dog food care","Adult Health Small Breed Formula Dry Dog Food",1377
"dog food care","6"" Free Ranger Bully Stix",1372
"dog food care","Chillin' Chicken Recipe",1351
"dog food care","Adult Grain-Free & Poultry-Free Dog Food",1350
"dog food care","Filets In Sauce New York Strip Flavor Dog Food",1318
"dog food care","Buddy Biscuits Original Soft & Chewy, Roasted Chicken Flavor Dogs Treats",1318
"dog food care","Meaty Ground Dinner W/Chopped Beef (PS #1211062) Wet Dog Food",1316
