Aisles,Product,amountBought
"dry pasta",Spaghetti,164777
"dry pasta","Penne Rigate",98484
"dry pasta","Spaghetti  No 12",90380
"dry pasta","Spaghetti Pasta",85207
"dry pasta","Organic Penne Rigate",83825
"dry pasta","Penne Pasta",81001
"dry pasta","Organic Whole Wheat Fusilli",76739
"dry pasta","Penne Rigate #41 Pasta",76234
"dry pasta","Fusilli No. 34",72347
"dry pasta","Organic Spaghetti Pasta",72215
"dry pasta","Angel Hair Pasta",71084
"dry pasta","Organic Whole Wheat Penne Rigate",59699
"dry pasta","Organic Orzo",58065
"dry pasta","Rotini Pasta",50548
"dry pasta","Rigatoni Pasta",45823
"dry pasta","Farfalle Pasta",44332
"dry pasta","Wide Egg Noodles",43349
"dry pasta","Farfalle No. 93",37916
"dry pasta","Elbow Macaroni Pasta",36941
"dry pasta","Organic Whole Wheat Elbows",36095
"dry pasta","Thin Spaghetti Pasta",34877
"dry pasta","Macaroni Elbows",32920
"dry pasta","Organic Capellini",31143
"dry pasta","Thin Spaghetti No 11",30963
"dry pasta","No Boil Lasagna",29389
"dry pasta","Linguine Pasta",29138
"dry pasta","Extra Wide Egg Noodles",29005
"dry pasta","Gluten Free Quinoa Pasta Shells",28515
"dry pasta","Gluten-Free Supergrain Pasta Organic Corn & Quinoa Blend Penne",27895
"dry pasta","Organic Gluten Free Fusilli",25069
"dry pasta","Organic Fettuccine",25058
"dry pasta","Organic Brown Rice Pasta Spirals",22953
"dry pasta","Organic Gluten Free Quinoa Spaghetti",22767
"dry pasta","Organic Whole Wheat Fusilli Pasta",22650
"dry pasta","Cavatappi No. 87 Macaroni",22305
"dry pasta","Orecchiette Dry Pasta",20271
"dry pasta","Gluten-Free Supergrain Pasta Elbows",20062
"dry pasta","Organic Spaghetti",20028
"dry pasta","Orzo Pasta",19828
"dry pasta","Organic Brown Rice Spaghetti",19028
"dry pasta","Pasta Joy Ready Organic Brown Rice Pasta Penne",18808
"dry pasta","Gluten Free Quinoa Rotelle Pasta",17717
"dry pasta","Traditional Egg Pasta Pappardelle",17259
"dry pasta","Organic Gluten Free Spaghetti",17038
"dry pasta","Gluten Free Fusilli Brown Rice Pasta",15722
"dry pasta","Brown Rice Pasta Spirals",15600
"dry pasta","Organic Tagliatelle Traditional Egg Pasta",14718
"dry pasta","Tri-Color Rotini Pasta",13629
"dry pasta","Oven Ready Lasagna",13547
"dry pasta","Fettuccine Pasta",13286
"dry pasta","Linguine No 7 Pasta",13253
"dry pasta","Fettuccine  No. 6 Pasta",12498
"dry pasta","Organic Red Lentil Penne",12330
"dry pasta","Gluten Free Quinoa Linguine",11645
"dry pasta","Whole Grain Penne Pasta",11553
"dry pasta","Brown Rice Spaghetti Pasta",11445
"dry pasta","Buckwheat Soba Pasta",11373
"dry pasta","ProteinPLUS Multigrain Penne Pasta",10862
"dry pasta","Spaghetti Brown Rice Pasta",10827
"dry pasta","Organic 100% Whole Wheat No. 4 Spaghetti",10397
"dry pasta","Gluten Free Brown Rice Penne Rigate Pasta",10363
"dry pasta","Gluten Free Spaghetti Pasta",10197
"dry pasta","Penne Lisce",9991
"dry pasta","Gluten Free Spaghetti",9862
"dry pasta","Organic Gluten Free Elbow Pasta",9437
"dry pasta","Organic Penne Rigate Whole Wheat Pasta",9376
"dry pasta","Thick Spaghetti Pasta",9220
"dry pasta","100% Whole Wheat Farfalle No. 87",8929
"dry pasta","Dry Pasta Lasagne",8810
"dry pasta","Brown Rice Pasta Shells",8780
"dry pasta","Mini Farfalle Pasta",8717
"dry pasta","Elbow Macaroni",8651
"dry pasta","Penne Rigate Pasta",8593
"dry pasta","Gluten-Free Supergrain Pasta Garden Pagodas",8445
"dry pasta","Rotelle No 54",8332
"dry pasta","Spaghetti Protein Plus Pasta",8282
"dry pasta","Whole Grain Spaghetti",8191
"dry pasta","Chickpeas! Pasta Shells",8110
"dry pasta","Three Cheese Tortellini",7878
"dry pasta","Chickpeas! Penne Pasta",7761
"dry pasta","Fresh Fettuccini",7702
"dry pasta","Whole Grain Thin Spaghetti Pasta",7543
"dry pasta","Organic Quinoa Fusilli Pasta Gluten Free",7522
"dry pasta","Organic Gluten-Free Quinoa Spaghetti",7502
"dry pasta","Cellentani Pasta",7282
"dry pasta","Lasagne Pasta",7216
"dry pasta","Bucatini, No. 15",7071
"dry pasta","Organic Linguine",6982
"dry pasta","Mezze Penne Pasta",6609
"dry pasta","Veggie Rotini Pasta",6557
"dry pasta","PastaJoy Organic Brown Rice Pasta Elbows",6439
"dry pasta","Organic Red Lentil Rotini Pasta",6433
"dry pasta","Organic Gluten Free Rigatoni",6316
"dry pasta","PastaJoy Brown Rice Pasta Elbow",5968
"dry pasta","Pasta Joy Ready Brown Rice Pasta Penne with Rice Bran",5966
"dry pasta","Orzo, No. 65",5741
"dry pasta","Chickpeas! Rotini Pasta",5571
"dry pasta","Ancient Grain Pasta Gluten-Free Fusilli",5296
"dry pasta","Brown Rice Pasta, Fettuccini Style, Pad Thai",5257
"dry pasta","Protein Plus Farfalle Multigrain Pasta",5241
"dry pasta","Pasta Angel Hair",5181
"dry pasta","Whole Grain Rotini",5170
"dry pasta","Gluten Free 100% Organic Whole Grain Traditional Egg Pasta",5107
"dry pasta","Elbows Pasta",4954
"dry pasta","Fettuccini Noodles",4888
"dry pasta","Broad Noodles",4876
"dry pasta","Gemelli Pasta",4876
"dry pasta","Veggie Penne Pasta",4793
"dry pasta","DeBoles Organic Angel Hair Pasta",4745
"dry pasta","Large Elbow Macaroni",4459
"dry pasta","Campanelle Pasta",4238
"dry pasta","Protein Plus Rotini Pasta",4223
"dry pasta","ProteinPLUS Multigrain Angel Hair Pasta",4203
"dry pasta","Gluten Free Fettuccini Roasted Garlic",4146
"dry pasta","Gluten Free Rigatoni",4137
"dry pasta","Protein PLUS Multigrain Elbow Macaroni Pasta",4071
"dry pasta","100% Whole Wheat Spaghetti",4061
"dry pasta","Organic Capellini Whole Wheat Pasta",4031
"dry pasta","Gluten Free Pasta Penne Rigate",3979
"dry pasta","Authentic Chinese Noodles",3880
"dry pasta","Mezzi Rigatoni",3707
"dry pasta","Egg Pappardelle Noodles",3600
"dry pasta","Organic Red Lentil Rotini",3580
"dry pasta","Fusilli with Spinach No. 34",3494
"dry pasta","Whole Wheat Penne Rigate",3469
"dry pasta","Gluten Free Rice Lasagna",3444
"dry pasta","Jumbo Shells Pasta",3329
"dry pasta","Extra Broad Noodles",3262
"dry pasta","Organic Whole Wheat Linguine",3214
"dry pasta","Gluten Free Ancient Grain Pasta Penne",3165
"dry pasta","Shells No 50 Pasta",3147
"dry pasta",Lasagna,3103
"dry pasta","Gluten-Free Brown Rice Pasta",3094
"dry pasta","Egg Noodles, Extra Wide",3037
"dry pasta","Organic 100% Durum Semolina Fusilli",2969
"dry pasta","Brown Rice with Rice Bran Fusilli Pasta",2968
"dry pasta","Whole Wheat Spaghetti",2897
"dry pasta","Organic Brown Rice Pasta Rotini",2892
"dry pasta","Pasta Joy Ready Brown Rice Pasta Lasagne",2866
"dry pasta","ProteinPLUS Multigrain Thin Spaghetti Pasta",2862
"dry pasta","Alfabeto Alphabet Enriched Egg Pasta",2784
"dry pasta","Lasagna, Whole Wheat",2759
"dry pasta",Bucatini,2742
"dry pasta","Organic Brown Rice Lasagne Pasta",2738
"dry pasta","Linguine, No. 6",2730
"dry pasta","Organic Spaghetti No. 12",2609
"dry pasta","Organic Spinach Fettuccine",2576
"dry pasta","Organic Vegetable Alphabets Pasta",2569
"dry pasta","Tri Color Pasta Fettuccini",2566
"dry pasta","Organic Montebello Orecchiette Italian Pasta",2514
"dry pasta","Linguine Fini No. 8",2444
"dry pasta","Brown Rice Pasta Vegetable Spirals",2387
"dry pasta","Acini di Pepe, No. 78",2385
"dry pasta","Organic Gluten Free Linguine",2366
"dry pasta",Rotini,2363
"dry pasta","Protein Power Gluten-Free Black Bean And Quinoa Pasta Elbows",2272
"dry pasta","Mostaccioli Pasta",2255
"dry pasta","Gluten Free Orzo Pasta",2217
"dry pasta",Linguine,2203
"dry pasta","100% Whole Wheat Fusilli No. 34",2200
"dry pasta","Gluten Free Brown Rice Pasta Elbows",2198
"dry pasta","Bow Ties",2174
"dry pasta","Organic Black Bean Rotini Pasta",2173
"dry pasta","Whole Grain Linguine Pasta",2152
"dry pasta","Organic Fusilli Whole Wheat",2150
"dry pasta","Buckwheat Soba Noodles",2144
"dry pasta","Cheeseburger Macaroni Hamburger Helper",2131
"dry pasta","Organic Montebello Spaghetti Italian Pasta",2090
"dry pasta","Organic Gluten-Free Brown Rice Pasta",2054
"dry pasta","Gluten Free Rice Angel Hair Pasta",1954
"dry pasta","Shirataki Rice",1953
"dry pasta","Veggie Curls",1942
"dry pasta","Organic Quinoa Macaroni",1923
"dry pasta","Organic 100% Whole Wheat Penne Rigate",1922
"dry pasta","Organic Gluten Free Brown Rice Spaghetti",1915
"dry pasta","Organic Shells  No. 91",1908
"dry pasta","Organic Gluten-Free Ancient Grain Pasta Elbows",1827
