Aisles,Product,amountBought
eggs,"Organic Grade A Free Range Large Brown Eggs",279643
eggs,"Large Alfresco Eggs",244565
eggs,"Organic Large Brown Grade AA Cage Free Eggs",206902
eggs,"Organic Large Grade AA Brown Eggs",162346
eggs,"Organic Egg Whites",138166
eggs,"Organic Grade A Large Brown Eggs",124653
eggs,"Organic Extra Large Grade AA Brown Eggs",100858
eggs,"Organic Large Brown Eggs",98881
eggs,"Organic Large Grade A Brown Eggs",97350
eggs,"Cage Free Brown Eggs-Large, Grade A",87934
eggs,"Grade A Large White Eggs",86557
eggs,"Large Brown Eggs",74372
eggs,"Organic Extra Large Brown Eggs",68801
eggs,"Fresh CA Grown Eggs",65810
eggs,"Cage Free Large White Eggs",63549
eggs,"Organic Large Grade AA Omega-3 Eggs",59240
eggs,"Grade A Large Eggs Cage Free Omega 3",57157
eggs,"Large Grade AA Eggs",46837
eggs,"Grade A Large Brown Eggs",45654
eggs,"Cage Free Grade A Large Brown Eggs",44048
eggs,"Grade AA Large White Eggs",40776
eggs,"Cage Free  100% Liquid Egg Whites",38715
eggs,"Liquid Egg Whites",38247
eggs,"Large Organic Omega3 Brown Eggs",36304
eggs,"Organic Large Grade A Eggs",32334
eggs,"Brown Eggs",31387
eggs,"Large Grade AA Organic Eggs",26433
eggs,"Large Grade AA Cage Free Eggs",26000
eggs,"Grade A Extra Large Eggs",24760
eggs,"Large Brown Grade AA Eggs",23977
eggs,"Organic Eggs Large",23395
eggs,"All Whites 100% Egg Whites",22824
eggs,"Organic Pasture Raised Brown Eggs",21922
eggs,"Organic Medium Brown Eggs",21319
eggs,"Organic Free Range Grade A Large Brown Eggs",21234
eggs,"Organic Extra Large Brown Omega 3 Eggs",20161
eggs,"Hard Cooked Eggs",18473
eggs,"All Whites 100% Liquid Egg Whites",17581
eggs,"Large Eggs",17311
eggs,"Large Brown Free Range Eggs Grade A",16000
eggs,"Grade A Organic Large Brown Eggs",15929
eggs,"Original Egg Substitute",15244
eggs,"Large Grade A Eggs",13694
eggs,"Brown Extra Large Grade AA Eggs",13321
eggs,"Large White Eggs",11825
eggs,"100% Liquid Egg Whites",10604
eggs,"Cage Free Grade AA Large White Eggs",10581
eggs,"Jumbo Grade A Eggs",10077
eggs,"Organic Free Range Large Brown Grade A Eggs",9828
eggs,"Grade A Cage Free Omega-3 Enriched Medium Eggs",8556
eggs,"Half Dozen Grade A White Eggs Large",8490
eggs,"Grade AA Extra Large Eggs",8397
eggs,"Organic Jumbo Grade A Pastured Eggs",8317
eggs,"Organic Jumbo Eggs",8290
eggs,"Non GMO Organic Brown Eggs",8035
eggs,"Organic Free Range Large Grade A Brown Eggs",7243
eggs,"Organic Jumbo Grade AA Brown Eggs",6881
eggs,"USDA AA Extra Large Eggs",6872
eggs,"Cage Free Extra Large Grade AA Eggs",6757
eggs,"Cage Free Large Brown Eggs",6458
eggs,"Organic Extra Large Omega 3 Grade AA Eggs",6266
eggs,"Eggs, Organic, Pasture-Raised, Large",6143
eggs,"Extra Large Eggs",6012
eggs,"Large Grade AA Cage Free Brown Eggs",5942
eggs,"Pastured Eggs",5850
eggs,"Pasture Raised Eggs",5741
eggs,"Cage-Free Grade AA Large Eggs",5463
eggs,"Organic Extra Large Eggs",4843
eggs,"Hard-Boiled Eggs",4726
eggs,"Eggs, Hard-Boiled",4592
eggs,"Hard Boiled Eggs",4060
eggs,"Cage Free Real Egg Product",4050
eggs,"Vegan Egg",3978
eggs,"Egg White Patties",3897
eggs,"Duck Eggs",3842
eggs,"Egg Whites",3823
eggs,"Organic Jumbo Grade A Eggs",3191
eggs,"Jumbo Grade A White Eggs",3127
eggs,"100% Egg Whites",3004
eggs,"Organic Large Grade AA Eggs",2976
eggs,"Heirloom Brown Eggs, Cage Free",2906
eggs,"Organic Eggs",2905
eggs,"Extra Large Grade A Eggs",2683
eggs,"Organic Grade A Large Eggs",2603
eggs,"Free Range Jumbo Eggss",2579
eggs,"Jumbo Brown Eggs",2498
eggs,"Brown Omega 3 Large Grade A Eggs",2474
eggs,Eggs,2410
eggs,"Brown Large Eggs Grade A",2323
eggs,"Reddiegg Egg Product",2157
eggs,"Eggs, Free Range, Brown, Large",2122
eggs,"Brown Fertile Jumbo Grade AA Eggs",1976
eggs,"Southwestern Egg Substitute",1894
eggs,"Vegetarian Fed Hens Grade A Brown Eggs Large",1787
eggs,"Large Grade A - CA",1732
eggs,"Egg Replacer",1474
eggs,"Organic Pasture Raised Local Eggs",1223
eggs,"Liquid Egg White",1123
eggs,"Liquid White Eggs",1033
eggs,"Organic Extra Large Cage-Free Grade A Brown Eggs",1014
eggs,"Large Pasteurized Eggs",981
eggs,"Pasteurized Cage Free Eggs",969
eggs,"Grade A Large Eggs",948
eggs,"Duck Eggs Organic Pastured",918
eggs,"All Natural 100% Egg Whites",906
eggs,"Egg Substitute",764
eggs,"Large Grade A Super Eggs",756
eggs,"Organic Pasture Raised Large Eggs",643
eggs,"Organic Eggs - Jumbo",480
eggs,"Pasteurized Real Egg Product",459
eggs,"Liquid Eggs 99% Real Egg Product",437
eggs,"Cage Free Brown Eggs Large Grade A",415
eggs,"Hard Boiled Eggs Peeled & Ready To Eat",404
eggs,"Usda Grade A Cage Free Eggs",342
eggs,"Large AA Eggs",292
eggs,"Cracked & Ready Liquid Egg Product",179
eggs,"Liquid Eggs Whites",174
eggs,"Egg Product",173
eggs,"Mediterranean Scramble",155
eggs,"Free Range Organic Brown Large Egg",152
eggs,"Medium Eggs",137
eggs,"Original Smart Cups",102
eggs,"Cage Free White Omega 3 Eggs",72
eggs,"The Amazing Egg Cholesterol Free",71
