Aisles,Product,amountBought
"energy granola bars","Kids Organic Chocolate Chip ZBars",116736
"energy granola bars","Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars",100494
"energy granola bars","Oats & Honey Gluten Free Granola",80524
"energy granola bars","ZBar Organic Chocolate Brownie Energy Snack",79411
"energy granola bars","Apple Pie Fruit & Nut Food Bar",76903
"energy granola bars","Peanut Butter Chocolate Chip Fruit & Nut Food Bar",75317
"energy granola bars","Organic Chocolate Chip Chewy Granola Bars",72872
"energy granola bars","Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars",68048
"energy granola bars","Blueberry Muffin Bar",60249
"energy granola bars","Iced Oatmeal Cookie Kid Z Bar",58664
"energy granola bars","Cherry Pie Fruit & Nut Bar",58456
"energy granola bars","Coconut Cream Pie",49769
"energy granola bars","Peanut Butter Cookie",49021
"energy granola bars","Chocolate Peanut Butter",45390
"energy granola bars","Coconut Chia Bar",45357
"energy granola bars","Crunchy Peanut Butter Energy Bar",43438
"energy granola bars","Crunchy Oats N' Honey Granola Bars",42835
"energy granola bars","Lemon Fruit & Nut Food Bar",42712
"energy granola bars","Dark Chocolate Nuts & Sea Salt Bars",42320
"energy granola bars","Peanut Butter Bar",41726
"energy granola bars","Maple Pumpkin Seeds with Sea Salt Chewy with a Crunch Granola Bars",40224
"energy granola bars","Crunchy Oats 'n Honey Granola Bars",40198
"energy granola bars","Chocolate Sea Salt",39728
"energy granola bars","White Chocolate Macadamia Nut Energy Bar",38941
"energy granola bars","Caramel Almond and Sea Salt Nut Bar",37602
"energy granola bars","Chocolate Chip",36742
"energy granola bars","Gluten Free Lemonzest Nutrition bar",35760
"energy granola bars","Peanut Butter Dark Chocolate + Protein Bar",34025
"energy granola bars","Plus Cranberry Almond + Antioxidants with Macadamia Nuts Bar",33333
"energy granola bars","Chocolate Brownie Energy Bar",33044
"energy granola bars","Organic Z  Mixed Berry Fruit Rope",31734
"energy granola bars","Acai Berry Chia Bar",30441
"energy granola bars","Organic Vanilla Chip Chewy Granola",30221
"energy granola bars","Coconut  Chocolate Bar",29877
"energy granola bars","Peanut Butter & Jelly Fruit & Nut Food Bar",28729
"energy granola bars","Brownie Crunch High Protein Bar",28284
"energy granola bars","Almond Butter",27748
"energy granola bars","Nutz Over Chocolate",27309
"energy granola bars","Peanut Butter Chocolate Chip Macrobar",25956
"energy granola bars","TLC Cherry Dark Chocolate Chewy Granola",25832
"energy granola bars","S'mores Luna Bar",25663
"energy granola bars","High Protein Bar Chunky Peanut Butter",25643
"energy granola bars","Chocolate Coconut Chew Flavored Bar",25245
"energy granola bars","Blueberry Crisp Energy Bar",24534
"energy granola bars","Chocolate Peppermint Stick Bar",23544
"energy granola bars","Peanut Butter Egg White Protein Bar",23412
"energy granola bars","Chewy Granola Bars Variety Pack",23387
"energy granola bars","Chewy 25% Low Sugar Chocolate Chip Granola",22985
"energy granola bars","Oatmeal Raisin Walnut Energy Bar",22399
"energy granola bars","Almond & Apricot Bar",21732
"energy granola bars","Salted Caramel Lean Protein & Fiber Bar",21537
"energy granola bars","Banana Bread Fruit & Nut Bar",21426
"energy granola bars","Chocolate Mint Builder's Bar",21236
"energy granola bars","Chewy Granola Bar Chocolate Chip Granola",21083
"energy granola bars","Pecan Pie Fruit & Nut Food Bar",21066
"energy granola bars","Organic  Sweet & Salty Peanut Pretzel Granola Bars",21020
"energy granola bars","Coconut Chocolate Chip",20716
"energy granola bars","Cool Mint Chocolate",19688
"energy granola bars","Maple Glazed Pecan & Sea Salt Bar",19668
"energy granola bars","Builder's Chocolate Peanut Butter Bar",19501
"energy granola bars","Pomegranate Blueberry Pistachio Plus Antioxidants Fruit & Nut Bar",19309
"energy granola bars","Chocolate Chip Cookie Dough Bar",18796
"energy granola bars","Popped Dark Chocolate with Sea Salt Granola Bar",18419
"energy granola bars","Chocolate Almond & Sea Salt with Chia Granola Bars",18241
"energy granola bars","Sweet & Salty Nut Granola Bars Peanut",18140
"energy granola bars","Apple & Cherry Fruit Bar",17978
"energy granola bars","Sweet & Salty Nut Almond Granola Bars",17933
"energy granola bars","Apple + Blueberry Fruit Bar",17713
"energy granola bars","Fruit & Nut Bar Blueberry Vanilla & Cashew",17504
"energy granola bars","1 Apple + 1 Pear Fruit Bar",16943
"energy granola bars","Cashew Cookie",16682
"energy granola bars","Chocolate Dipped Coconut",16625
"energy granola bars","Peanut Butter Dark Chocolate Protein Chewy Bars",15976
"energy granola bars","Peanut Toffee Buzz Energy Bar",15945
"energy granola bars","Organic Sunflower Butter Chocolate Macrobar",15784
"energy granola bars","Apple & Apricot Fruit Bar",15637
"energy granola bars","Blueberry Pecan Plus Fiber Fruit & Nut Bar",15280
"energy granola bars","Organic Protein Chewy Peanut Butter Chocolate Chip Granola Bars",15140
"energy granola bars","Chocolate Peanut Butter Protein Bar",15045
"energy granola bars","Carob Chip",15012
"energy granola bars","Honey Almond Flax Chewy Granola Bars",14673
"energy granola bars","Coffee Chocolate Bar",14634
"energy granola bars","Almond Coconut Bar, Organic",14616
"energy granola bars","Annie'sÂ® Homegrown Gluten Free Double Chocolate Chip Granola",14519
"energy granola bars","Crunch Granola Bar Chocolate Chip",14437
"energy granola bars","Sweet Rejuvenation Cashew Butter Macrobar",14319
