Aisles,Product,amountBought
"energy sports drinks","Fruit Punch Sports Drink",39882
"energy sports drinks","Vitamin Water Zero Squeezed Lemonade",38899
"energy sports drinks","Energy Drink",32158
"energy sports drinks","Vitamin Water Zero Rise Orange",30059
"energy sports drinks","VitaminWater Zeroâ„¢ XXX Acai Blueberry Pomegranate",23509
"energy sports drinks","Sugar Free Energy Drink",21492
"energy sports drinks","Lemon Lime Thirst Quencher",19861
"energy sports drinks","Revive Zero Vitamin Water",16385
"energy sports drinks","Zero Go-Go Mixed Berry Vitamin Water",16302
"energy sports drinks","Zero Vitamin Water",15741
"energy sports drinks","vitaminwaterÂ® XXX Acai Blueberry Pomegranate",14218
"energy sports drinks","G2 Grape Sports Drink",14079
"energy sports drinks","Organic Hot Cocoa Mix",13415
"energy sports drinks","Power-C Dragonfruit Vitamin Water Drink",12956
"energy sports drinks","G Series Perform Lemon Lime Sports Drink",11946
"energy sports drinks","Orange Sports Drink",11611
"energy sports drinks",Orange,11464
"energy sports drinks","Glacier Freeze",10148
"energy sports drinks","Energy Tropical Citrus Vitamin Water Drink",10119
"energy sports drinks","Grapefruit Sparkling Energy Water",9850
"energy sports drinks","Glacier Freeze Frost",9604
"energy sports drinks","Almondmilk, Pure, Chocolate Protein",9261
"energy sports drinks",Sugarfree,9134
"energy sports drinks","Vitaminwater Revive Fruit Punch",8539
"energy sports drinks","VitaminwaterÂ® Focus Kiwi-Strawberry",7457
"energy sports drinks","Mixed Berry Sports Drink",7385
"energy sports drinks","Wild Berry Sparkling Energy Water",7307
"energy sports drinks","G Series Blueberry Pomegranate",7054
"energy sports drinks","Squeezed Lemonade",6903
"energy sports drinks","Zero Rise Orange",6529
"energy sports drinks","Yerba Mate Orange Exuberance Tea",6379
"energy sports drinks","Sugarfree Energy Drink",6342
"energy sports drinks","Sparkling Energy Water Lemon Lime",6206
"energy sports drinks","Essential Orange-Orange Vitamin Water Drink",6033
"energy sports drinks","Zero Ultra Energy Drink",5902
"energy sports drinks","G Series Perform Glacier Cherry Sports Drink",5606
"energy sports drinks","Zero XXX Acai Blueberry Pomegranate",5449
"energy sports drinks","Organic Yerba Mate Traditional",4820
"energy sports drinks","G Series Fruit Punch Sports Drink",4638
"energy sports drinks","G Series Perform Orange Sports Drink",4573
"energy sports drinks","Citrus C Monster Smoothie",4406
"energy sports drinks","Zero Ion4 Grape Sports Drink",4341
"energy sports drinks","XXX Acai Blueberry Pomegranate",4290
