Aisles,Product,amountBought
"eye ear care","Cotton Swabs",33660
"eye ear care","Multi-Purpose Disinfecting Solution",1712
"eye ear care","Original Redness Relief Sterile Tetrahydrozoline HCl Eye Drops",1657
"eye ear care","Triple Action Cleaning and Disinfecting Solution Twin Pack",1634
"eye ear care","Contact Lens Solution",1593
"eye ear care","Multi-Purpose Contact Lens Solution",1571
"eye ear care","Anti Microbial Cotton Swabs",1360
"eye ear care","Replenish Contact Lens Solution",1335
"eye ear care","Dry Eye Relief",1273
"eye ear care","Multi-Purpose Solution",1254
"eye ear care","Purse Pack Cotton Swabs",1014
"eye ear care","Opti-Free Replenish Multi-Purpose Disinfecting Solution",973
"eye ear care","Cleaning & Disinfecting Solution Triple Action Cleaning",880
"eye ear care","Multi Purpose Soft Lenses Solution",847
"eye ear care","Advanced Redness + Irritation Relief Eye Drops",843
"eye ear care","Opti-Free Pure Moist Contact Solution",769
"eye ear care","Redness Relief Eye Drops",723
"eye ear care","Lubricant Eye Drops",690
"eye ear care","Plus Lubricant Eye Drops",672
"eye ear care","Opti-Free Express Mpds No Rub Formula",650
"eye ear care","Biotrue Multipurpose Solution",587
"eye ear care","Lubricant /Redness Reliever Eye Drops, Maximum Redness Relief",534
"eye ear care","Bausch & Lomb Sensitive Eyes Plus Saline Solution",487
"eye ear care","Tears Lubricant Eye Drops",450
"eye ear care","Bio True Multi-Purpose Solution",425
"eye ear care","Irritated Eye Relief Drops",424
"eye ear care","Renu Multi-Purpose Solution",417
"eye ear care","Alcon Naphcon A Eye Drops Eye Allergy Relief",385
"eye ear care","PureMoist Contact Lens Solution",368
"eye ear care","Allergy Eye Relief",358
"eye ear care","ReNu Sensitive Gentle Formula Multi-Purpose Solution",354
"eye ear care","Organic Cotton Swabs",341
"eye ear care","Optique Eye Drops",340
"eye ear care","Opcon-A Eye Drops",332
"eye ear care","Fresh Multi-Purpose Contact Lens Solution",322
"eye ear care","Renu Fresh Lens Solution",320
"eye ear care","Sterile Multi Purpose Solution For Contact Lenses",313
"eye ear care","Visine Tears Dry Eye Relief Dry Eye",289
"eye ear care","Maximum Strength Redness Relief Formula Eye Drops",273
"eye ear care","Triple Action Cleaning Contact Travel",266
"eye ear care","Nail Clipper With Catcher",253
"eye ear care","Complete 7 Symptom Relief Enhanced Formula Eye Drops",252
"eye ear care","Mild to Moderate Dry Eye Lubricating Eye Drops",241
"eye ear care","Eye Allergy Relief Eye Drops",238
"eye ear care","Precision Tips Cotton Swabs",238
"eye ear care","Celluvisc Lubricant Eye Gel",219
"eye ear care","Pure Moist Multi-Purpose Disinfecting Contact Solution Twin Pack",218
"eye ear care","Ear Plugs Xtreme Protection Series",213
"eye ear care","Boston SimPlus Multipurpose Contact Lens Multi-Action Solution with Daily Protein Remover",213
"eye ear care","Totality Multi-Symptom Relief",210
"eye ear care","Eye Drops Advanced Relief",203
"eye ear care","Earwax Removal Kit",202
"eye ear care","Eye Drops for Contact Lenses",200
"eye ear care","Maximum Itchy Eye Relief",196
"eye ear care","Contacts Contact Lens Comfort Eye Drops",193
"eye ear care","Eye Irritation Relief Optique 1 Homeopathic Medicine",191
"eye ear care","Antihistamine Eye Drops",179
"eye ear care","Earache Drops",178
"eye ear care","Biosil Beauty Bones & Joint Liquid",176
"eye ear care","Soft Foam Ear Plugs",173
"eye ear care","Triple Action Relief Eye Drops",171
"eye ear care","Moisturizing Relief Lubricating Eye Drops",162
"eye ear care","Rewetting Drops For Contacts",154
"eye ear care","Adavanced Eye Relief Dry Eye Drops Rejuvenation",134
"eye ear care","Pillow Soft Silicone Putty Earplugs",133
"eye ear care","Organic Wild Carrot Eye Balm",130
"eye ear care","Eye Drops Original",129
"eye ear care","Cucumbers Eye Makeup Remover Pads",121
"eye ear care","Opti Free Pure Moise Disinfecting Solution",118
"eye ear care","Anti-Stress Eye Pillow",112
