Aisles,Product,amountBought
"feminine care","Curved Panty Liners",5282
"feminine care","Organic Regular Cotton Tampons No Applicator",4550
"feminine care","Organic Cotton Tampons",4111
"feminine care","Organic Cotton Ultra Pads Regular",3653
"feminine care","Organic Cotton Intimate Wipes",3639
"feminine care","Organic Super Cotton Tampons With Applicator",3515
"feminine care","Pearl Regular Absorbency Unscented Tampons",3287
"feminine care","Overnight Maxi Pads",3174
"feminine care","Pearl Super Absorbency Unscented Tampons",3077
"feminine care","Chlorine Free Maxi Overnight Feminine Pads",2662
"feminine care","Organic & Natural Cotton Panty Liners",2628
"feminine care","Chlorine Free Ultra-Thin Regular Pads",2573
"feminine care","Pearl Triple Pack Light/Regular/Super Absorbency Scented Tampons",2551
"feminine care","Click Regular Unscented Tampons",2417
"feminine care","Ultra Thin Regular Pads wth Wings",2192
"feminine care","Pearl Plastic Triple Pack Light/Regular/Super Absorbency Unscented Tampons",2133
"feminine care","Flushable Moist Wipes",2123
"feminine care","Pearl Tampax Pearl plastic, Regular Absorbency Unscented Tampons, 36 Count  Feminine Care",2116
"feminine care","Thin Ultra Always Ultra Thin Regular Pads With Wings 18 count Feminine Care",1942
"feminine care","Super Tampon",1935
"feminine care","Chlorine Free Maxi Regular Feminine Pads",1896
"feminine care","Super Plus Cardboard Applicator Tampons",1835
"feminine care","Sheer Floral Sensitive Skin Cleansing Cloths",1834
"feminine care","Pearl Super Absorbancy Tampons",1794
"feminine care","Maxi pads Overnight With Flexi-Wings",1775
"feminine care","Organic Cotton Tampons Super Plus Absorbancy",1758
"feminine care","Maxi Pads",1520
"feminine care","Pearl Plastic Triple Pack Includes Light, Regular, and Super  Unscented Tampons",1499
"feminine care","Thin Dailies Unscented Wrapped Pantiliners",1418
"feminine care","Organic Cotton Panty Liners",1359
"feminine care","Natracare Ultra Pads w/ Wings Super",1292
"feminine care","Extra Heavy Overnight With Flexi-Wings Maxi Pads",1287
"feminine care","Infinity Pads with Flexi-Wings, Regular Flow",1273
"feminine care","Acti-Fresh Body Shape Thin Unscented Pantiliners",1261
"feminine care","Anti-Slip Grip Cardboard Applicator Regular Absorbency Tampons",1213
"feminine care","Ultimate Flora Vaginal Support Probiotic Supplement Vegetable Capsules",1191
"feminine care","Ultra Thin Overnight with Wings",1149
"feminine care","Pearl Super Scented Tampons",1140
"feminine care","Pearl Plastic Light Absorbency Unscented Tampons",1119
"feminine care","Pearl Regular Unscented Tamponds",1107
"feminine care","Unscented Thong Pantiliners",1062
"feminine care","Xtra Protection Always Xtra Protection Daily Liners, Long 40 Count Feminine Care",1048
"feminine care","Ultra Thin Overnight Pads With Flexi-Wings",1026
"feminine care","Acti Fresh Body Shape Regular Pantliners",1025
"feminine care","Cotton Ultra Thin Panty Liners",1019
"feminine care","Multipax Cardboard Applicator Unscented Tampons",989
"feminine care","Sport Multipack Unscented",988
"feminine care","Organic Cotton Ultra Pads Long",985
"feminine care","Barely There Thin Pantiliners",938
"feminine care","Hand Sanitizer, Peppermint Spray",929
"feminine care","Simply Sensitive Cleansing Wash",913
"feminine care","Pearl  Super Absorbency Unscented Tampons",909
"feminine care","Pearl Plastic Applicator Super Plus Absorbency Scented Tampons",896
"feminine care","Overnight Flexi-Wings Pads",886
"feminine care","Organic Super Tampons Wth Applicator",880
"feminine care","Click Super Unscented Tampons",873
"feminine care","Anti-Slip Grip Cardboard Applicator Super Absorbency Tampons",839
"feminine care","Moderate Absorbency Regular Length Incontinence Pads",821
"feminine care","Click Super Plus Compact Tampons",808
"feminine care","Thin Ultra Always Ultra Thin Super Pads With Wings 16 count Feminine Care",794
"feminine care","Infinity Overnight Pads with Wings",794
"feminine care","Organic Super Maxi Pads",771
"feminine care","Pearl Tampax Pearl Plastic Super Plus Absorbency, Unscented Tampons 18 Count Feminine Care",769
"feminine care","LightdaysÂ® Regular Pantiliners",756
"feminine care","Radiant Regular Tampons",751
"feminine care","Sport Regular Unscented Tampons",749
"feminine care","Maximum Absorbency Long Length Incontinence Pads",746
"feminine care","Pearl Plastic Tampons",741
"feminine care","Ultra Deodorant Spray",740
"feminine care","Regular Cardboard Applicator Unscented Tampons",724
"feminine care","CleanWear & Ultra Thin Regular Pads with Wings Unscented",715
"feminine care","Chlorine Free Ultra-Thin Super Pads",707
"feminine care","Tampons 360 Degree Unscented Super Sport",687
"feminine care","Maxi Regular Pads",687
"feminine care","Chlorine Free Light Pantiliners",656
"feminine care","Extra Cleansing Vinegar & Water Douche",655
"feminine care","Ultra Thin Regular Pads",622
"feminine care","Radiant Plastic Duopack (Regular & Super) absorbencies unscented tampons",613
"feminine care","Daily Pantiliners",607
"feminine care","Sport Tampons, Super Absorbency, Unscented",604
"feminine care","Ultra Thin Flexi Wings Overnight Pads",571
"feminine care","Organic Regular Tampons No Applicator",535
"feminine care","Ultra Thin Super with Flexi-Wings Unscented Pads",533
"feminine care","Organic Regular Cotton Tampons",528
"feminine care","Organic Super Cotton Tampons",523
"feminine care","Delicate Blossom Cleansing Wash",522
"feminine care","Infinity Always Infinity Size 2 Super Pads with Wings, Unscented, 16 ct Feminine Care",519
"feminine care","Regular Organic Cotton Tampons",517
"feminine care","Ultra Thin Regular Wrapped",509
"feminine care","Organic Maxi Pads",482
"feminine care","Complete Therapy Treatment Ovule Antifungal Cream",482
"feminine care","No Wings Maxi Super Pads",478
"feminine care","Regular Security Maxi Sanitary Pads",475
"feminine care","Very Light Absorbency Long Length Incontinence Liners",469
"feminine care","Maxi Pads, Overnight",468
"feminine care","Security Long Super Maxi Pads",467
"feminine care","Maxi Always Maxi Regular with Wings",449
"feminine care","Super Plus Security Tampons",445
"feminine care","Pearl Plastic Unscented Multipack",434
"feminine care","Infinity Heavy Flow Pads with Wings",430
"feminine care","Serenity Ultimate Extrema Overnight Pads",429
"feminine care","Overnight Maxi Wrapped",429
"feminine care","Tampons Unscented Multi-Pack Regular/Super Absorbency Sport",428
"feminine care","Ultra Regular Flexible Wing Pads",422
"feminine care","Anti Slip Grip Cardboard Applicator Lites/Regular/Super Multi Pack Tampons",413
"feminine care","Pearl Ultra Unscented Tampons",413
"feminine care","Feminine Wipes Refill",405
"feminine care","Infinity Always Infinity Overnight Pads with Wings",391
"feminine care","Security Regular/Super Unscented Multi-Pak Tampons",389
"feminine care","Pro Comfort Regular Tampons",388
"feminine care","Daily Intimate Wash Odor Block",384
"feminine care","Xtra Protection Regular Pantiliners",383
"feminine care","Maxi Extra Heavy Overnight with Wings",378
"feminine care","Maximum Absorbency Regular Length Incontinence Pads",374
"feminine care","Unscented Multi-Pack Plastic Tampons",373
"feminine care","Long Super Maxi With Wings",370
"feminine care","Daily Intimate Wash pH Balance",365
"feminine care","Security Regular & Super Security Tampons Multi-Pak Unscented",354
"feminine care","Pearl Regular Absorbency Scented Tampons",348
"feminine care","Adrenal Health Liquid Capsules",347
"feminine care","Cyclease, Cramp, Quick Dissolving Tablets",343
"feminine care","Radiant Super Unscented Tampons",342
"feminine care","Unscented Multipack Tampons",339
"feminine care","Original Regular To Go Pantiliners",333
"feminine care","Ultimate Absorbency Regular Length",317
"feminine care","o.b Super Plus Fluid Lock Tampons",317
"feminine care","Ultra Thin Size 2 Long Super with Flexi-Wings Pads",315
"feminine care","Thin Ultra Always Ultra Thin Slender Pads With Wings 36 count Feminine Care",310
"feminine care","Prenatal Daily Duo: Multivitamin + Ultra-Pure Fish Oil 1 Month Supply",309
"feminine care","Maxi Always Maxi Long Super with Wings",304
"feminine care","Light Absorbency Ultra Thin Regular Length Incontinence Pads",303
"feminine care","CleanWear Ultra Thin Regular with Wings Pads",295
"feminine care","Infinity Regular Pads with Wings",294
"feminine care","Acti-Fresh Body Shape Regular To Go Pantiliners",294
"feminine care","Fresh Scent Super Plus Gentle Glide 360 Tampons",294
"feminine care","Security Ultra Thin Regular Pads",293
"feminine care","Panty Liners, Normal, Perfume Free",292
"feminine care","Natural Pads, Ultra, Super +",276
"feminine care","Maximum Strength Multi-Symptom Midol Complete",276
"feminine care","Lightdays Extra Coverage Pantiliners",274
"feminine care","Flushable Cardboard Super Tampons",269
"feminine care","Radiant Super Tampons",268
"feminine care","Infinity Always Radiant Regular With Wings Scented Pads",264
"feminine care","Multi-Pack Regular/Super/Super Plus Tampons - 40 CT",262
"feminine care","Light Absorbency Panty Liners",260
"feminine care","LightdaysÂ® Pantiliners, Regular",257
"feminine care","Moderate Absorbency Bladder Leakage Protection",254
"feminine care","Long Ultimate Absorbency",254
"feminine care","Sport Fresh Balance Lightly Scented Regular/Super Absorbency Multi-Pack Tampons",251
"feminine care","Lightdays Liners",240
"feminine care","Clean Individual Wipes",235
"feminine care","Xtra Protection Odor Lock Extra Long Liners Double Pack",229
"feminine care","Organic Super Tampons No Applicator",221
"feminine care","Discreet Incontinence Liners Very Light Long Length",220
"feminine care","AllNighter Ultra Thin Overnight with Wings Pads",219
"feminine care","Fresh & Clean Feminine Wipes",218
"feminine care","Deodorant Regular Gentle Glide",218
"feminine care","Sleek Super Plus Unscented Tampons",215
"feminine care","Xtra Protection Extra Long Dailies Pantiliners",215
"feminine care","Maximum Strength Multi Symptom Menstrual Pain Relief",212
"feminine care","Discreet Incontinence Pads Maximum Long Length",209
"feminine care","Natural Balance Overnight Maxi Pads",206
"feminine care","Gentle Glide 360Â° Fresh Scent Regular/Super Absorbency Multi-Pack Tampons",205
