Aisles,Product,amountBought
"food storage","Aluminum Foil",106752
"food storage","Gallon Freezer Bags",59628
"food storage","Sandwich Bags",39697
"food storage","Parchment Paper",33844
"food storage","Quart Storage Bags",30848
"food storage","Easy Open TabsBags",26395
"food storage","Variety Pack",20055
"food storage","12"" Aluminium Foil",18793
"food storage","Slider Stand & Fill Storage Gallon Bags",16504
"food storage","Paper Snack & Sandwich Bags, 100% Unbleached",14815
"food storage","Slider Storage Quart Bags",13909
"food storage","Freezer Gallon Bags",13648
"food storage","Double Zipper Gallon Storage Bags",11782
"food storage","Cling Wrap Clear Food Wrap",11277
"food storage","Quart Sized  Easy Open Freezer Bags",10805
"food storage","Heavy Duty Non-Stick Aluminum Foil 35 sq ft",9050
"food storage","Storage Bags",8869
"food storage","Entr̩e Containers & Lids",8481
"food storage","Zipper Sandwich Bags",8418
"food storage","Double Zipper Gallon Freezer Bags",7540
"food storage","Multipurpose Sealing Wrap 70 Sq. Ft.",7119
"food storage","Slider Gallon Freezer Bag",6962
"food storage","Reclosable Sandwich Bags",5473
"food storage","Heavy Duty 18"" Aluminium Foil",5459
"food storage","Premium Plastic Wrap",5004
"food storage","Mini Round Containers + Lids",4912
"food storage","Tall Entree Containers & Lids Containers, Tight Seal, Large Squares",4699
"food storage","Medium Square Containers & Lids",4656
"food storage","Large Deep Dish Containers + Lids",4565
"food storage","Slow Cooker Liners",4479
"food storage","Double Zipper Freezer Bags",4452
"food storage","Cut-Rite Wax Paper",4040
"food storage","Smart Sandwich",3987
"food storage","Heavy Duty 12"" Aluminium Foil",3889
"food storage","Cinnamon Chex Cereal",3259
"food storage","Clear Plastic Wrap",2992
"food storage","Freezer Slider Bags",2968
"food storage","Sandwich Resealable Bags",2931
"food storage","Wrap Aluminum Foil Heavy Duty",2915
"food storage","Twist n Loc Small Round Containers + Lids",2891
"food storage","Large Rectangle Containers",2880
"food storage","Medium Soup & Salad Containers + Lids",2700
"food storage","Freezer Bag Gallon",2670
"food storage","Snack Size Zipper Bags",2647
"food storage","Resealable Snack Bags",2556
"food storage","Gallon Size Value Pack Storage Bags",2554
"food storage","Zipper Bags Sandwich - 50 CT",2398
"food storage","Small Square Containers & Lids",2357
"food storage","Double Zipper 2 Gallon Freezer Bags",2350
"food storage","To Go Lunch Containers With Lids, Medium Rounds with Dressing Cups",2276
"food storage","Slider Freezer Bag Gallon",2183
"food storage","Paper Lunch Bags",2101
"food storage","Big Bowl Round Containers + Lids",1941
"food storage","OneZip Storage Bags Quart Size Value Pack",1925
"food storage","Foil Sheets",1802
"food storage","Freezer Slider Bags, Gallon",1797
"food storage","Reclosable Sandwich Bags Double Zipper",1725
"food storage","XL Sandwich Bags",1686
"food storage","Oven Bags",1550
"food storage","Freezer Slider Bags, Quart",1523
"food storage","Food Storage Resealable Bags",1493
"food storage","Jumbo Slider Bags",1452
"food storage","Cling Wrap",1366
"food storage","Gallon Zipper Storage Bags",1304
"food storage","Jumbo Storage Bags",1248
"food storage","Food Storage Large Green",1197
"food storage","Waxed Paper Bags",1188
"food storage","Saran Cling Clear Plastic Wrap",1185
"food storage","Square Extra Small Containers + Lids",1100
"food storage","Aluminum Foil Roll",1030
"food storage","Snack Size Mini Green Container + Lid",1018
"food storage","Slider Quart Storage Bags",936
"food storage","Wrappers Pre-cut Pop Up Foil Sheets",909
"food storage","Gallon Freezer Reclosable Bags",904
"food storage","Recloseable Sandwich Bags",880
