Aisles,Product,amountBought
"fresh dips tapenades","Original Hummus",624984
"fresh dips tapenades","Roasted Red Pepper Hummus",164346
"fresh dips tapenades",Guacamole,149001
"fresh dips tapenades","Lemon Hummus",139359
"fresh dips tapenades","Organic Original Hommus",131175
"fresh dips tapenades","Classic Hummus",123868
"fresh dips tapenades","Traditional Hummus",80030
"fresh dips tapenades","Garlic Hummus",77919
"fresh dips tapenades","Roasted Pine Nut Hummus",75062
"fresh dips tapenades","Jalapeno Hummus",63304
"fresh dips tapenades","Hummus, Hope, Original Recipe",60726
"fresh dips tapenades","Medium Salsa Roja",59354
"fresh dips tapenades","Roasted Garlic Hummus",58129
"fresh dips tapenades","Classic Hummus Family Size",52286
"fresh dips tapenades","Mild Salsa Roja",49061
"fresh dips tapenades",Tzatziki,45727
"fresh dips tapenades","Hommus Classic Original",41679
"fresh dips tapenades","Thick & Chunky Salsa",36149
"fresh dips tapenades","Real Guacamole",35458
"fresh dips tapenades","Spicy Avocado Hummus",34844
"fresh dips tapenades","Salsa, Roja, Hot",34397
"fresh dips tapenades","Garlic Lovers Hommus",34089
"fresh dips tapenades","Grandma's Hummus",31710
"fresh dips tapenades","French Onion Dip",30693
"fresh dips tapenades","Spicy Hummus",30679
"fresh dips tapenades","Classic Original Hommus",26114
"fresh dips tapenades","Supremely Spicy Hummus",25388
"fresh dips tapenades","Pico De Gallo Chunky Salsa",25142
"fresh dips tapenades","Organic Guacamole",23232
"fresh dips tapenades",Hummus,23188
"fresh dips tapenades","Organic Sriracha Hummus",21644
"fresh dips tapenades","Fresh Roasted Tomate & Chile Asado Medium Salsa",20977
"fresh dips tapenades","Olive Hummus",20263
"fresh dips tapenades","Snack Pack Mini Classic",19848
"fresh dips tapenades","Organic Traditional Hummus",18722
"fresh dips tapenades","Organic Original Hummus",17833
"fresh dips tapenades","Roasted Red Pepper Hommus",17306
"fresh dips tapenades","Snack Pack Classic Original Hommus With Chips",16172
"fresh dips tapenades","Mild Guacamole",15074
"fresh dips tapenades","Organic Kale Pesto Hummus",14867
"fresh dips tapenades","Organic Jalapeno Cilantro Hummus",13792
"fresh dips tapenades","All Natural Classic Guacamole",13639
"fresh dips tapenades","Organic Thai Coconut Curry Hummus",13293
"fresh dips tapenades","Fresh Salsa",12601
"fresh dips tapenades","Stuffed Grape Leaves",12445
"fresh dips tapenades","Guacamole Authentic",12426
"fresh dips tapenades","Fresh Medium Salsa",11860
"fresh dips tapenades","Chunky Guacamole",11529
"fresh dips tapenades","Organic Red Pepper Hommus",11369
"fresh dips tapenades","Artichoke Spinach Dip",11095
"fresh dips tapenades","Baba Ghannouge Eggplant Dip",10888
"fresh dips tapenades","Salsa, Verde, Roasted",10822
"fresh dips tapenades","All Natural Classic Guacamole Snack",10811
"fresh dips tapenades","Medium Salsa Organica",10511
"fresh dips tapenades","Guacamole Dip",10179
"fresh dips tapenades","Organic Garlic Hummus",9650
"fresh dips tapenades","Classic Guacamole",9499
"fresh dips tapenades","Organic Garlic Hommus",9477
"fresh dips tapenades","Organic Classic Hummus",9272
"fresh dips tapenades","Spinach Artichoke Dip",9249
"fresh dips tapenades","Guacamole Dips",9009
"fresh dips tapenades","Pico De Gallo",8959
"fresh dips tapenades","Kalamata Hummus",8535
"fresh dips tapenades","Zesty Lemon Hommus",8515
"fresh dips tapenades","Oil Free Original Hummus",8384
"fresh dips tapenades","Roasted Red Pepper Hummus With Chips",8330
"fresh dips tapenades","Olive Tapenade Hummus",7698
"fresh dips tapenades","Roasted Garlic Family Size Hummus",7370
"fresh dips tapenades","Classic Hummus with Rold Gold Petzels Snack",7363
"fresh dips tapenades","Jack's Special Mild Salsa",7355
"fresh dips tapenades","Hommus, Artichoke Spinach",7113
"fresh dips tapenades","Spinach And Artichoke Hummus",6999
"fresh dips tapenades","Fire Roasted Red Pepper Hummus",6932
"fresh dips tapenades","Authentic Israeli Fresh Classic Hummus",6857
"fresh dips tapenades","Mild Organic Salsa",6769
"fresh dips tapenades","Organic Roasted Red Pepper Hummus",6691
"fresh dips tapenades","Spinach Dip",6567
"fresh dips tapenades","Crazy Feta Dip",6525
"fresh dips tapenades","Harissa Dip",6128
"fresh dips tapenades","Hummus Roasted Pepper",5893
"fresh dips tapenades","French Onion Sour Cream Dip",5797
"fresh dips tapenades","Classic Original Hummus",5732
"fresh dips tapenades","Organic Hummus Roasted Red Pepper",5604
"fresh dips tapenades","Hot Guacamole",5390
"fresh dips tapenades","Chipotle Salsa",5310
"fresh dips tapenades","Medium La Vieja Salsa",5042
"fresh dips tapenades","Baba Ghannouj",4948
"fresh dips tapenades","Mango Peach Salsa",4877
"fresh dips tapenades","Pine Nut Hummus",4661
"fresh dips tapenades","Supremely Spicy Hummus, Family Size",4561
"fresh dips tapenades","Hommus Garlic Lovers",4492
"fresh dips tapenades","Carmelized Onion Hummus",4313
"fresh dips tapenades","Three Sisters Chili",4240
"fresh dips tapenades","Salsa Fresca",4185
"fresh dips tapenades","Cabbage, Napa, Table Cut",4117
"fresh dips tapenades","Hommus Artichoke Kalamata",4070
"fresh dips tapenades","Guacamole Singles",3892
"fresh dips tapenades","Spicy Guacamole",3825
"fresh dips tapenades","Truffle Mousse",3641
"fresh dips tapenades","Ranch Veggie Dip",3617
"fresh dips tapenades","Humm! Cocktail Hummus Roasted Pine Nuts",3536
"fresh dips tapenades","Spicy Salsa",3535
"fresh dips tapenades","Roasted Pine Nut Hommus",3496
"fresh dips tapenades","Fire Roasted Medium Salsa",3486
"fresh dips tapenades","Organic Hummus Spicy Jalape̱o Cilantro",3390
"fresh dips tapenades","Muhammara Walnut Pomegranate & Roasted Red Pepper Meze",3382
"fresh dips tapenades","Cilantro Chili",3323
"fresh dips tapenades","Edamame Hummus",3297
"fresh dips tapenades","Fresh Mild Salsa",3269
"fresh dips tapenades",Babaghannouj,3189
"fresh dips tapenades","Medium Tomatillo Salsa",3145
"fresh dips tapenades","Spicy Three Pepper Hummus",3129
"fresh dips tapenades","Spicy Minis Guacamole",3121
"fresh dips tapenades","Affi's Aubergine Fire Roasted Eggplant & Garlic All Natural Dip",3088
"fresh dips tapenades","Avocado Hommus",3063
"fresh dips tapenades","Roasted Garlic Hummus with Pretzels",3023
"fresh dips tapenades","Zesty Garlic Aiolo Mayo Alternative",2965
"fresh dips tapenades","Tzatziki Greek Strained Yogurt Dip Cucumber Garlic",2874
"fresh dips tapenades","Salsa Medium",2793
"fresh dips tapenades","Tryst Black Bean Hummus",2732
"fresh dips tapenades","Thai Coconut Curry Hummus",2659
"fresh dips tapenades","Top the Tater Chive & Onion Sour Cream",2618
"fresh dips tapenades","Mild Pico De Gallo",2598
"fresh dips tapenades","Artichoke Jalapeno Dip",2583
"fresh dips tapenades","Hommus Roasted Red Pepper",2511
"fresh dips tapenades","Artichoke Parmesan Dip",2510
"fresh dips tapenades","Hummus With Roasted Garlic",2500
"fresh dips tapenades","Garlic & Chive Hummus",2486
"fresh dips tapenades","Gluten Free Hot Chipotle Hummus",2464
