Aisles,Product,amountBought
"fresh fruits",Banana,2405664
"fresh fruits","Bag of Organic Bananas",2007396
"fresh fruits","Organic Strawberries",2005999
"fresh fruits","Organic Hass Avocado",1497887
"fresh fruits","Large Lemon",1279007
"fresh fruits",Limes,1261016
"fresh fruits","Organic Avocado",1187054
"fresh fruits",Strawberries,1065577
"fresh fruits","Organic Lemon",736962
"fresh fruits","Apple Honeycrisp Organic",669898
"fresh fruits","Organic Fuji Apple",652080
"fresh fruits","Honeycrisp Apple",617611
"fresh fruits","Organic Large Extra Fancy Fuji Apple",587037
"fresh fruits","Organic Gala Apples",575297
"fresh fruits","Organic Blackberries",539432
"fresh fruits","Organic Granny Smith Apple",489946
"fresh fruits","Organic D'Anjou Pears",468499
"fresh fruits","Organic Kiwi",462914
"fresh fruits","Organic Navel Orange",393995
"fresh fruits","Small Hass Avocado",389463
"fresh fruits","Organic Bartlett Pear",359577
"fresh fruits","Grape White/Green Seedless",343843
"fresh fruits","Bartlett Pears",301569
"fresh fruits","Granny Smith Apples",281154
"fresh fruits",Cantaloupe,250858
"fresh fruits","Organic Yellow Peaches",215862
"fresh fruits","Large Grapefruit",205842
"fresh fruits","Organic Bosc Pear",198883
"fresh fruits","Gala Apples",185482
"fresh fruits",Blackberries,160237
"fresh fruits","Large Yellow Flesh Nectarine",143407
"fresh fruits","Bing Cherries",134286
"fresh fruits","Organic Nectarine",131107
"fresh fruits","Organic Banana",128346
"fresh fruits","Seedless Small Watermelon",120631
"fresh fruits","Organic Red Delicious Apple",110499
"fresh fruits","Organic Cripps Pink Apples",108775
"fresh fruits","Mandarin Oranges",107670
"fresh fruits","Blood Oranges",105614
"fresh fruits",Lime,102150
"fresh fruits","Organic Mango",98612
"fresh fruits",Kiwi,96374
"fresh fruits","Black Plum",95357
"fresh fruits","Organic Braeburn Apple",93038
"fresh fruits","Medium Navel Orange",92579
"fresh fruits","Honeycrisp Apples",91372
"fresh fruits","Organic Red Grapes",90289
"fresh fruits","Red Plums",89044
"fresh fruits","Organic Golden Delicious Apple",86991
"fresh fruits","Tommy/Kent/Keitt/Haden Mango",85381
"fresh fruits","White Peach",85086
