Aisles,Product,amountBought
"fresh herbs","Organic Cilantro",669856
"fresh herbs","Organic Italian Parsley Bunch",580113
"fresh herbs","Bunched Cilantro",419382
"fresh herbs","Organic Thyme",194569
"fresh herbs","Organic Mint",190967
"fresh herbs","Organic Dill",160694
"fresh herbs","Flat Parsley, Bunch",125932
"fresh herbs","Organic Fresh Basil",117631
"fresh herbs","Organic Rosemary",107210
"fresh herbs",Mint,101946
"fresh herbs","Parsley, Italian (Flat), New England Grown",80825
"fresh herbs",Basil,78534
"fresh herbs",Thyme,54386
"fresh herbs","Organic Sage",53480
"fresh herbs",Parsley,49737
"fresh herbs","Organic Chives",47890
"fresh herbs","Organic Mint Bunch",30476
"fresh herbs","Organic Parsley",30106
"fresh herbs","Lemon Grass",30026
"fresh herbs","Fresh Dill",28988
"fresh herbs","Organic Tarragon",26619
"fresh herbs","Curly Parsley Bunch",26569
"fresh herbs","Fresh Basil",25936
"fresh herbs","Potted Basil",22239
"fresh herbs","Organic Cilantro Bunch",15501
"fresh herbs","Baby Dill",13803
"fresh herbs","Living Herbs Potted Living Basil",12199
"fresh herbs","Fresh Whole Garlic",10493
"fresh herbs",Sage,10194
"fresh herbs","Ginger Root",9043
"fresh herbs","Organic Poultry Blend",6944
"fresh herbs","Italian Parsley",6339
"fresh herbs","Herb Cilantro Clamshell",6121
"fresh herbs","Organic Mixed Herbs",5469
"fresh herbs",Dill,5114
"fresh herbs","Organic Thai Basil",4624
"fresh herbs","Potted Thyme",4537
"fresh herbs","Herbs Chives",4267
"fresh herbs","Organic Italian Parsley",2931
"fresh herbs","Herb Thyme Clamshell",2833
"fresh herbs","Curly Parsley",2808
"fresh herbs","Mint (Spearmint)",2510
"fresh herbs","Living Mint",2424
"fresh herbs","Organic Lemon Thyme",2353
"fresh herbs","Cilantro Paste",1887
"fresh herbs","Potted Flat Parsley",1803
"fresh herbs","Lightly Dried Basil",1753
"fresh herbs","Herbs Ginger Blend Spices",1713
"fresh herbs","Organic Basil Herb",1586
"fresh herbs","Organic Poultry Blend Herbs",1582
"fresh herbs","Organic Bay Leaf",1378
"fresh herbs","Thyme Bunch",1359
"fresh herbs","Organic Mint Leaves",1325
"fresh herbs","Herb Organic Oregano",1216
"fresh herbs","Lightly Dried Parsley",1097
"fresh herbs","Fresh Thyme",1018
"fresh herbs","Lemongrass Stir In Paste",958
"fresh herbs","Hearty Sage",807
"fresh herbs","Organic Poultry Mix Herbs",711
"fresh herbs","Living Potted Rosemary",655
"fresh herbs","Organic Marjoram",609
"fresh herbs","Living Organic Cilantro",542
"fresh herbs","Organic Living Basil",541
"fresh herbs","Freeze Dried Chives",533
"fresh herbs","Dry Arbol Peppers",492
"fresh herbs",Marjoram,484
"fresh herbs","Freeze-Dried Basil",447
"fresh herbs","Organic Lemon Thyme Herbs",442
"fresh herbs","Organic Spearmint",369
"fresh herbs","Garlic Cloves",352
"fresh herbs","Ginger, Lightly Dried",344
"fresh herbs","Dill Stir-In Paste",321
"fresh herbs","Parsley Freeze-Dried Herbs",285
"fresh herbs","Organic Chervil",184
"fresh herbs","Italian Herbs Paste",140
"fresh herbs","Thai Chili Peppers",139
"fresh herbs","Living Basil",131
"fresh herbs","Organic Curly Parsley",112
"fresh herbs","Organic Saltine Crackers",86
"fresh herbs","Organic Herb Mint Living",59
"fresh herbs","Aloe Vera",50
"fresh herbs","Organic Sorrel",50
"fresh herbs","Italian Parsley Bunch",33
"fresh herbs","Herbs Rosemary",29
"fresh herbs","Herbs Lime Leaves",20
