Aisles,Product,amountBought
"fresh pasta","Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Three Cheese Tortellini",31038
"fresh pasta","Ravioli, Spinach & Cheese",30959
"fresh pasta","Cheese Ravioli",19830
"fresh pasta","Wild Chanterelle Mushroom Ravioli",14951
"fresh pasta","Four Cheese Ravioli",12885
"fresh pasta","Gluten Free Fusilli",11086
"fresh pasta","Porcini Mushroom Tortellini",10883
"fresh pasta","Gluten Free Linguini",10594
"fresh pasta","Fresh Fussilli",9213
"fresh pasta","Spinach Cheese Tortellini",9087
"fresh pasta","Classic Potato Gnocchi",8822
"fresh pasta","Organic Chicken & Mozzarella Ravioli",8694
"fresh pasta","Ricotta And Spinach Tondi",8431
"fresh pasta","Goat Cheese & Basil Ravioli",8390
"fresh pasta","All Natural Four Cheese Ravioli",8325
"fresh pasta","Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Mixed Cheese Tortellini",7809
"fresh pasta","Spinach & Ricotta Ravioli",7418
"fresh pasta","Organic Spinach And Cheese Ravioli",6663
"fresh pasta","Three Cheese Ravioli In Egg Pasta",6420
"fresh pasta","Organic Spinach & Cheese Tortellini",5681
"fresh pasta",Fettuccine,5338
"fresh pasta","Kids Mac-N-Cheezy Fish Shaped Ravioli",5289
"fresh pasta","Mushroom Ravioli",5076
"fresh pasta","Cheese Delicato Tortellini",5026
"fresh pasta","Gluten Free Fettuccine",4641
"fresh pasta","Organic Red Beet & Spinach Ravioli",4569
"fresh pasta","Sweet Potato Gnocchi",4546
"fresh pasta","Vegan Garlic & Roasted Veggie Ravioli",4215
"fresh pasta","Gluten-Free Lemon Thyme Linguine",4180
"fresh pasta","Freshly Made with Durum Flour and Eggs Delicately Cut into Narrow Ribbons Linguine Pasta",3791
"fresh pasta","Organic Vegetarian & Delicious Four Cheese Tortelloni",3631
"fresh pasta","Cheese Delicato Tortelloni",3318
"fresh pasta","Asparagus & Gruyere Ravioli",3129
"fresh pasta","Gluten Free Cheese Ravioli",3121
"fresh pasta","Spinaci e Ricotta Ravioli",3034
"fresh pasta",Fettuccini,2936
"fresh pasta","Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Three Cheese Ravioletti",2865
"fresh pasta","Ricotta & Parmigiano Tortellini",2718
"fresh pasta","Goat Cheese and Roasted Tomato Mezzelune Pasta",2630
"fresh pasta","Pesto Cheese Tortellini",2452
"fresh pasta","Cheese ""Forte"" Ravioli",2368
"fresh pasta","Gluten Free Lasagna Sheets",2315
"fresh pasta","Spinach And Cheese Ravioli",2289
"fresh pasta","Chicken Rosemary Ravioli",2236
"fresh pasta","Plain Noodles With Morohetya",2147
"fresh pasta","Prosciutto Tortelloni",2106
"fresh pasta","Caramelized Onions And Gruyere Cheese Ravioli",2006
"fresh pasta","Organic Kale & White Bean Ravioli",1830
"fresh pasta","All Natural Tagliatelle Pasta",1824
"fresh pasta","Freshly Made. Filled with Tender Chicken,Â Lightly Seasoned with Rosemary and Roasted Garlic Family Size Herb Chicken Tortellini",1802
"fresh pasta","Spinach Florentine Ravioli",1716
"fresh pasta","Porcini & Truffle Mezzelune Pasta",1650
"fresh pasta","Roasted Vegetable Ravioli",1603
"fresh pasta","Three Cheese Ravioli",1521
"fresh pasta","Ravioli, Chicken & Mozzarella",1504
"fresh pasta","Spinach & Ricotta Tortelloni",1487
"fresh pasta",Penne,1477
"fresh pasta","Sweet Butternut Squash Ravioli",1464
"fresh pasta","Pesto Sauce With Pine Nuts",1457
"fresh pasta","Freshly Made. Filled with creamy Ricotta, Aged Parmesan and Romano Cheeses Whole Wheat Three Cheese Tortellini",1438
"fresh pasta","Butter & Chive Sprouted Risotto",1410
"fresh pasta","Mushroom And Cheese Ravioli",1383
"fresh pasta","Wild Mushroom Ravioli",1370
"fresh pasta","Pumpkin & Sage Ravioli",1351
"fresh pasta","Portabella & Fontina Ravioli",1314
"fresh pasta","Ravioli, Italian Sausage",1260
"fresh pasta","Provolone & Prosciutto Tortellini",1254
"fresh pasta","Sweet Potato, Quinoa, & Kale Ravioli",1242
"fresh pasta","Ravioli, Butternut Squash",1152
"fresh pasta","Peas & Prosciutto Ravioli Provolone",1125
"fresh pasta","Gluten-Free Five Cheese Ravioli",1119
"fresh pasta","Caprese Duet Ravioli",1096
"fresh pasta","Butternut Ravioli",1035
"fresh pasta","Classic Spinach Ravioli",1004
"fresh pasta","Chicken Mozzarella Tortelloni",939
"fresh pasta","Asparagus & Aged Italian Cheese Cappellacci",834
"fresh pasta","Organic Pappardelle",784
"fresh pasta",Gemelli,617
"fresh pasta","Vegan Mushroom & Caramelized Onion Ravioli",610
"fresh pasta","Ravioli, Five Cheese, Value Pack",601
"fresh pasta","Superfood Spinach and Kale Ravioli",598
"fresh pasta","Egg Lasagna Sheets",566
"fresh pasta","Truffled Creamy Ricotta In Egg Pasta",557
"fresh pasta","Mozzarella Tomato & Basil Ravioli In Basil Pasta",540
"fresh pasta","Potato & Ricotta Gnocchi",539
"fresh pasta","Parmesan Gnocchi",534
"fresh pasta","Yakisoba Stir-Fry Noodle Teriyaki",519
"fresh pasta","Spinach and Artichoke Ravioli Refrigerated Pasta",494
"fresh pasta","Asparagus & Meyer Lemon Ravioli In Lemon Parsley Sauce",491
"fresh pasta","Tortelloni Filled with Cheese and Roasted Garlic",450
"fresh pasta","Chicken and Roasted Garlic Tortelloni Refrigerated Pasta",419
"fresh pasta","Lemon Ricotta Ravioli In Lemon Pasta",411
"fresh pasta","Large Cheese Ravioli",404
"fresh pasta","Three Cheese Tortellini with Bacon",353
"fresh pasta","Organic Spinach Ricotta Ravioli",332
"fresh pasta","Fresh Udon Noodle",302
"fresh pasta","Pesto & Mozzarella Ravioli",288
"fresh pasta","Three Cheese Asparagus Ravioli Refrigerated Pasta",266
"fresh pasta","Butternut Squash & Chestnut Ravioli",250
"fresh pasta","Rainbow Tortellini",223
"fresh pasta","Dumpling Egg Noodles",222
"fresh pasta","Garlic Gorgonzola Ravioli with Spinach Pasta",221
"fresh pasta","Fettuccine Paglia E Fieno",214
"fresh pasta","Spinach And Pine Nut Ravioli in Spinach Pasta",214
"fresh pasta","Organic Marin Pasta Ravioli",204
"fresh pasta","Porcini Mushroom And Truffle Triangles",200
"fresh pasta","100% Whole Wheat Gnocchi With Sweet Potato",193
"fresh pasta","Ready Meals Three Cheese Alfredo",175
"fresh pasta","Ravioli, Butternut Squash, Gluten-Free",167
"fresh pasta","Gnocchi, Whole Wheat Potato",158
"fresh pasta","Lobster Ravioli",133
"fresh pasta","Creamy Artichoke & Olive Ravioli",131
"fresh pasta","Mediterranean Garlic & Herb Ravioli",106
"fresh pasta","Five Cheese Tortellini",87
"fresh pasta","Coconut Curry",72
"fresh pasta","Artichoke And Feta Ravioli",48
"fresh pasta","Spinach Cheese Ravioli",45
"fresh pasta","Sausage, Parm & Ravioli",36
"fresh pasta","Pumpkin Gnocchi",35
"fresh pasta","Sweet Bell Pepper and Roasted Chicken Ravioli Refrigerated Pasta",32
"fresh pasta","Port & Porcini Mushroom Tortelloni",16
"fresh pasta","Spinach Basil Garlic Linguini",13
