Aisles,Product,amountBought
"fresh vegetables","Organic Yellow Onion",1004141
"fresh vegetables","Organic Garlic",1001654
"fresh vegetables","Organic Zucchini",986367
"fresh vegetables","Cucumber Kirby",763565
"fresh vegetables","Organic Cucumber",733572
"fresh vegetables","Fresh Cauliflower",678967
"fresh vegetables","Organic Red Onion",665058
"fresh vegetables",Carrots,650092
"fresh vegetables","Organic Small Bunch Celery",649671
"fresh vegetables","Yellow Onions",633608
"fresh vegetables",Asparagus,628776
"fresh vegetables","Organic Tomato Cluster",578444
"fresh vegetables","Organic Red Bell Pepper",539812
"fresh vegetables","Green Bell Pepper",536730
"fresh vegetables","Michigan Organic Kale",525882
"fresh vegetables","Organic Garnet Sweet Potato (Yam)",515602
"fresh vegetables","Red Peppers",503775
"fresh vegetables","Organic Ginger Root",488073
"fresh vegetables","Red Vine Tomato",466526
"fresh vegetables","Jalapeno Peppers",392747
"fresh vegetables","Broccoli Crown",386810
"fresh vegetables","Red Onion",381547
"fresh vegetables","Orange Bell Pepper",374975
"fresh vegetables","Organic Lacinato (Dinosaur) Kale",365960
"fresh vegetables","Organic Carrot Bunch",341735
"fresh vegetables",Garlic,334158
"fresh vegetables","Roma Tomato",334092
"fresh vegetables","Organic Broccoli",331868
"fresh vegetables","Organic Russet Potato",311767
"fresh vegetables","Organic Romaine Lettuce",307387
"fresh vegetables","Organic Baby Broccoli",295413
"fresh vegetables","Green Beans",280053
"fresh vegetables","Russet Potato",267068
"fresh vegetables","Organic Red Radish, Bunch",266702
"fresh vegetables","Yellow Bell Pepper",265062
"fresh vegetables","Organic Roma Tomato",258959
"fresh vegetables","Organic Bell Pepper",247850
"fresh vegetables","Green Onions",244629
"fresh vegetables","Organic Celery Hearts",239562
"fresh vegetables","Fresh Ginger Root",226674
"fresh vegetables","Organic Hothouse Cucumbers",220419
"fresh vegetables","Organic White Onions",215356
"fresh vegetables","Organic Butternut Squash",207364
"fresh vegetables","Brussels Sprouts",207085
"fresh vegetables","Organic Green Cabbage",199853
"fresh vegetables","Cherubs Heavenly Salad Tomatoes",199011
"fresh vegetables","Organic Jalapeno Pepper",197857
"fresh vegetables","Organic Large Green Asparagus",197518
"fresh vegetables","Organic Leek",196834
"fresh vegetables","Organic Yams",188877
"fresh vegetables","White Corn",179135
"fresh vegetables","Globe Eggplant",178876
"fresh vegetables","Organic Snipped Green Beans",177129
"fresh vegetables","Sweet Onion",173970
"fresh vegetables","Organic Broccoli Crowns",169802
"fresh vegetables",Shallot,168319
"fresh vegetables","Organic Red Cabbage",158980
"fresh vegetables","European Cucumber",153511
"fresh vegetables","Organic Baby Kale",152033
"fresh vegetables","Organic Bunch Beets",150317
"fresh vegetables","Hass Avocado",148190
"fresh vegetables","Sugar Snap Peas",147452
