Aisles,Product,amountBought
"frozen appetizers sides","Naturals Chicken Nuggets",109958
"frozen appetizers sides","Chicken Breast Tenders Breaded",79784
"frozen appetizers sides","Cheese Pizza Snacks",79399
"frozen appetizers sides","Air Chilled Breaded Chicken Breast Nuggets",79242
"frozen appetizers sides","Kidz All Natural Baked Chicken Nuggets",75336
"frozen appetizers sides","Shredded Hash Browns",65444
"frozen appetizers sides","Sweet Potato Fries with Sea Salt",62785
"frozen appetizers sides","Shoestring Fries",55847
"frozen appetizers sides","Organic Seasoned Yukon Select Potatoes Hashed Browns",51641
"frozen appetizers sides","Organic Yukon Select Fries",51268
"frozen appetizers sides","Chicken Taquitos",46546
"frozen appetizers sides","Crinkle Cut French Fries",39402
"frozen appetizers sides","Pizza Poppers, Three Cheese",38861
"frozen appetizers sides","All Natural Seasoned Waffle Cut Fries",31774
"frozen appetizers sides","Tater Tots",26557
"frozen appetizers sides","Organic Sweet Potato Fries",25945
"frozen appetizers sides","Tater Puffs",23794
"frozen appetizers sides","Waffle Cut Sweet Potato Seasoned Fries",23290
"frozen appetizers sides","Sweet Potato Littles",22369
"frozen appetizers sides","Pepperoni Pizza Rolls",22314
"frozen appetizers sides","Organic Classic Sea Salt  Oven Crinkles Fries",22202
"frozen appetizers sides","Homestyle Breaded Chicken Breast Tenders",22136
"frozen appetizers sides","Organic Chicken & Vegetable Potstickers",22002
"frozen appetizers sides","Sweet Potato Fries with Salt",21537
"frozen appetizers sides","Potato Puffs with Roasted Garlic and Cracked Black Pepper",20925
"frozen appetizers sides","Frozen Breaded Bagged Chicken Nuggets",20148
"frozen appetizers sides","Breaded Chicken Breast Nuggets, Gluten Free",19680
"frozen appetizers sides","Spinach Pizza Snacks",19198
"frozen appetizers sides","Brazilian Cheese Bread Original Cheddar and Parmesan",18661
"frozen appetizers sides","Onion Rings",18101
"frozen appetizers sides","Baked Soft Pretzels",17916
"frozen appetizers sides","Golden Crinkles French Fried Potatoes",15924
"frozen appetizers sides","Crispy Seasoned Potato Puffs with Roasted Garlic & Cracked Pepper",15298
"frozen appetizers sides","Kidz Baked Chicken Nuggets",14838
"frozen appetizers sides","Bagel Bites Three Cheese Mini Bagel Pizzas",13751
"frozen appetizers sides","Gluten Free Chicken Dumplings",13407
"frozen appetizers sides","Beef Taquitos",13124
"frozen appetizers sides","Cheese & Pepperoni Mini Bagels",12627
"frozen appetizers sides","Nacho Cheese & Bean Snacks",12200
"frozen appetizers sides","Vegetable Egg Rolls",11394
"frozen appetizers sides","Microwaveable 100% Beef Cheeseburgers",11121
"frozen appetizers sides","Pepperoni Pizza Frozen Sandwiches",10580
"frozen appetizers sides","Gluten Free Extra Crispy Fast Food French Fried Potatoes",10362
"frozen appetizers sides","Golden Fries French Fried Potatoes",10208
"frozen appetizers sides","White Meat Fun Nuggets",10116
"frozen appetizers sides","Combination Pizza Rolls",10081
"frozen appetizers sides","Rosemary & Sea Salt Fries",9881
"frozen appetizers sides","Cheese Pizza Rolls",9686
"frozen appetizers sides","Crispy Chicken Strips 100% All Natural Fully Cooked",9227
"frozen appetizers sides","Popcorn Chicken",9117
"frozen appetizers sides","Gluten Free Broccoli & Cheese Baked Nuggets",8341
"frozen appetizers sides","Italian Herbs & Olive Oil Mozzarella Stix",8289
"frozen appetizers sides","Shoestrings French Fried Potatoes",7905
"frozen appetizers sides","Potstickers, Organic, Pork & Vegetable",7855
"frozen appetizers sides","Olive Oil Rosemary and Garlic Oven Fries",7548
"frozen appetizers sides","Mini Corn Dogs",7476
"frozen appetizers sides","Chicken & Vegetable Dumplings Potstickers",7438
"frozen appetizers sides","Extra Crispy Tator Tots",7332
"frozen appetizers sides","White Meat Chicken Taquitos",6897
"frozen appetizers sides","Chicken and Vegetable Egg Rolls",6660
"frozen appetizers sides","Fish Nuggets",6478
"frozen appetizers sides","Simply Potaoes Traditional Mashed Potatoes",6381
"frozen appetizers sides","Crinkle Cut Sweet Potato Fries with sea salt and black pepper",6247
"frozen appetizers sides","Dino Buddies Chicken Breast Nuggets",6062
"frozen appetizers sides","Sweet and Tangy Barbecue Wings",5985
"frozen appetizers sides","Fish Sticks",5835
"frozen appetizers sides","Steak Fries Thick-Cut French Fried Potatoes",5799
"frozen appetizers sides","The Original Thick Slice with Real Garlic Texas Toast",5765
"frozen appetizers sides","Traditional Bavarian Classic Soft Pretzels",5718
"frozen appetizers sides","Spinach & Cheese Pupusas",5702
"frozen appetizers sides","Organic Shiitake & Vegetable Potstickers",5638
"frozen appetizers sides","Gluten Free Vegetable Dumplings",5521
"frozen appetizers sides","Natural Gluten-Free Beef Corn Dogs",5474
"frozen appetizers sides","Breaded Chicken Nuggets Family Pack",5230
"frozen appetizers sides","Corn Dogs",5163
"frozen appetizers sides","Cheeseburger Sliders",5152
"frozen appetizers sides","Hash Brown Potato Patties",4937
"frozen appetizers sides","Kids Alphatots",4759
"frozen appetizers sides","Crunchy Fish Sticks",4648
"frozen appetizers sides","Breakfast Sausage  Egg & Cheese",4549
"frozen appetizers sides","Mozzarella Sticks With Marinara Sauce",4470
"frozen appetizers sides","Tater Treats Seasoned Shredded Potatoes",4381
"frozen appetizers sides","Classic Corn Dogs",4264
"frozen appetizers sides","Chicken Breast Nuggets",4160
"frozen appetizers sides","Large Chicken & Cheese Taquitos",4150
"frozen appetizers sides","Original Bread Sticks with Real Garlic",4071
"frozen appetizers sides","Four Potato Hash Browns",4021
"frozen appetizers sides","Fajita-Style Grilled Chicken Breast Strips",3984
"frozen appetizers sides","Bold & Crispy Zesties! Crispy Seasoned French Fried Potatoes",3940
"frozen appetizers sides","Garlic Chicken Spring Rolls",3890
"frozen appetizers sides","Waffle Fries French Fried Potatoes",3800
"frozen appetizers sides","Seasoned Curly Fries",3790
"frozen appetizers sides","Organic California-Style Blend Mixed Vegetables",3778
"frozen appetizers sides","All Natural Crispy with Panko Breading & Sea Salt Onion Rings",3760
"frozen appetizers sides","Crispy Crowns! Seasoned Shredded Potatoes",3719
"frozen appetizers sides","Buffalo Style Chicken Strips",3701
"frozen appetizers sides","Crispy Seasoned Potato Puffs",3681
"frozen appetizers sides","Indian Bites Samosa & Chutney Spiced Potato Pockets With Peas & Cilantro Chutney",3645
"frozen appetizers sides","Gluten Free Chicken Nuggets",3598
"frozen appetizers sides","Southern Style Diced Hash Brown Potatoes",3576
"frozen appetizers sides","Grands Buttermilk Biscuits",3516
"frozen appetizers sides","Crinkle Cut Fries",3384
"frozen appetizers sides","Potatoes O'Brien With Onions And Peppers",3343
"frozen appetizers sides","Vegetable Dumpling Potstickers",3269
"frozen appetizers sides","Mini Tater Tots Seasoned Shredded Potatoes",3259
"frozen appetizers sides","Snacks Burrito Bean & Cheese",3254
"frozen appetizers sides","Egg Rolls, Gluten-Free, Vegetable",3137
"frozen appetizers sides","Breaded Mozzarella Sticks",3127
"frozen appetizers sides","Classic Onion Pierogies",3067
"frozen appetizers sides","Beef & Cheese Mini Tacos",3016
"frozen appetizers sides","Rice Crusted Fish Sticks",2978
"frozen appetizers sides","Mozzarella Sticks",2935
"frozen appetizers sides","Butternut Squash and Sage Ravioli",2900
"frozen appetizers sides","Sticky White Rice Family Style Side Dish",2873
"frozen appetizers sides","Beef Franks in a Blanket",2866
"frozen appetizers sides","Roasted Straight Cut Fries",2849
"frozen appetizers sides","Kale Puffs",2713
"frozen appetizers sides","Kids Alphatots Family pack",2680
"frozen appetizers sides","Spinach & Artichoke Cheese Dip",2678
"frozen appetizers sides","Pre Sliced Garlic Bread Loaf",2627
"frozen appetizers sides","Any'tizers  Popcorn Chicken",2625
"frozen appetizers sides","Organic Microwaveable Pouches Jasmine Rice Thai",2563
"frozen appetizers sides","Lorraine & Florentine Petite Quiche",2516
"frozen appetizers sides","The Original Five Cheese Texas Toast",2444
"frozen appetizers sides","Gluten Free Breaded Chicken Nuggets",2401
"frozen appetizers sides","Chicken & Vegetable Potstickers With Sauce",2385
"frozen appetizers sides","Pepperoni Bagel Bites",2344
"frozen appetizers sides","Shredded Steak Taquitos",2303
"frozen appetizers sides","Organic Oven Crinkles with Sea Salt & Pepper",2176
"frozen appetizers sides","Loaded! Potato Skins Cheddar & Bacon",2175
"frozen appetizers sides","Any'tizers Homestyle Chicken Fries",2161
"frozen appetizers sides","Chicken & Cilantro Mini  Wontons",2122
"frozen appetizers sides","Chicken and Cheese Taquitos",2119
"frozen appetizers sides","Whole Wheat Spanakopita",2071
"frozen appetizers sides","98% fatfree smart classics roasted Tri-Cut Potatoes with sea salt",2055
"frozen appetizers sides","Honey BBQ Flavored Chicken Strips",2054
"frozen appetizers sides","Bold & Crispy Zesty Twirls",2033
"frozen appetizers sides","Cheese, Sausage, and Pepperoni topped Mini Bagels",1978
"frozen appetizers sides","Extra Crispy Easy Fries Golden Crinkles",1975
"frozen appetizers sides","Artichoke & Parmesan Swirls",1965
"frozen appetizers sides","Gluten Free Carrot Puffs",1935
"frozen appetizers sides","Olive Oil, Parmesan & Roasted Garlic Oven Reds",1929
"frozen appetizers sides","Crunchy Chickpeas Korean BBQ",1925
