Aisles,Product,amountBought
"frozen breakfast","Chicken & Maple Breakfast Sausage",158038
"frozen breakfast","Organic Multigrain Waffles",98516
"frozen breakfast","Organic Homestyle Waffles",85419
"frozen breakfast","Eggo Homestyle Waffles",81509
"frozen breakfast","Natural Classic Pork Breakfast Sausage",79377
"frozen breakfast","Organic Blueberry Waffles",75827
"frozen breakfast","Naturals Savory Turkey Breakfast Sausage",74861
"frozen breakfast","Gluten Free Blueberry Waffles",61959
"frozen breakfast","Wheat Gluten Free Waffles",57710
"frozen breakfast","Organic Homestyle Mini Waffles",53104
"frozen breakfast","Organic Mini Homestyle Waffles",46583
"frozen breakfast","Organic All Natural Blueberry Mini Waffles",45141
"frozen breakfast","Organic Gluten Free Buckwheat Wildberry Waffles",40652
"frozen breakfast","Power Grains Waffles 6 ct",31412
"frozen breakfast","Organic Gluten Free Chia Plus with Quinoa & Amaranth Waffles",30923
"frozen breakfast","Multi Grain Waffles",29101
"frozen breakfast","Organic Gluten & Wheat Free Homestyle Waffles",27391
"frozen breakfast","All Natural French Toast Sticks",26395
"frozen breakfast","Eggo Chocolate Chip Waffles",25088
"frozen breakfast","Eggo Pancakes Minis",24898
"frozen breakfast","Sesame Street Organic Mini Blueberry Pancakes",23864
"frozen breakfast","Eggo Cinnamon Toast Waffles",23384
"frozen breakfast","Eggo Buttermilk Waffles",22718
"frozen breakfast","Whole Wheat Eggo Waffles",21532
"frozen breakfast","Whole Grain Organic Waffles, Totally Original",21280
"frozen breakfast","Natural Chicken & Apple Breakfast Sausage Patty",20186
"frozen breakfast","Buttermilk Pancakes 8 Count",19835
"frozen breakfast","Organic Gluten Free & Wheat Free Pumpkin Spice Waffles",19793
"frozen breakfast","A+ Cinnamon Sweet Potato Pancakes",18907
"frozen breakfast","Eggo Blueberry Waffles",18638
"frozen breakfast","Sesame Street Organic Homestyle Mini Pancakes",17301
"frozen breakfast","Tofu Scramble",17167
"frozen breakfast","Whole Grain Organic Blueberry Waffles",16905
"frozen breakfast","Egg & Smoked Gouda Multi-Grain Flatbread Breakfast Sandwich",14900
"frozen breakfast","Eggo Buttermilk Pancakes",14790
"frozen breakfast","Eggs, Cheese & Turkey Sausage Breakfast Burrito",14706
"frozen breakfast","Organic Waffles Flax Plus",14016
"frozen breakfast","Chicken Apple Sausage Egg White Breakfast Burrito",13156
"frozen breakfast","Uncured Ham-Egg & Cheddar Multi-Grain Flatbread Breakfast Sandwich",12898
"frozen breakfast","Savory Turkey Breakfast Sausage Patties",12404
"frozen breakfast","Waffles, Sweet Belgian, Vanilla",12222
"frozen breakfast","Delights Turkey Sausage, Egg Whites & Cheese Croissant",12148
"frozen breakfast","Eggo Nutri-Grain Blueberry Waffles",12134
"frozen breakfast","Homestyle Belgian Waffles",11963
"frozen breakfast","Breakfast Burrito",11956
"frozen breakfast","Hash Browns Country Style",11789
"frozen breakfast","Delights Turkey Sausage Egg Whites & Cheese English Muffin",11779
"frozen breakfast","Blueberry Waffles",11005
"frozen breakfast","Sausage, Egg, & Cheese Biscuit",10947
"frozen breakfast","Gluten Free Apple Cinnamon Waffles",10753
"frozen breakfast","Lean & Fit Chicken Apple Sausage Egg White & Cheddar on Multi Grain Flatbread Breakfast Sandwich",9046
"frozen breakfast","Mini Chocolate Chip Waffles",8963
"frozen breakfast","Mini Pancakes",8531
"frozen breakfast","Eggo Thick & Fluffy Original Waffles",8218
"frozen breakfast","Big Sur Breakfast Burrito",8021
"frozen breakfast","Buttermilk Pancakes",7984
"frozen breakfast","Gluten Free Spinach Cakes",7955
"frozen breakfast","Gluten Free Tofu Scramble Breakfast Wrap",7853
"frozen breakfast","Breakfast Scramble Wrap",7747
"frozen breakfast","VitaTops Deep Chocolate Muffin Tops",7726
"frozen breakfast","Broccoli Pancakes",7672
"frozen breakfast","Gluten Free Cinnamon French Toast Sticks",7473
"frozen breakfast","Farmstand Flaxbread Egg and Vegetarian Bacon Breakfast Sandwich",7252
"frozen breakfast","Toaster Strudel Strawberry Pastries",7042
"frozen breakfast","Organic Gluten Free Selections Dark Chocolate Chip Waffles - 6 CT",6934
"frozen breakfast","Cinnamon French Toaster Sticks",6655
"frozen breakfast","Eggo Mini Homestyle Waffles",6612
"frozen breakfast","Brown & Serve Original Breakfast Sausage Links",6327
"frozen breakfast","Delights Canadian Bacon Egg Whites & Cheese Honey Wheat English Muffin",6293
"frozen breakfast","Special K Sausage, Egg & Cheese Flatbread Breakfast Sandwich",6261
