Aisles,Product,amountBought
"frozen dessert","Dark Chocolate Covered Banana",37919
"frozen dessert","Original Whipped Topping",23125
"frozen dessert","Pastry Kitchens Classic Puff Pastry",16664
"frozen dessert","Puff Pastry Sheets",9450
"frozen dessert","Cool Whipe Lite Whipped Topping",8075
"frozen dessert","Naked Coconut Organic Coconut Bliss",5411
"frozen dessert","Peanut Butter & Grape Jelly Sandwiches",5022
"frozen dessert","Fat Free Whipped Topping",4851
"frozen dessert","Gluten Free Vegan Chocolate Chip Cookie Dough",3818
"frozen dessert","Gluten Free Muffin Tops Chocolate Chia - 4 CT",3124
"frozen dessert","Family Size All Butter Pound Cake",3117
"frozen dessert","Frozen All Butter Pound Cake",2782
"frozen dessert","Gluten Free Vanilla Glazed Donuts",2770
"frozen dessert","Deep Dish Pie Shells - 2 CT",2524
"frozen dessert","Chocolate Fudge Layer Cake",2192
"frozen dessert","Original Cream Cheesecake",2026
"frozen dessert","Frozen Classic Coconut Layer Cake",1926
"frozen dessert","Butter Puff Pastry",1822
"frozen dessert","Sugar Free Whipped Topping",1820
"frozen dessert","Hershey's Chocolate CrÂeme Pie Singles",1780
"frozen dessert","Dutch Apple Pie",1683
"frozen dessert","Vanilla Almond Coconut Almond Breeze",1500
"frozen dessert","Chocolate Style Cheesecake",1477
"frozen dessert","Key Lime Pie Singles",1474
"frozen dessert","Cool Whip Whipped Topping",1425
"frozen dessert","Frozen Desert Fit Brownie Blast",1212
"frozen dessert","Organic Chocolate Cakes",1196
"frozen dessert","Organic Creamy Coconut",1183
"frozen dessert","Frozen Strawberry Dippers",1158
"frozen dessert","Apple Puff Pastry Turnovers",1037
"frozen dessert","Single Serve Chocolate Satin Mini Pies",1004
"frozen dessert","Belgian Mini Cream Puffs",1003
"frozen dessert","Hershey's CrÃ¨me Pie with a Chocolate Cookie Crust",977
"frozen dessert","Custard Filled Mini Eclairs",947
"frozen dessert","Gluten Free Chewy Oatmeal Raisin Cookies",937
"frozen dessert","Lite Whipped Topping",926
"frozen dessert","Lemon Meringue Pie",921
