Aisles,Product,amountBought
"frozen juice","Smoothies, Strawberries Wild",5227
"frozen juice","Orange Juice with Calcium",3800
"frozen juice","Pitaya Dragonfruit Raw, Organic Smoothie Packs",3140
"frozen juice","Frozen Lemonade Concentrate",2893
"frozen juice","Organic Orange Juice Concentrate",2855
"frozen juice","All Natural Smoothies Razzmatazz",2818
"frozen juice","Real Pure Acai",2564
"frozen juice","Green Fusion Fruit & Veggie Smoothie Blend",2142
"frozen juice","Frozen Concentrated Original Orange Juice",2119
"frozen juice","Organic Cranberry Concentrate",2111
"frozen juice","Organic Frozen Concentrate Lemonade",1875
"frozen juice","Frozen Limeade Concentrate",1815
"frozen juice","Frozen Orange Juice",1460
"frozen juice","All Natural Smoothies Mango-a-go-go",1292
"frozen juice","Caribbean Passion All Natural Smoothies",1128
"frozen juice","Frozen Concentrated Pulp Free Orange Juice",964
"frozen juice","100% Apple Juice Concentrate",936
"frozen juice","Frozen Concentrated Orange Juice",902
"frozen juice","Apple Cherry Concentrate Frozen",679
"frozen juice","Premium Pink Lemonade Concentrate",649
"frozen juice","100% Grape Juice Concentrate",522
"frozen juice","Frozen Concentrated Raspberry Lemonade",471
"frozen juice","Frozen Concentrated Lemonade",468
"frozen juice","Premium Lemon Juice",350
"frozen juice","Blue Fusion Fruit & Veggie Smoothie",286
"frozen juice","Non-Alcoholic Margarita Mix",215
"frozen juice","Cherry Berry Blend",215
"frozen juice","Cranberry Cocktail from Concentrate",213
"frozen juice","Grape Juice Cocktail",190
"frozen juice","Apple Kiwi Strawberry Concentrate Frozen",177
"frozen juice","No Pulp Frozen Concentrated Orange Juice",146
"frozen juice","100% Juice Cranberry Blend Frozen Concentrate",143
"frozen juice","Orange Peach Mango Juice",128
"frozen juice","Orange Original Frozen Concentrate 100% Juice",125
"frozen juice","Frozen Apple Juice",112
"frozen juice","Paradise Punch Frozen Juice Concentrate",104
"frozen juice","Pink Lemonaide Frozen Concentrate",84
"frozen juice","Frozen Concentrated Orange Juice With Added Calcium",79
"frozen juice","Blended Juice Beverage, Mango Orange",60
"frozen juice","100% White Grape Juice Concentrate",56
"frozen juice","Orange Juice Concentrate",42
"frozen juice","Country Style Frozen Orange Juice Concentrate",42
"frozen juice","Tropical Fruit Smoothie Tasty American Favorites",36
"frozen juice","Strawberry Banana Smoothie Tasty American Favorites",23
"frozen juice","Frozen Concentrate Non-Alcoholic Strawberry Daiquiri",14
