Aisles,Product,amountBought
"frozen meals","Organic Brown Rice",144235
"frozen meals","Macaroni & Cheese",142483
"frozen meals","Organic Beans & Rice Cheddar Cheese Burrito",78256
"frozen meals","Pesto Tortellini  Bowls",73786
"frozen meals","Organic Jasmine Rice",60925
"frozen meals","Broccoli & Cheddar Bake Meal Bowl",60908
"frozen meals","Pad Thai",55582
"frozen meals","Butternut Squash Ravioli",49806
"frozen meals","Chicken Pot Pie",46817
"frozen meals","Organic Gluten Free Non-Dairy Beans & Rice Burrito",46270
"frozen meals","Kitchen Cheese Enchilada",43948
"frozen meals","Bean & Cheese Burrito",43771
"frozen meals","Light and Lean Quinoa Black Beans with Butternut Squash and Chard",37959
"frozen meals","Light & Lean Spinach Lasagna",37501
"frozen meals","Cheddar Cheese Burrito",36988
"frozen meals","Mexican Casserole Bowl",35778
"frozen meals","Cheese Ravioli with Sauce Bowls",35499
"frozen meals","Organic Chicken Pot Pie",34722
"frozen meals","Gluten Free Mushroom Risotto Bowl",33637
"frozen meals","Vegetable Lasagna",32332
"frozen meals","Black Bean Vegetables Burrito",32138
"frozen meals","World Cuisine Certified Halal Chicken Tikka Masala With Basmati Rice",30009
"frozen meals","Pizza Poppers Uncured Pepperoni",29471
"frozen meals","Cheese Enchilada Meal",29167
"frozen meals","Made With Organic Beans & Rice Burrito Non-Dairy",28849
"frozen meals","Gluten and Dairy Free Rice Macaroni and Cheeze",27596
"frozen meals","Fire Grilled Steak Bowl",27399
"frozen meals","Rice Mac & Cheese",27064
"frozen meals","Country Cheddar Bowl",26493
"frozen meals","Teriyaki Chicken Bowl",26029
"frozen meals","Light & Lean Pasta & Veggie Bowl",25416
"frozen meals","Indian Paneer Tikka",24965
"frozen meals","Light and Lean Macaroni and Cheese",24090
"frozen meals","Black Bean Tamale Verde",23900
"frozen meals","Light & Lean Spaghetti Italiano with Meatless Meatballs",23135
"frozen meals","Enchilada Black Bean Vegetable",22356
"frozen meals","Chicken Fried Rice",22243
"frozen meals","Truffle Parmesan Macaroni & Cheese Bowl",22106
"frozen meals","Brown Rice Black-Eyed Peas and Veggies Bowl",21813
"frozen meals","Chicken Pad Thai With Rice Noodles",21733
"frozen meals","Vegetable Pot Pie",21361
"frozen meals","Vegetable Fried Rice",20489
"frozen meals","Cilantro Lime Chicken Burrito",19791
"frozen meals","Shredded Beef Burrito",19541
"frozen meals","Cafe Cuisine Sesame Chicken",18967
"frozen meals","Macaroni and Cheese",18823
"frozen meals","Swedish Meatballs",18741
"frozen meals","Gluten Free & Dairy Free Thai Red Curry With Organic Jasmin Rice & Vegetables",18534
"frozen meals","Chicken Enchilada Bowl",18504
"frozen meals","Light & Lean Sweet & Sour Asian Noodle Pasta",18454
"frozen meals","Organic Beans And Cheese Burrito",18252
"frozen meals","Simple Favorites Lasagna with Meat Sauce",17527
"frozen meals","Shepherd's Pie",17410
"frozen meals","Chicken Bean and Rice Burrito",16886
"frozen meals","Indian Samosa Wrap",16882
"frozen meals","Enchilada with Spanish Rice & Beans Meal",16388
"frozen meals","Light & Lean Black Bean and Cheese Enchilada",16370
"frozen meals","Baked Cheese Ravioli",16134
"frozen meals","Organic Southwestern Burrito",15692
"frozen meals","Teriyaki Meal Bowls",15635
"frozen meals","Freshly made pasta in a Real Cheddar cheese sauce Macaroni & Cheese",15575
"frozen meals","Cheese Tamale Verde",15561
"frozen meals","Light and Lean 3 Cheese Penne Marinara",14816
"frozen meals","Spaghetti with Meat Sauce Pasta Meal",14509
"frozen meals","Gluten Free Paleo Fettuccine",14446
"frozen meals","Pupusas, Pinto Bean & Cheese",14301
"frozen meals","Bean, Rice and Cheddar Burrito",14286
"frozen meals","Indian Mattar Paneer",14179
"frozen meals","Simple Favorites Chicken Enchilada Suiza",13950
"frozen meals","Favorites Alfredo Pasta with Chicken & Broccoli",13734
"frozen meals","Chicken Biryani",13113
"frozen meals","Egg & Green Chile Burrito",13036
"frozen meals","Lasagna, Vegetable, with Daiya Cheeze",12954
"frozen meals","Turkey Pot Pie",12829
"frozen meals","Spinach Feta in a Pocket Sandwich",12635
"frozen meals","Uncrustables Peanut Butter & Strawberry Spread Sandwich",12508
"frozen meals","Elmo Mac 'n Cheese With Carrots & Broccoli",12345
"frozen meals","Meatloaf and Mashed Potatoes",12205
"frozen meals","Thai Green Curry",12013
"frozen meals","Spa Cuisine Butternut Squash Ravioli",11872
"frozen meals","Freshly made pasta, rich meat sauce and Real Mozzarella cheese Lasagna with Meat & Sauce",11806
"frozen meals","Simple Favorites Five Cheese Rigatoni",11681
"frozen meals","Dairy Free Vegetable Pot Pie",11653
"frozen meals","Orange Chicken",11614
"frozen meals","Family Size Lasagna With Meat & Sauce",11594
"frozen meals","Chicken Tikka Masala with Cumin Infused Basmati Rice Frozen Meal",11525
"frozen meals","Teriyaki & Pineapple Chicken Meatballs",11384
"frozen meals","Uncrustables Peanut Butter & Grape Jelly Sandwich",11314
"frozen meals","Pupusas, Black Bean & Sweet Corn",11116
"frozen meals","Gluten Free Paleo Gnocchi",10999
"frozen meals","Simple Favorites Chicken Fettuccini Frozen Entree",10913
"frozen meals","Reduced Fat Pepperoni Pizza Frozen Sandwiches",10689
"frozen meals","Gluten Free Garden Vegetable Lasagna",10643
"frozen meals","Gluten Free Smoked Gouda Mac and Cheese",10541
"frozen meals","Brown Rice & Vegetables Bowl",10420
"frozen meals","Organic Lasagna with Meat Sauce",10183
"frozen meals","Light in Sodium Black Bean Vegetable Enchilada Entree",10043
"frozen meals","Marketplace Vermont White Cheddar Mac & Cheese",9947
"frozen meals","Vegetable Lasagna Light In Sodium",9760
"frozen meals","Amy Indian Mattar Paneer Light In Sodium",9503
"frozen meals","Spinach Souffle",9463
"frozen meals","Fettuccine Alfredo",9199
"frozen meals","Palak (Saag) Paneer",9156
"frozen meals","Light Sodium Mexican Casserole Bowl",9097
"frozen meals","Lemongrass Basil Chicken With Jasmine Rice",8863
"frozen meals","Mild Heat Level Lamb Saag with Basmati Rice",8767
"frozen meals","The Peruvian Burrito",8719
