Aisles,Product,amountBought
"frozen meat seafood","Organic Chicken Strips",110707
"frozen meat seafood","Gluten-Free Chicken Nuggets",56899
"frozen meat seafood","Natural Chicken & Maple Breakfast Sausage Patty",51707
"frozen meat seafood","Gluten Free Chicken Breast Tenders",34167
"frozen meat seafood","Gluten Free Breaded Chicken Breast Tenders",27511
"frozen meat seafood","Baked Mini Beef Meatballs",25245
"frozen meat seafood","Breaded Fish Sticks",24361
"frozen meat seafood","Raw Shrimp",22172
"frozen meat seafood","Grilled & Ready Chicken Breast Strips",16041
"frozen meat seafood","Alaskan Salmon Burgers",15735
"frozen meat seafood","Lighty Breaded Fishies",13922
"frozen meat seafood","Bag of Large Lemons",12158
"frozen meat seafood","Tilapia Fillets",9796
"frozen meat seafood","Chicken Breast Nuggets, Dinosaur Shaped",8114
"frozen meat seafood","All Natural Boneless Skinless Chicken Breasts",7414
"frozen meat seafood","Grilled & Ready Chicken Breast Fillets",7272
"frozen meat seafood","Naturals Chicken Patties",6986
"frozen meat seafood","Chicken Breast Patties, 100% All Natural, Fully Cooked & Breaded",6831
"frozen meat seafood","Mini Crispy Crabless Cakes",5974
"frozen meat seafood","Coconut Breaded Chicken Breast Tenders",5951
"frozen meat seafood","Italian Style Meatballs",5832
"frozen meat seafood","Grilled & Ready Oven Roasted Diced Chicken Breast",5383
"frozen meat seafood","Cooked Shrimp",5272
"frozen meat seafood","Turkey Meatball Bites",4685
"frozen meat seafood","Homestyle Turkey Meatballs",4248
"frozen meat seafood","Crunchy Breaded Fish Fillets",3588
"frozen meat seafood","Chipotle Black Bean Burger",3550
"frozen meat seafood","Organic Chicken Breasts",3537
"frozen meat seafood","Simply Smart Gluten Free Breaded Chicken Breast Tenders",3534
"frozen meat seafood","Beer Battered Fish Fillets",3521
"frozen meat seafood","Breaded Chicken Breast",3012
"frozen meat seafood","Grilled Chicken Breasts",2961
"frozen meat seafood","Crispy Strips",2858
"frozen meat seafood","Value Pack Breast Nuggets",2776
"frozen meat seafood","Premium Cod Fish Sticks",2686
"frozen meat seafood","Classic Crunchy Fish Sticks",2669
"frozen meat seafood","Angus Cheeseburgers",2653
"frozen meat seafood","Original Turkey Burgers Smoke Flavor Added",2606
"frozen meat seafood","Meal Starters Grillers Crumbles",2576
"frozen meat seafood","Original Gluten Free 1/3 Lb Burgers",2542
"frozen meat seafood","Breaded Chicken Patties",2520
"frozen meat seafood","Fish Sticks Family Pack",2440
"frozen meat seafood","Panko Breaded Chicken Breast Tenderloins",2429
"frozen meat seafood","Batter Dipped Chicken Breast Tenders",2413
"frozen meat seafood","Jumbo Butterfly Shrimp",2377
"frozen meat seafood","Homestyle Meatballs",2318
"frozen meat seafood","Gluten Free Crispy Battered Cod",2307
"frozen meat seafood","Chicken & Cheese Burrito",2292
"frozen meat seafood","Honey Battered Breast Tenders",2144
"frozen meat seafood","Ground Turkey Chub",2075
"frozen meat seafood","Seasoned Turkey Burger",2062
"frozen meat seafood","Lean Turkey Kielbasa",1984
"frozen meat seafood","Chicken Breast Fillet",1883
"frozen meat seafood","All Natural Chicken Thighs",1842
"frozen meat seafood","The Ultimate Fish Stick",1783
"frozen meat seafood","Fully Cooked Batter Dipped Chicken Breast Tenders",1653
"frozen meat seafood","Bean & Cheddar Burrito",1652
"frozen meat seafood","Classic Grilled Salmon",1643
"frozen meat seafood","Crispy Battered Fish Portions Value Pack",1620
"frozen meat seafood","Chorizo Pork Sausage",1576
"frozen meat seafood","Classic Italian Style Meatballs",1573
"frozen meat seafood","Beef Chuck with Sweet Onions Burgers",1571
"frozen meat seafood","Lightly Breaded Panko Crusted Alaskan Pollock Fillets Fish Sticks",1550
"frozen meat seafood","Breaded Chicken Breast Tenders",1506
"frozen meat seafood","Angus Beef Meatballs",1490
"frozen meat seafood","Shrimp Scampi",1429
"frozen meat seafood","Chicken Orange",1390
"frozen meat seafood","Turkey Meatballs, Dinner Size, Flame Broiled",1345
"frozen meat seafood","Individually Wrapped Chicken Breast",1343
"frozen meat seafood","Lean Turkey Burgers",1294
"frozen meat seafood","Meatless and Soy Free Sausage Links",1269
"frozen meat seafood","Turkey Burgers",1224
"frozen meat seafood","Whole Grain Breaded Chicken Breast Chunks",1221
"frozen meat seafood","Mediterranean Crusted Salmon Fillets",1216
"frozen meat seafood","Kosher Chicken Breasts Boneless And Skinless",1201
"frozen meat seafood","Simply Bake Roasted Garlic & Butter Salmon Fillets",1191
"frozen meat seafood","Gluten Free Breaded Chicken Patties",1115
"frozen meat seafood","Imitation Crab Meat",1087
"frozen meat seafood","Rice Crusted Fish Fillets",1087
"frozen meat seafood","Original Hemp Burgers",1073
"frozen meat seafood","Butterfly Shrimp",1061
"frozen meat seafood","Chicken Fingers",1046
