Aisles,Product,amountBought
"frozen pizza","Organic Cheese Frozen Pizza",135845
"frozen pizza","Thin Crust Pepperoni Pizza",90107
"frozen pizza","Cheese Pizza",69998
"frozen pizza","Margherita Pizza",63212
"frozen pizza","Four Cheese Thin Crust Pizza",58184
"frozen pizza","Spinach Pizza",49542
"frozen pizza","Pizza 4 Cheese",43665
"frozen pizza","Thin Crust Margherita Pizza with Fresh Mozzarella & Basil",40918
"frozen pizza","Organic Mushroom & Olive Pizza",36717
"frozen pizza","Rising Crust Pepperoni Pizza",32017
"frozen pizza","Pizza Roasted Vegetable No Cheese",30239
"frozen pizza","Four Cheese Rising Crust Pizza",28102
"frozen pizza","Gluten Free Uncured Frozen Pepperoni Pizza",26573
"frozen pizza","Gluten Free Pizza Three Cheese",25482
"frozen pizza","Pesto Pizza",24434
"frozen pizza","Three Cheese Mini Pizza Bagels Frozen Snacks",21983
"frozen pizza","Single Serve Cheese Pizza",21461
"frozen pizza","Mediterranean Thin Crust Pizza",19662
"frozen pizza","Margherita With Cherry Tomatoes Pizza",17925
"frozen pizza","Gourmet Pizza Three Cheese Gluten Free",17678
"frozen pizza","Rising Crust Supreme (Sausage, Pepperoni, Red Peppers, Green Peppers, Onions, Black Olives) Frozen Pizza",15863
"frozen pizza","Vegan Margherita Pizza With Daiya Cheeze",15309
"frozen pizza","Uncured Pepperoni Mini Pizza Bagels Frozen Snacks",15128
"frozen pizza","Roasted Mushroom Pizza",14647
"frozen pizza","BBQ Chicken Crispy Thin Crust Pizza",14635
"frozen pizza","Original Thin Pepperoni Pizza",13915
"frozen pizza","Signature Pepperoni Crispy Thin Crust Pizza",13160
"frozen pizza","Pepperoni Pizza",12623
"frozen pizza","Pizzeria Style Classic Crust Pepperoni Pizza",12557
"frozen pizza","Craveables Pepperoni Pizza",11721
"frozen pizza","Original Pepperoni Pizza",11559
"frozen pizza","Mini 8"" Italian Pizza Crusts",10102
"frozen pizza","Original 5-Cheese Pizza",10078
"frozen pizza","Four Cheese Crispy Thin Crust Pizza",9935
"frozen pizza","Rising Crust Three Meat Pizza",9583
"frozen pizza","Pizza, Rice Crust, Cheese",9551
"frozen pizza","Cornmeal Crust 3 Cheese Pizza",9522
"frozen pizza","Thin & Crispy Crust Four Cheese Pizza",9404
"frozen pizza","Gluten Free Margherita Pizza",9377
"frozen pizza","French Bread Pizza Pepperoni",9335
"frozen pizza","Original Thin Cheese Pizza",9022
"frozen pizza","Craveables Four Cheese Pizza",9016
"frozen pizza","Combination Party Pizza",8666
"frozen pizza","Classic Crust Four Cheese Frozen Pizza",8190
"frozen pizza","Margherita Crispy Thin Crust Pizza",7651
