Aisles,Product,amountBought
"frozen produce",Blueberries,486355
"frozen produce","Organic Broccoli Florets",303838
"frozen produce","Organic Whole Strawberries",292258
"frozen produce","Frozen Organic Wild Blueberries",276438
"frozen produce","Pineapple Chunks",226072
"frozen produce","Organic Frozen Peas",209146
"frozen produce","Mango Chunks",167899
"frozen produce","Frozen Broccoli Florets",137478
"frozen produce","Berry Medley",129616
"frozen produce","Organic Chopped Spinach",117270
"frozen produce","Green Peas",115915
"frozen produce","Organic Frozen Mango Chunks",109400
"frozen produce","Organic Sliced Peaches",107845
"frozen produce","Organic Mixed Vegetables",100911
"frozen produce","Organic Edamame",86199
"frozen produce","Chopped Spinach",80314
"frozen produce","Whole Strawberries",77116
"frozen produce","Sweet Potatoes",73081
"frozen produce","Organic Cut Green Beans",71754
"frozen produce","Organic Mango Chunks",67906
"frozen produce","Organic Dark Sweet Cherries",66707
"frozen produce","Organic Berry Blend",62550
"frozen produce","Frozen Peaches",52585
"frozen produce","Edamame In Pod",47953
"frozen produce","Cut Green Beans",45254
"frozen produce","Organic Acai Berry Smoothie Packs",44799
"frozen produce","Petite Brussels Sprouts",44752
"frozen produce","Dark Sweet Cherries",34352
"frozen produce","Shelled Edamame",32581
"frozen produce","Organic Green Peas",31834
"frozen produce","Mixed Vegetables",31380
"frozen produce","Steamfresh Sweet Peas",30583
"frozen produce","Cut Okra",29328
"frozen produce","Green Peas No Salt Added",29263
"frozen produce","Organic Fire Roasted Corn",28632
"frozen produce","Steamfresh Premium Selects Broccoli Florets",27676
"frozen produce","Artichoke Hearts",27121
"frozen produce","Crushed Garlic",24927
"frozen produce","Vegetable Medley",24100
"frozen produce","Organic Original Acai Berry + Guarana Smoothie Packs",23578
"frozen produce","Steamfresh Super Sweet Corn",23473
"frozen produce","Fresh Frozen Wild Blueberries",22015
"frozen produce","Organic Sweet Peas",21500
"frozen produce","Pearl Onions",16841
"frozen produce","Broccoli Cuts",16351
"frozen produce","Sweet Peas",16007
"frozen produce","Frozen Blueberries",15753
"frozen produce","Organic Asparagus Spears",15135
"frozen produce","Black Eyed Peas",14853
"frozen produce","Of Maine Fresh Frozen Wild Blueberries",14095
"frozen produce","Frozen Organic Mango Chunks",14031
"frozen produce","Organic Berry Basket Blend",13699
"frozen produce","Petite Peas",13561
"frozen produce","Freeze Dried Strawberry Slices",13463
"frozen produce","Triple Berry Blend",12855
"frozen produce","Steamfresh Premium Selects Frozen Whole Green Beans",12843
"frozen produce","Shelled Soybeans Edamame",12601
"frozen produce","Organic Shiitaki Mushrooms",12280
"frozen produce","Steamers Broccoli & Cheese Sauce",11881
"frozen produce","Steamfresh Selects Frozen Broccoli, Cauliflower & Carrots",11654
"frozen produce","Classic Mixed Vegetables",11619
"frozen produce","Edamame Soybeans in Pods",11036
"frozen produce","Ultimate Petite Mixed Vegetables",10925
"frozen produce","Broccoli & Cauliflower",10842
"frozen produce","Organic Pomegranate Kernels",10698
"frozen produce","Sliced Peaches",10584
"frozen produce","Organic Triple Berry Blend",10081
"frozen produce","Steamers Antioxidant Vegetable Blend",9333
"frozen produce","Broccoli Florets, Organic",9218
"frozen produce","Organic Wild Blueberries",9096
"frozen produce","All Natural Whole Strawberries",8666
"frozen produce","Chopped Spinach Steamers",8653
"frozen produce","Sweet Garden Peas",8572
"frozen produce","Fresh Frozen Chopped Spinach",8216
"frozen produce","Mixed Berries Wildly Nutritious Signature Blends",8150
"frozen produce","Sweet Peas Valley Fresh Steamers",8113
"frozen produce","Organic Florets Broccoli",7941
"frozen produce","Frozen Whole Strawberries",7619
"frozen produce","Tropical Gold Chunks All Natural Pineapple",7589
"frozen produce","Broccoli Florets Steamers",7499
"frozen produce","Green Peas, Organic, Petite",7497
"frozen produce","Tri-Colored Sliced Carrots",7394
"frozen produce","Premium Organic Whole Kernel Sweet Corn",7205
"frozen produce","Organic Kale",7051
"frozen produce","Premium Selects Brussels Sprouts",6878
"frozen produce","Stir Fry Vegetables",6803
"frozen produce","Soybeans in Pods Edamame",6474
"frozen produce","Organic Cut Spinach",6353
"frozen produce","Chopped Basil",6246
"frozen produce","Crushed Ginger",6238
"frozen produce","Broccoli Carrots Sugar Snap Peas & Water Chestnuts",6187
"frozen produce","Organic Wedge Cut Oven Fries",6184
"frozen produce","Crinkle Cut Carrots",6162
"frozen produce","C&W Frozen Petite Sweet Corn",6119
"frozen produce","Steamers Baby Brussel Sprouts & Butter Sauce",6021
"frozen produce","Chopped Cilantro 20 Ct",5862
"frozen produce","Frozen Organic Dark Sweet Cherries",5851
"frozen produce","Steamfresh Edamame Pods Frozen Vegetables",5812
"frozen produce","Peas & Carrots",5600
"frozen produce","Frozen Unsweetened Whole Strawberries",5456
"frozen produce","Baby Vegetable Medley Steamers",5438
"frozen produce","Chopped Baby Spinach",5426
"frozen produce","Organic Sweet Potatoes",5183
"frozen produce","Banana Dippers Banana Slices",5084
"frozen produce","Cut Leaf Spinach",5025
"frozen produce","Classic Vegetables Whole  Kernel Corn",5013
"frozen produce","Organic Sweet Cherries",4917
