Aisles,Product,amountBought
"fruit vegetable snacks","Original Veggie Straws",181671
"fruit vegetable snacks","Organic Bunny Fruit Snacks Berry Patch",142893
"fruit vegetable snacks","Organic Summer Strawberry Bunny Fruit Snacks",130950
"fruit vegetable snacks","Apple Cinnamon GoGo Squeez",86713
"fruit vegetable snacks","Mixed Fruit Fruit Snacks",67300
"fruit vegetable snacks","Organic Bunny Fruit Tropical Treat Fruit Snacks",48453
"fruit vegetable snacks","Organic Apple Slices",47487
"fruit vegetable snacks","Organic Apple Banana GoGo Squeez",46035
"fruit vegetable snacks","Baked Caesar Snapea Crisps",40141
"fruit vegetable snacks","Strawberry Flavored Organic Z Fruit Rope",39163
"fruit vegetable snacks","Sea Salt Roasted Seaweed",38747
"fruit vegetable snacks","Annie Peely Fruit 4.5 Z",35159
"fruit vegetable snacks","Sesame Roasted Seaweed Snacks",30846
"fruit vegetable snacks",Chives,28603
"fruit vegetable snacks","Snacks Mango",26631
"fruit vegetable snacks","Annie's Bunny Fruit Snacks Variety",24507
"fruit vegetable snacks","Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit",19939
"fruit vegetable snacks","Kale Krunch The Original Quite Cheezy",19461
"fruit vegetable snacks","Crunchy Chickpeas Falafel",16096
"fruit vegetable snacks","Organic Really Peely Bendy Berry Fruit Tape",14917
"fruit vegetable snacks","Summer Strawberry Fruit Strip",14912
"fruit vegetable snacks","Berries 'n Cherries Fruit Snacks",14840
"fruit vegetable snacks","Variety Snack Pack",14686
"fruit vegetable snacks","Organic Bernie's Farm Fruit Snacks strawberry, raspberry, & orange",12889
"fruit vegetable snacks","Organic Banana Chips",12631
"fruit vegetable snacks","Fruit By the Foot Variety Pack",11905
"fruit vegetable snacks","Wasabi Peas",11847
"fruit vegetable snacks","Organic Sunny Citrus Bunny Fruit Snacks",11054
"fruit vegetable snacks","Mixed Fruit Snacks",10866
"fruit vegetable snacks","Organic Chewy Peanut Butter Banana Bites",10767
"fruit vegetable snacks","Veggie Cheese & Pretzel Snack Pac Prepacked",10687
"fruit vegetable snacks","Fruit Roll Ups Variety Fruit Flavored Snacks",10666
"fruit vegetable snacks","Bare Fruit Banana Chips",10562
"fruit vegetable snacks","Organic Black Beans Ready To Eat In Pouch",10274
"fruit vegetable snacks","Organic Apple Sauce + Fruit & Veggie Carroty Chop Mashups",9766
"fruit vegetable snacks","Ripened Raspberry Fruit Leather",9347
"fruit vegetable snacks","Chomperz Original Crunchy Seaweed Chips",9286
"fruit vegetable snacks","Organic Chickpeas Ready To Eat",8909
"fruit vegetable snacks","Roasted Seaweed Snack",8848
"fruit vegetable snacks","Ginger Snap Sprouted Cookies",8737
"fruit vegetable snacks","Roasted Seaweed Snacks Wasabi",8566
"fruit vegetable snacks","Banana Bites, Chewy, Organic Coconut",7672
"fruit vegetable snacks","Fruit Gushers Fruit Flavored Snacks Variety Pack",7496
"fruit vegetable snacks","Sundried Tomato Organic",7196
"fruit vegetable snacks","Organic Kale Krunch Superfood",7055
"fruit vegetable snacks","All-Natural Orchard Cherry Fruit Strip",6963
"fruit vegetable snacks","Garden Veggie Straws Sea Salt",6813
"fruit vegetable snacks","All-Natural Harvest Grape Fruit Strip",6786
"fruit vegetable snacks","Fruit Snacks",6559
"fruit vegetable snacks","Organic Grapes Galore Bunny Snacks",6517
"fruit vegetable snacks","Kool Ranch Kale Chips",6346
"fruit vegetable snacks","Organic Broccoli Sprouts",6279
"fruit vegetable snacks","Organic Pink Lemonade Bunny Fruit Snacks",5989
"fruit vegetable snacks","Sea Salt Crunchy Chickpeas",5843
"fruit vegetable snacks","VEGET TOMATO BASIL",5804
"fruit vegetable snacks","Island Mango Premium Fruit Snacks",5641
"fruit vegetable snacks","Organic Mountain Berry Spinach",5631
"fruit vegetable snacks","Stix Crispy Seaweed Strips Original",5570
"fruit vegetable snacks","Banana Chips",5527
"fruit vegetable snacks","Freeze Dried Apple & Mango Tiny Fruits",5357
"fruit vegetable snacks","Kids Mixed Berry Twisted Fruit",5079
"fruit vegetable snacks","Premium Mango Fruit Snack Pack",4977
"fruit vegetable snacks","Organic Mango Acai Fruit Leather, 12 Ct",4914
"fruit vegetable snacks","Power Snack Cacao Goji Superfood",4854
"fruit vegetable snacks","Organic Cherry Orchard Fruit Bites Pouches",4727
"fruit vegetable snacks","Sweet Spirulina Sprouted Bites",4697
"fruit vegetable snacks","Fruit By The Foot Berry Tie Dye Fruit Snacks",4655
"fruit vegetable snacks","Sea Salt Chickpeas",4585
"fruit vegetable snacks","Beet Chips",4531
"fruit vegetable snacks","All-Natural Autumn Apple  Fruit Strip",4529
"fruit vegetable snacks","Cinnamon Crunch Sunflower Seed Bites",4441
"fruit vegetable snacks","Protein Chewy Bar Peanut Butter Dark Chocolate Bars",4441
"fruit vegetable snacks","Abundant Apricot Fruit Strip",4368
"fruit vegetable snacks","Organic Mighty Sticks",4277
"fruit vegetable snacks","Organic Dried & Unsulfured Orchard Select Apples",4261
"fruit vegetable snacks","Zesty Nacho Kale Chips",4192
"fruit vegetable snacks","Organic Greens Vegetable Chips",4082
"fruit vegetable snacks","Organic Beets Veggie Chips",4076
"fruit vegetable snacks","Tropical Flavored Fruit Snacks",4026
"fruit vegetable snacks","Scooby-Doo! Fruit Flavored Snacks",4015
"fruit vegetable snacks","Organic Clover Sprouts",3971
"fruit vegetable snacks","Toasted Coconut Chips Caramel Sea Salt",3919
"fruit vegetable snacks","Original Cheezy Chipotle Kale Krunch",3896
"fruit vegetable snacks","Island Fruits Fruit Snacks",3875
"fruit vegetable snacks","Mighty Sticks Fruit and Veggie Snacks",3671
"fruit vegetable snacks","Organic Peas Please Garden Herb",3438
"fruit vegetable snacks","Tasty Brand Super Fruit Fruit Snacks",3352
"fruit vegetable snacks","Fruit Roll-Ups Strawberry Sensation Fruit Flavored Snacks",3329
"fruit vegetable snacks","Organic Spicy Kale Krunch Super Food",3328
"fruit vegetable snacks","Roasted Seaweed, Full Sheets, Sea Salt",3298
"fruit vegetable snacks","Tasty Brand Mixed Fruit Fruit Snacks",3097
"fruit vegetable snacks","Goji Berries, All Natural/Raw",3022
"fruit vegetable snacks","Dried Banana Chips",2953
"fruit vegetable snacks","Organic Peach Rings",2916
"fruit vegetable snacks","Chomperz BBQ Seaweed Snack",2855
"fruit vegetable snacks","Jalapeno Chomperz Crunchy Seaweed Chips",2820
"fruit vegetable snacks","Medleys Assorted Fruit Fruit Flavored Snacks",2784
"fruit vegetable snacks","Organic Roots Veggie Chips",2773
"fruit vegetable snacks","Variety Pack  Fruit Fusion Fruit Snacks",2615
"fruit vegetable snacks","Cheeze Louise! Vegan Broccoli Poppers",2606
"fruit vegetable snacks","Mango Apricot Fruit Snack",2569
"fruit vegetable snacks","Organic Sea Snax",2532
"fruit vegetable snacks","Strawberry Fruit Snacks",2512
"fruit vegetable snacks","Sea Salt Veggie Chips",2501
