Aisles,Product,amountBought
granola,"Ancient Grain Original Granola",62341
granola,"Vanilla Blueberry Clusters With Flax Seeds Granola",60668
granola,"Flax Plus Organic Pumpkin Flax Granola",50004
granola,"Healthy Grains Fiber Cinnamon Oat Clusters",45870
granola,"Peanut Butter Whole Grain Clusters",42762
granola,"Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free",41751
granola,"Oats & Honey Granola",35166
granola,"Maple Quinoa Cluster With Chia Seeds",32921
granola,"Ancient Grain Blueberry Hemp Granola",32380
granola,"Organic Love Crunch Granola Dark Chocolate & Red Berries",30532
granola,"Gluten Free Original Granola",29714
granola,"Vanilla Almond Fit Granola",27118
granola,"Fruit & Nutty Almonds Raisins Cranberries Pecans Granola",26253
granola,"Gluten Free Vanilla Granola",23202
granola,"Organic Hemp Plus Granola Cereal",22269
granola,"Gluten Free Honey Almond Granola",21452
granola,"Pumpkin Fig Ancient Grain Granola",20576
granola,"Ancient Grain Granola Cranberry Pecan",18976
granola,"Gluten Free Foods Granola",14521
granola,"Organic Gluten Free Summer Berries Granola",12948
granola,"Organic Love Crunch Dark Chocolate Macaroon Granola",12355
granola,"Organic Cinnamon Raisin Granola",11266
granola,"Simply Granola",9851
granola,"Classic Granola",9838
granola,"Organic Gracious Granola",9411
granola,"Oats and Honey Protein Crunchy Granola",9379
granola,"Organic Ancient Grains Granola",9242
granola,"Organic French Vanilla Almond Granola",8935
granola,"Organic Fruit and Nut Granola Cereal",8364
granola,"Original Cafe Mix Granola",7650
granola,"Soft Baked Granola",7109
granola,"Chocolate Chip Granola",6909
granola,"Sweet & Fruity Cranberry Granola",6903
granola,"Simply Granola Oats Honey Almond Cereal",6524
granola,"Grain Free Maple Granola",5920
granola,"Maple & Pecan Granola Gluten Free",5803
granola,"Organic Handmade Granola",5775
granola,"Chocolate Delight Granola",5564
granola,"Organic Peanut Butter Granola",5535
granola,"Original Paleo Krunch Granola",5392
granola,"Organic Love Crunch Granola Apple Crumble",5309
granola,"Gluten Free Nutty Cranberry Maple Granola",5014
granola,"Blueberry Almond Granola",4807
granola,"Organic Chia Sprouted Oat Vanilla Granola",4764
granola,"Honey Nut Dream Granola",4479
granola,"Almond Chia Granola Clusters",4389
granola,"Original Cinnamon Granola with Cranberries and Sunflower Seeds",3838
granola,"Paleo Granola",3731
granola,"Gluten Free Extreme Fruit & Nut Granola",3681
granola,"Cinnamon Raisin Granola",3518
granola,"Blueberry Pecan Mix Granola",3376
granola,"Cranberry Almond Granola  Gluten Free",3345
granola,"Fit Triple Berry Crunch Whole Grain Granola",3193
granola,"Chocolate Granola Cereal",3146
granola,"Organic Quinoa Cacao Sprouted Oat Granola",3097
granola,"Original Gourmet Granola",3069
granola,"Cherry Chocolate",2897
granola,"Granola, Original, Almond Pecan",2894
granola,"Ginger Snap Granola",2867
granola,"Granola, Original Honey",2805
granola,"Crunchy Honey Roasted Granola",2722
granola,"Toasted Artisan Mix Granola",2700
granola,"Maple Pecan Granola",2661
granola,"Fruit and Nut Granola",2652
granola,"Organic Recipe Granola",2642
granola,"Organic Maple Cinnamon Waffles",2634
granola,"Mexican Mix Granola",2573
granola,"Oats 'N Dark Chocolate Protein Granola",2530
granola,"Healthy Grains Low Fat Banana Nut Clusters",2508
granola,"Organic Black Chia Seeds",2467
granola,"Organic Whole Grain Granola",2424
granola,"Organic Maple Brown Sugar Granola",2327
granola,"Paleo Granola Cinnamon Crunch",2165
granola,"Organic Cinnamon Flax Sprouted Oat Granola",2083
granola,"Cranberry Nut Goodness Granola",2003
granola,"Original Granola",1970
granola,"Coco Crunch Sprouted Granola",1950
granola,"Maple Granola Cereal",1876
granola,"Organic Vanilla Almond Chia Vitality Granola Clusters",1658
granola,"Protein Cranberry Almond Crunchy Granola",1642
granola,"Berries & Cherries Paleo Granola",1624
granola,"Raisin Crunch Sprouted Granola",1591
granola,"Organic Honey Hemp Sprouted Oat Granola",1581
granola,"Paleo Granola Cranberry Lemon",1417
granola,"Strawberry Vanilla Splendor Granola",1407
granola,"Gluten-Free Rainforest Banana Nut Granola",1373
granola,"Cranberry Gourmet Granola",1325
granola,"Maple-icious Pecan Soft Baked Granola",1314
granola,"Chocolate Blend Granola",1278
granola,"Fruit & Cream Variety Pack Instant Oatmeal",1209
granola,"Hot Oats Apple Cinnamon",1119
granola,"Nut & Honey Snack Granola",1054
granola,"Giddy Up & Go Granola",992
granola,"Granola Crunch Oats 'N Honey",981
granola,"Granola Chocolate Elation",975
granola,"Organic Cherry, Chia, and Vanilla Granola",890
granola,"Blueberry Chia Buckwheat Muesli",866
granola,"Mountain Blend Granola",863
granola,"Apple Cinnamon Granola Clusters",848
granola,"Granola, Homestyle, Double Chocolate Chunk",830
granola,"French Vanilla Granola",780
granola,"Natural Atrisan Granola Original",772
granola,"Trifecta Blend Handmade Granola",745
granola,"Maple Pecan Granola Clusters",726
granola,"Chia Seed",662
