Aisles,Product,amountBought
"hair care","Moroccan Argan Oil + Argan Stem Cell Triple Moisture Conditioner",9293
"hair care","Shampoo, Body Wash, Bubble Bath Coconut+Lemon",7246
"hair care","Hair Shampoos",7119
"hair care","Classic Clean Anti-Dandruff Shampoo",4444
"hair care","Smooth as Silk Conditioner",4118
"hair care","Drink It Up Coconut Milk Natural Hawaiian Shampoo",4062
"hair care","Tea Tree Triple Treat Shampoo",3927
"hair care","Drink It Up Coconut Milk Conditioner",3923
"hair care","Lavender Conditioner",3915
"hair care","Clarifying Shampoo",3554
"hair care","Sweet Orange Vanilla Honest Conditioner",3443
"hair care","Smooth as Silk Shampoo",3354
"hair care","Honest Sweet Orange Vanilla Detangling Conditioner",3331
"hair care","Coconut Milk Nourishing Shampoo",3157
"hair care","Hair Conditioner",2998
"hair care","Luxurious Moisture for Dry or Damaged Hair Conditioner",2962
"hair care","Vitamin E Moisture Rich Shampoo for Dry or Damaged Hair",2811
"hair care","Extra Hold Aerosol Hair Spray",2692
"hair care","Coconut Milk Nourishing Conditioner",2658
"hair care","Fresh and Clean 2 in 1 Shampoo",2417
"hair care","Giovanni Avocado & Olive Oil Ultra-Moist Shampoo",2247
"hair care","Shampoo Nourishing Lavender",2217
"hair care","Moroccan Argan Oil Conditioner",2130
"hair care","Moisture Rich Shampoo",2124
"hair care","Tea Tree Scalp Treatment Shampoo",2102
"hair care","Shampoo, Hydrating Clarifying, for Normal to Dry Hair",2083
"hair care","Conditioner, Daily Nourishing",2083
"hair care","Daily Moisture Shampoo",2010
"hair care","Lavender Avocado Intensesive Conditioner",1876
"hair care","Eco Chic Technology Tea Tree Triple Treat Conditioner for All Hair Types",1851
"hair care","Moroccan Argan Oil Shampoo",1837
"hair care","Hair Conditioners",1806
"hair care","Argan Oil 100% USDA Organic Moroccan",1804
"hair care","Nourishing Lavender Conditioner",1803
"hair care","Anti-Breakage Conditioner",1783
"hair care","Hello Hydration Moisturizing Shampoo",1781
"hair care","Juicy Green Apple Shampoo",1760
"hair care","Hello Hydration Moisturizing Conditioner",1714
"hair care","Kids Apple 3 in 1 Shampoo + Conditioner + Body Wash",1701
"hair care","Teatree Mint Hydrating Shampoo",1700
"hair care","Daily Moisture Conditioner",1627
"hair care","Restorative Biotin Shampoo",1582
"hair care","For Frizzy, Dry, Unmanageable Hair Sleek & Shine Shampoo",1566
"hair care","Dry Scalp Shampoo with Almond Oil",1494
"hair care","Coconut Conditioner",1431
"hair care","Restorative Biotin Conditioner",1387
"hair care","2Chic Shampoo Brazilian Keratin & Argan Oil",1386
"hair care","Pro-V Repair and Protect Conditioner Repair Conditioner",1375
"hair care","Smooth & Silky Touchable Softness Shampoo",1349
"hair care","Ocean Charge Men's 2-in-1 Shampoo + Conditioner",1338
"hair care","Watermelon 3 in 1 Shampoo Conditioner and Body Wash",1332
"hair care","Fragrance Free Conditioner",1317
"hair care","Daily Deep Conditioner Triple MoistureÂ®",1313
"hair care","Repair & Protect Shampoo",1281
"hair care","Classic Clean 2-in-1 Shampoo",1280
"hair care","Pro-V Daily Moisture Renewal Conditioner",1277
"hair care","Dandruff Relief Shampoo + Conditioner",1257
"hair care","Extra Body Volumizing Shampoo",1250
"hair care","Daily Cleansing Herbal Shampoo",1238
"hair care","Clean Freak Refreshing Dry Shampoo",1190
"hair care","Lavender Rosemary Shampoo For Normal Hair",1180
"hair care","Volumizing Rosemary Shampoo",1144
"hair care","Intensive Repair Conditioner",1131
"hair care","Juicy Green Apple Conditioner",1131
"hair care","Pro-V Classic Clean Daily Shampoo",1125
"hair care","Extra Hold Aerosol Hairspray",1112
"hair care","Rosemary Mint Conditioner",1109
"hair care","Anti-Breakage Shampoo",1067
"hair care","Color Me Happy Colorsafe Shampoo",1051
"hair care","Teatree Mint Hydrating Conditioner",1044
"hair care","Smooth & Sleek Conditioner with Argan Oil",1039
"hair care","Moisture Rich Luxurious Moisture Conditioner",1027
"hair care","Moisturizing Conditioner Aloe Vera + Macadamia Oil",991
"hair care","50/50 Hydrating-Calming Balanced Conditioner",985
"hair care","Classic Clean Dandruff Shampoo",978
"hair care","Everyday Coconut Hydrating Conditioner",969
"hair care","Keratin Oil Anti-Breakage Conditioner",966
"hair care","Everyday Coconut Hydrating Shampoo",960
"hair care","Nourish+ Moisturize Conditioner",933
"hair care","Light Chestnut Brown 5N Permanent Hair Color",926
"hair care","Gardenia Smoothing Hawaiian Conditioner",922
"hair care","Lemon Shampoo Clarifying",916
"hair care","Nourish & Moisturize Shampoo",916
"hair care","Conditioner Pure Mint + Echinacea Stem Cell",915
"hair care","Classic Clean Daily Shampoo",883
"hair care","Brazillian Keratin Therapy Conditioner",871
"hair care","Argan & Sweet Orange Moisture Rich Shampoo",863
"hair care","Olive & Avocado Hair Masque",854
"hair care","Dandruff Relief Shampoo",834
"hair care","Colorific Plumeria Conditioner",832
"hair care","3 Minute Miracle Moist Deep Conditioning Treatment",818
"hair care","Body Envy Volumizing Shampoo",811
"hair care","Herbal Daily Cleanse Conditioner",794
"hair care","Color Revival Radiant Conditioner",785
"hair care","Keratin Smooth Conditioner",774
"hair care","Professional Men's 3 In 1 Citrus Rush Shampoo + Conditioner + Bodywash",769
"hair care","Smooth & Silky Conditioner",767
"hair care","T/Gel Therapeutic Shampoo Original Formula",765
"hair care","Pro-V Classic Clean Conditioner",748
"hair care","French Lavender Clarifying Shampoo",744
"hair care","Gardenia Hydrating Shampoo",734
"hair care","Avocado & Olive Oil Ultra-Moist Conditioner for Dry, Damaged Hair",732
"hair care","Keratin Smooth Shampoo",719
"hair care","Biotin & Collagen Shampoo",716
"hair care","L'OrealÂ® Paris Hair Expertise EverCreme Intense Nourishing Conditioner",714
"hair care","Mega Moist Conditioner",711
"hair care","DailyMoisture Renewal Shampoo",702
"hair care","Extra Hold Non-Aerosol Hair Spray",698
