Aisles,Product,amountBought
"honeys syrups nectars","Organic Mountain Forest Amber Honey",76286
"honeys syrups nectars","Original Syrup",42385
"honeys syrups nectars","Organic Light Agave Nectar",38939
"honeys syrups nectars","Organic Honey",19877
"honeys syrups nectars","Organic Mountain Forest Honey Light Amber",17185
"honeys syrups nectars","Organic Grade B Maple Syrup",16631
"honeys syrups nectars","Cereal Honey Bears",16158
"honeys syrups nectars","Organic Raw Agave Nectar",15091
"honeys syrups nectars","Organic Blue Agave",13896
"honeys syrups nectars","Organic Chocolate Syrup",12046
"honeys syrups nectars","Orange Blossom Honey",10885
"honeys syrups nectars","Light Organic Agave Nectar",10834
"honeys syrups nectars","Bear Clover Premium Honey",10745
"honeys syrups nectars","Pure Clover Honey",10228
"honeys syrups nectars","Original Lite Syrup",9682
"honeys syrups nectars","Organic Raw Honey",9639
"honeys syrups nectars","Organic Honey Grade A",9505
"honeys syrups nectars","Honey Grahams Graham Style Crackers",9383
"honeys syrups nectars","Organic Pancake Syrup",9241
"honeys syrups nectars","Clover Honey",9125
"honeys syrups nectars","Organic Very Raw Honey",8423
"honeys syrups nectars","Clover Premium Honey",7777
"honeys syrups nectars","Wildflower Honey",7522
"honeys syrups nectars","100% Pure Organic Maple Syrup Grade A",7164
"honeys syrups nectars","Organic Maple Syrup",7064
"honeys syrups nectars","Maple Syrup, Organic",6907
"honeys syrups nectars","Unsulphured Blackstrap Molasses",6613
"honeys syrups nectars","Organic 100% Pure Dark Amber Maple Syrup",6509
"honeys syrups nectars","Organic Stevia Sweetener",6164
"honeys syrups nectars","Sugar Free Maple Flavor Syrup",5884
"honeys syrups nectars","100% Pure Maple Syrup Grade A Dark Amber",5853
"honeys syrups nectars","Natural Butter Flavor Lite Maple Syrup",5595
"honeys syrups nectars",Honey,5475
"honeys syrups nectars","Pure Maple Syrup",5427
"honeys syrups nectars","100% Pure Maple Syrup",5406
"honeys syrups nectars","Pure Honey",5048
"honeys syrups nectars","Organic 100% Pure Honey",4742
"honeys syrups nectars","Pure Texas Wildflower Honey",4700
"honeys syrups nectars","Organic Grade A Raw Honey",4490
"honeys syrups nectars","Butter Rich Maple Syrup",4416
"honeys syrups nectars","Light Corn Syrup with Real Vanilla",4332
"honeys syrups nectars","Raw Local Wildflower Honey",4311
"honeys syrups nectars","Original Molasses",4262
"honeys syrups nectars","Organic Unsulphured Molasses",3786
"honeys syrups nectars","Organic Raw Blue Agave",3725
"honeys syrups nectars","Raw Manuka Honey",3711
"honeys syrups nectars","Pure Unfiltered Honey",3689
"honeys syrups nectars","Clover Honey Bear",3651
"honeys syrups nectars","Raw Honey, Organic",3595
"honeys syrups nectars","Sweet Dreams Organic Brown Rice Syrup",3529
"honeys syrups nectars","Organic Agave Nectar",3337
"honeys syrups nectars","100% Pure Grade A Dark Amber Maple Syrup",3327
"honeys syrups nectars","Clover Blossom Honey",3297
"honeys syrups nectars","Raw Wildflower Honey",3222
"honeys syrups nectars","Original Pancake Syrup",3172
"honeys syrups nectars","Organic Light Corn Syrup",3056
"honeys syrups nectars","Organic Grade A Dark Amber Maple Syrup",3040
"honeys syrups nectars","Organic Himalayan Raw White Honey",3034
"honeys syrups nectars","Pure Unfiltered Honey Squeeze Bear",2832
"honeys syrups nectars","Clover Honey Squeeze Bear",2818
"honeys syrups nectars","Raw Cocnut Nectar",2646
"honeys syrups nectars","Honey Manuka Raw Kfactor 16",2581
"honeys syrups nectars","Organic Maple Agave Pancake Syrup",2553
"honeys syrups nectars","Wild Forest Raw Neem Honey",2414
"honeys syrups nectars","Raw Honey",2362
"honeys syrups nectars","Pure Wildflower Raw Honey",2293
"honeys syrups nectars","Organic Amber Agave Nectar",2230
"honeys syrups nectars","Dark Chocolate Sauce",2202
"honeys syrups nectars","All Natural Table Syrup",2134
"honeys syrups nectars","Organic Black Molasses",2125
"honeys syrups nectars","Creamy Wildflower Honey",1991
"honeys syrups nectars","Raw Wild Natural Honey",1930
"honeys syrups nectars","Maple Syrup",1918
"honeys syrups nectars","Nesquik Chocolate Syrup",1894
"honeys syrups nectars","Maple 100% Pure Syrup",1825
"honeys syrups nectars","Sage Honey",1822
"honeys syrups nectars","Raw Manuka Honey Hi Active 15 Plus",1797
"honeys syrups nectars","Raw & Unfiltered Honey",1739
"honeys syrups nectars","Pomegranate Molasses",1716
"honeys syrups nectars","Apitherapy Raw Honey",1642
"honeys syrups nectars","Golden Blossom Honey 100% Pure U.S. Honey",1582
"honeys syrups nectars","Clover Honey, US Grade A",1555
"honeys syrups nectars","Sugar Free Low Calorie Syrup",1544
"honeys syrups nectars","Naturally Raw Honey",1486
"honeys syrups nectars","Honey, Pure",1482
"honeys syrups nectars","Pure Orange Blossom Honey",1460
"honeys syrups nectars","Honey Raw Texas Wildflower",1448
"honeys syrups nectars","Organic Light Blue Agave",1440
"honeys syrups nectars","Dark Corn Syrup",1428
"honeys syrups nectars","Coastal California Wildflower Honey",1406
"honeys syrups nectars","Sweet Dreams Brown Rice Syrup",1387
"honeys syrups nectars","Texas Brand Pure Raw Unfiltered Wildflower Honey",1285
"honeys syrups nectars","Manuka Honey Bio Active 5+",1274
"honeys syrups nectars","Himalayan Raw Acacia Honey",1183
"honeys syrups nectars","Pure Organic  Wildflower Honey",1153
"honeys syrups nectars","Clover Honey Squeeze Bottle",1109
"honeys syrups nectars","Organic Agave Five Calorie Sweetener",1100
"honeys syrups nectars","Sugar-Free Maple-Flavored Syrup",1060
"honeys syrups nectars","Organic Molasses Unsulphured",1031
"honeys syrups nectars","Maple Premium Syrup",1012
"honeys syrups nectars","100% Strawberry Fruit Strip",1002
"honeys syrups nectars","100% Pure U.S. Honey",996
"honeys syrups nectars","Pure Clover Honey Squeeze Bear",983
"honeys syrups nectars","Lite Reduced Calorie Syrup",979
"honeys syrups nectars","Stevia Extract Liquid Sweetener",967
"honeys syrups nectars","French Vanilla Syrup",952
"honeys syrups nectars","The Mission Raw Honey",927
"honeys syrups nectars","100% Pure Dark Amber Maple Syrup",902
"honeys syrups nectars","Syrup, Maine Maple",897
