Aisles,Product,amountBought
"hot cereal pancake mixes","Organic Old Fashioned Rolled Oats",192334
"hot cereal pancake mixes","Organic Quick Oats",93853
"hot cereal pancake mixes","Original Instant Oatmeal",55329
"hot cereal pancake mixes","Apple Cinnamon Instant Oatmeal",54352
"hot cereal pancake mixes","Instant Oatmeal Variety Pack",51339
"hot cereal pancake mixes","Gluten Free Old Fashioned Rolled Oats",51103
"hot cereal pancake mixes","Steel Cut Oats",48036
"hot cereal pancake mixes","Old Fashioned Rolled Oats",45802
"hot cereal pancake mixes","Instant Oatmeal Maple & Brown Sugar",27438
"hot cereal pancake mixes","Quick 1 Minute Oatmeal",23636
"hot cereal pancake mixes","Quick Cooking Rolled Oats Irish Oatmeal",23422
"hot cereal pancake mixes","Steel Cut Irish Oatmeal",22646
"hot cereal pancake mixes","Natural Buttermilk Pancake & Waffle Mix",21978
"hot cereal pancake mixes","Gluten Free Quick Cooking Oats",20422
"hot cereal pancake mixes","Buttermilk Complete Pancake & Waffle Mix",20336
"hot cereal pancake mixes","Brown Sugar Maple Oatmeal with Ancient Grains",19754
"hot cereal pancake mixes","Lower Sugar Instant Oatmeal  Variety",18912
"hot cereal pancake mixes","Organic Original Hot Oatmeal",18483
"hot cereal pancake mixes","Old Country Style Muesli Cereal",18372
"hot cereal pancake mixes","Flavor Variety Instant Oatmeal",17750
"hot cereal pancake mixes","Cinnamon & Spice Instant Oatmeal",17124
"hot cereal pancake mixes","Original Flavor Instant Oatmeal",16142
"hot cereal pancake mixes","Organic Steel Cut Oats",14901
"hot cereal pancake mixes","Quick 1 Minute Whole Grain Oats",14380
"hot cereal pancake mixes","Apples & Cinnamon Instant Oatmeal",14187
"hot cereal pancake mixes","Lower Sugar Maple & Brown Sugar Instant Oatmeal",13794
"hot cereal pancake mixes","Flax Plus Hot Oatmeal",13588
"hot cereal pancake mixes","Organic Quick Cooking Rolled Oats",13564
"hot cereal pancake mixes","Gluten Free Homestyle Hot Oatmeal",13306
"hot cereal pancake mixes","Original Pancake and Baking Mix",12485
"hot cereal pancake mixes","Gluten-Free Pancake Mix",12028
"hot cereal pancake mixes","Organic Extra Thick Rolled Oats",10931
"hot cereal pancake mixes","Hot Oatmeal Variety Pack",10819
"hot cereal pancake mixes","Gluten Free Baking and Pancake Mix",10327
"hot cereal pancake mixes","Multigrain Pancake & Waffle Mix",10113
"hot cereal pancake mixes","Gluten Free Steel Cut Oats",10092
"hot cereal pancake mixes","Old Fashioned Oatmeal",10086
"hot cereal pancake mixes","Original Pancake & Waffle Mix",9572
"hot cereal pancake mixes","Paleo Pancake & Waffle Mix",9331
"hot cereal pancake mixes","Organic Buckwheat Pancake & Waffle Mix",8780
"hot cereal pancake mixes","Quick & Easy Steel Cut Irish Oatmeal",8556
"hot cereal pancake mixes","Gluten Free Baking & Packing Mix",8366
"hot cereal pancake mixes","Organic Gluten Free Pancake & Baking Mix",7919
"hot cereal pancake mixes","Extra Thick Whole Grain Rolled Oats",7562
"hot cereal pancake mixes","Fruit & Cream Variety Pack",7236
"hot cereal pancake mixes","Apple Cinnamon Hot Oatmeal",6647
"hot cereal pancake mixes","Classic Pancakes",6493
"hot cereal pancake mixes","Dino Eggs Instant Oatmeal",6443
"hot cereal pancake mixes","Gluten Free Oatmeal, Variety Pack",6413
"hot cereal pancake mixes","Buttermilk Complete Pancake Mix",6376
"hot cereal pancake mixes","Corn Grits",6271
