Aisles,Product,amountBought
"ice cream ice","Chocolate Ice Cream",109646
"ice cream ice","Vanilla Ice Cream",107619
"ice cream ice","Mediterranean Mint Gelato",69987
"ice cream ice","Ice Cream Sandwiches Vanilla",65298
"ice cream ice","Sea Salt Caramel Gelato",64925
"ice cream ice","Organic Vanilla Bean Ice Cream",59301
"ice cream ice","Americone DreamÂ® Ice Cream",53661
"ice cream ice","Half BakedÂ® Ice Cream",52670
"ice cream ice","Caramel Cookie Crunch Gelato",50998
"ice cream ice","Strawberry Ice Cream",50619
"ice cream ice","Tahitian Vanilla Bean Gelato",49952
"ice cream ice","Natural Vanilla Ice Cream",44616
"ice cream ice","Milk and Cookies Ice Cream",44563
"ice cream ice","Watermelon Agave Frozen Pops",43539
"ice cream ice","Mint Chip",42108
"ice cream ice","Vanilla Bean Ice Cream",41316
"ice cream ice","Chocolate Peanut Butter Cup Gelato",40301
"ice cream ice","Birthday Cake Light Ice Cream",38960
"ice cream ice","Cherry Garcia Ice Cream",37899
"ice cream ice","Strawberry Lemonade Frozen Pops",37100
"ice cream ice","Vanilla Milk Chocolate Almond Ice Cream Bars",33863
"ice cream ice","Mint Chocolate Chip Ice Cream",33004
"ice cream ice","Vanilla Bean Light Ice Cream",32432
"ice cream ice","Sorbet Pops Strawberry",31688
"ice cream ice","Coconut Almond Minis Frozen Dessert Bars",31222
"ice cream ice","Talenti Double Dark Chocolate Gelato",30999
"ice cream ice","Coffee Ice Cream",30479
"ice cream ice","Roman Raspberry Sorbetto",30071
"ice cream ice","Coconut Fruit Bars",29472
"ice cream ice","Organic Ice Cream Vanilla Bean",29082
"ice cream ice","Sicilian Pistachio",27355
"ice cream ice","Coconut Milk Vanilla Mini Sandwiches",26973
"ice cream ice","Phish FoodÂ® Ice Cream",26502
"ice cream ice","Chocolate Peanut Butter Ice Cream",26499
"ice cream ice","Vanilla Ice Cream Sandwich",26344
"ice cream ice","The Tonight Doughâ„¢ Ice Cream",25327
"ice cream ice","Half Baked Frozen Yogurt",25097
"ice cream ice","French Vanilla Ice Cream",23441
"ice cream ice","Mango Sorbet",23416
"ice cream ice","Mango Sorbet Pops",22379
"ice cream ice","S'mores Chocolate Ice Cream",22336
"ice cream ice","Ice Bag",22254
"ice cream ice","Mocha Almond Fudge Minis Almond Milk Frozen Dessert",21322
"ice cream ice","Lemon Cake Ice Cream",19969
"ice cream ice","Chocolate Fudge Brownie Ice Cream",19555
"ice cream ice","Chocolate Milk Frozen Pops",19433
