Aisles,Product,amountBought
"ice cream toppings","Genuine Chocolate Flavor Syrup",21680
"ice cream toppings","Organic Chocolate Flavored Syrup",11021
"ice cream toppings","Organic Ice Cream Cones",10183
"ice cream toppings","Organic Sugar Ice Cream Cones",9829
"ice cream toppings","Merry Maraschino Pitted Cherries",5515
"ice cream toppings","Chocolate Syrup",5300
"ice cream toppings","Hot Fudge Topping",4703
"ice cream toppings","Sugar Cones",4563
"ice cream toppings","Gluten Free Sugar Cones",3468
"ice cream toppings","Gluten Free Ice Cream Cones",3387
"ice cream toppings","Ice Cream Cups",2664
"ice cream toppings","Waffle Cones",2380
"ice cream toppings","Caramel Syrup",1955
"ice cream toppings","Caramel Flavored Topping",1750
"ice cream toppings","Caramel Flavored Sundae Syrup",1555
"ice cream toppings","Strawberry Syrup",1508
"ice cream toppings","Caramel Sauce",1383
"ice cream toppings","Lite Chocolate Syrup",1351
"ice cream toppings","Sugar Free Chocolate Syrup",1290
"ice cream toppings","Magic Shell Chocolate",1108
"ice cream toppings","Magic Shell Chocolate Fudge",1090
"ice cream toppings","Syrup Special Dark",1026
"ice cream toppings","Waffle Bowls",990
"ice cream toppings","Killer Chocolate Sauce",840
"ice cream toppings","Sprinkles, Rainbow Nonpareils",811
"ice cream toppings","Classic Caramel Sauce",780
"ice cream toppings","Simple Delight Salted Caramel Topping",643
"ice cream toppings","Sundae Syrup Chocolate Flavored, No Mess Cap",631
"ice cream toppings","Chocolate Flavored Syrup",627
"ice cream toppings","Hot Caramel Topping",616
"ice cream toppings","Butterscotch Caramel Topping",556
"ice cream toppings","Syrup, Boysenberry",531
"ice cream toppings","Chocolate Flavor Plus Calcium Syrup",517
"ice cream toppings","Classic Caramel Sundae Syrup",496
"ice cream toppings","Simple 5 Syrup",449
"ice cream toppings","Chocolate Caramel Flavored Sauce",440
"ice cream toppings","Chocolate Shell Topping",406
"ice cream toppings","Butterscotch Flavored Topping",379
"ice cream toppings","Ice Cream Toppers Nut Topping",371
"ice cream toppings","Organic Caramel Sauce",365
"ice cream toppings","Chocolate Sauce",330
"ice cream toppings","Chocolate & Peanut Butter Shell Topping",328
"ice cream toppings","Classic Waffle Cones",293
"ice cream toppings","Salted Caramel",285
"ice cream toppings","Sugar Free Caramel Sundae Syrup",285
"ice cream toppings","Ultimate Chocolate Sauce",272
"ice cream toppings","Simple Delight Hot Fudge Topping",268
"ice cream toppings","Dessert Topping, Indulgent Caramel",267
"ice cream toppings","Nature's Maraschino Cherries",253
"ice cream toppings","Calorie Free Chocolate Syrup",226
"ice cream toppings","Bourbon Caramel Sauce",218
"ice cream toppings","Mint Chocolate Flavored Syrup",217
"ice cream toppings","Sprinkles, Rainbow",214
"ice cream toppings","Oh, Fudge!",208
"ice cream toppings","Bordeaux Maraschino Cherries",193
"ice cream toppings","Strawberry Toppings,",191
"ice cream toppings","Caramel Flavored Ice Cream Sauce",181
"ice cream toppings","Marshmallow Toppings",158
"ice cream toppings","Sea Salt Caramel Sauce",146
"ice cream toppings","Organic Strawberry Sauce",136
"ice cream toppings","Chocolate Fudge Topping",129
"ice cream toppings","Maraschino Cherries With Stems",120
"ice cream toppings","Pineapple Topping",112
"ice cream toppings","Turtle Sundae Mix",110
"ice cream toppings","Sugar Free Hot Fudge Topping",104
"ice cream toppings","Jumbo Ice Cream Cup Cones",95
"ice cream toppings","Michael Recchiuti Extra Bitter Chocolate Sauce",91
"ice cream toppings","Jumbo Cups",87
"ice cream toppings","Double Chocolate Sundae Dream Syrup",85
"ice cream toppings","Dulce De Leche Sauce",79
"ice cream toppings","Sugar Free Chocolate Flavored Sundae Syrup, No Mess Cap!",78
"ice cream toppings","Magic Shell Caramel Flavored Topping",66
"ice cream toppings","Coffee Caramel Sauce",65
"ice cream toppings","Hot Dark Chocolate Topping",64
"ice cream toppings","All Natural Chocolate Syrup",62
"ice cream toppings","White Chocolate Sauce",62
"ice cream toppings","Hot Fudge Ice Cream Sauce",59
"ice cream toppings","Michael Recchiuti Burnt Caramel Sauce",59
"ice cream toppings","Dark Chocolate Ice Cream Topping",53
"ice cream toppings","Caramel Dip",50
"ice cream toppings","Butterscotch Ice Cream Topping",22
"ice cream toppings","Gluten Free Caramel Sauce Dessert Topping",14
"ice cream toppings","The Ultimate Caramel Suace",5
