Aisles,Product,amountBought
"juice nectars","Pure Coconut Water",145843
"juice nectars","Organic Apple Juice",95830
"juice nectars","Natural Premium Coconut Water",88090
"juice nectars","Orange Calcium & Vitamin D Pulp Free",82548
"juice nectars","Organic Lemonade",69136
"juice nectars","Organic Orange Juice",64662
"juice nectars","Organic Super Fruit Punch Juice Drink",58657
"juice nectars","Organic Apple Juice Boxes",53967
"juice nectars","Coconut Water",47959
"juice nectars","Goodness Grapeness Organic Juice Drink",47603
"juice nectars","100% Apple Juice",46221
"juice nectars","Berry Berry Good Lemonade Organic Juice Drink",43780
"juice nectars","Organic Orange Fruit Juice",42198
"juice nectars","100% Pure Apple Juice",41722
"juice nectars","Sparkling Blackberry Juice",41341
"juice nectars","Appley Ever After Organic Juice Drink",39495
"juice nectars","100% Lemon Juice",37949
"juice nectars","Cranberry Juice Cocktail",36369
"juice nectars","100% Cranberry Juice",36116
"juice nectars","Ruby Red Grapefruit Juice",35549
"juice nectars","Pure Lemon Juice",32327
"juice nectars","Country Stand Juice, Medium Pulp",30716
"juice nectars","Organic Sensible Sipper Apple Juice",23744
"juice nectars","Coconut Water, Pure Organic",23376
"juice nectars","Organic Strawberry Lemonade",22715
"juice nectars","100% Pomegranate Juice",22098
"juice nectars","Organic Cranberry Pomegranate Juice",21737
"juice nectars","100% Pineapple Juice",21594
"juice nectars","Original Apple 100% Juice",20496
"juice nectars","Pure Organic Pineapple Juice",20205
"juice nectars","100% Lime Juice",19393
"juice nectars","Real Coconut Water",19024
"juice nectars","Sparkling Apple Juice",17965
"juice nectars","Organic Pear Juice",16060
"juice nectars","Unsweetened Coconut Water",15708
"juice nectars","Organic Pure Lime Juice",15408
"juice nectars","Tangerine Juice",15259
"juice nectars","Pineapple Coconut Water",15168
"juice nectars","Cold-Pressed Organic Grapefruit",14335
"juice nectars","Fruit Punch Juice Drink",12324
"juice nectars","100% Pure Organic Apple Juice",12189
"juice nectars","Strawberry Lemonade",12115
"juice nectars","Pacific Cooler Juice Drink",11555
"juice nectars","Tropical Tango Punch Organic Juice Drink",11523
"juice nectars","Organics Big Bird's Apple 100% Juice",11424
"juice nectars","Strawberry Banana Flavored 4 Juice Smoothie Blend",11226
"juice nectars","Strawberry Protein Shake",11220
"juice nectars","Organic Variety Pack",11153
"juice nectars","100% Juice Apple Juice",11150
"juice nectars","Pomegranate Juice",10770
"juice nectars","Pomegranate Italian Soda",10758
