Aisles,Product,amountBought
"kosher foods","Lightly Breaded Fish Sticks",15121
"kosher foods","Gluten Free Matzo-Style Squares",8278
"kosher foods","MATZO BALL MIX",5395
"kosher foods","Bamba Peanut Snack",4974
"kosher foods","Matzoh Ball Soup",4077
"kosher foods","Swiss Cheese",3904
"kosher foods","Juice Grape 100% Pure",3447
"kosher foods","Fine Premium Enriched Egg Noodles",3299
"kosher foods","Egg Matzos",2822
"kosher foods",Matzos,2792
"kosher foods","Strawberry Streusel Bars",2636
"kosher foods","Cheese, Muenster",2380
"kosher foods","Matzo Ball & Soup Mix",2377
"kosher foods","Gluten Free Matzo Style Squares",2147
"kosher foods","Wide Noodles",2140
"kosher foods","Cheese Filled Blintzes Crepes",2021
"kosher foods","Freshly Grated Parmesan",1584
"kosher foods","STREITS QN01 LIGHTLY SLTD MTZO 11Z",1470
"kosher foods","Vinegar, Balsamic, of Modena",1370
"kosher foods","Gluten Free Israeli Couscous",1348
"kosher foods","Mediterranean Medium Size Pickles in Brine",1302
"kosher foods","Matzo Meal, Unsalted",1263
"kosher foods","Pizza Bagels",1247
"kosher foods","Low Sodium Medium Premium Enriched Egg Noodles",1203
"kosher foods","Egg & Onion Matzos",1152
"kosher foods",Consomme,976
"kosher foods","Cheese, Pepper Jack",899
"kosher foods","Matzo Meal",863
"kosher foods","Fish Fillets",856
"kosher foods","Vanilla Flavor Tea Biscuits",814
"kosher foods","Duck Sauce, Sweet & Sour, Cantonese",726
"kosher foods","Bissli BBQ Snack",701
"kosher foods","Blueberry Blintzes Filled Crepes",628
"kosher foods","Falafel Mix Mediterranean Style",628
"kosher foods","Gluten Free Matzo Ball & Soup Mix",605
"kosher foods","Zucchini Pancakes",554
"kosher foods","Gluten Free Matzo Ball Soup Mix",544
"kosher foods","100% Whole Wheat No Salt Added Matzos",539
"kosher foods","Kosher Recipe Secrets Noodle Soup - 2 CT",536
"kosher foods","Low Sodium Kluski Premium Enriched Egg Noodles",531
"kosher foods","Soup Mix, Split Pea, with Seasonings",528
"kosher foods","Round Cake Pan 9"",10,17
24323,Express Everyday Comfort Contact Lens Solution,44,11
24324,Vitamin B-12 1000 mcg,47,11
24325,Noir Orange Liqueur & Cognac,124,5
24326,Kit Kat King Size,45,19
24327,Raspberry Preserve,88,13
24328,Artichoke Spread,67,20
24329,",509
"kosher foods","Beef Knockwurst",507
"kosher foods","Vegetable with Mushrooms Soup Mix",496
"kosher foods","Kosher Red Apple Havarti Shingles",443
