Aisles,Product,amountBought
"latino foods","Taco Seasoning",102054
"latino foods","New Mexico Taco Skillet Sauce For Chicken",50842
"latino foods","Organic Spicy Taco Seasoning",37020
"latino foods","Red Chile Enchilada Sauce",31391
"latino foods","Stand 'n Stuff Taco Shells",23377
"latino foods","Fajita Seasoning",21949
"latino foods","Green Chile Enchilada Sauce",19926
"latino foods","Organic Southwest Taco Seasoning",19415
"latino foods","Mild Red Enchilada Sauce",18916
"latino foods","Yellow Corn Taco Shells",18625
"latino foods","Verde Salsa",18076
"latino foods","Diced Hot Green Chiles",18035
"latino foods","Garbanzo Beans No Salt Added",17584
"latino foods","Chipotle In Adobo Sauce Peppers",15148
"latino foods","Mexican Style Hominy",14329
"latino foods","Crunchy Taco Shells",13233
"latino foods","Nacho Sliced Jalapenos",12855
"latino foods","Yellow Corn Taco Shells - 12 CT",12497
"latino foods","Classic Fajita Skillet Sauce with Chipotle and Lime",12211
"latino foods","Chilpotle Peppers in Adobo Sauce",12205
"latino foods","Chipotle Pepprs in Adobo Sauce",12091
"latino foods","Mild Green Chile Enchilada Sauce",11448
"latino foods","Yellow Corn Taco Dinner Kit",10699
"latino foods","Medium Red Enchilada Sauce",10537
"latino foods","Blue Corn Taco Dinner Kit",10334
"latino foods","Southwest Taco Seasoning Mix",9007
"latino foods","Chopped Green Chiles",8456
"latino foods","Mild Enchilada Sauce",7985
"latino foods","Key Lime Cilantro Taco Skillet Sauce with Roasted Tomatillo & green Chile",7695
"latino foods","Organic Yellow Corn Taco Shells 12 Count",7558
"latino foods","Medium Green Chile Enchilada Sauce",7555
"latino foods","Chipotle Peppers In Adobo Sauce",7024
"latino foods","Red Mild Enchilada Sauce",6908
"latino foods","Stand 'N Stuff Taco Dinner",6804
"latino foods","Mild Fire Roasted Diced Green Chiles",6627
"latino foods","Chilpotles in Adobo Sauce",6524
"latino foods","Gluten Free Organic Taco Sliders Corn Tortillas",6392
"latino foods","Gluten Free Mild Whole Green Chiles",6301
"latino foods","Hard & Soft Taco Dinner Kit",6171
"latino foods","Original Mild Taco Sauce",5623
"latino foods","Refried Beans Vegetarian",4904
"latino foods","Green Chiles, Diced, Fire Roasted, Mild",4825
"latino foods","Black Bean Bonanza Tamales",4761
"latino foods","Medium Chipotle Garlic Taco Skillet Sauce",4145
"latino foods","Fat-Free Refried Beans",3832
"latino foods","Whole Grain Corn Taco Shells",3484
"latino foods","Blue Corn Taco Shells - 12 CT",3419
"latino foods","White Corn Taco Shells",3329
"latino foods","Oaxacan Red Chile Mole Simmer Sauce",3060
