Aisles,Product,amountBought
laundry,"Free & Clear Natural Laundry Detergent For Sensitive Skin",49653
laundry,"Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender",41179
laundry,"Natural Laundry Detergent, Free & Clear 33",25261
laundry,"Free and Gentle High Efficiency Liquid Laundry Detergent",19344
laundry,"Regular Concentrated Bleach",17056
laundry,"Free & Clear Bleach",17008
laundry,"Original High Efficiency Liquid Laundry Detergent",16343
laundry,"Laundry Detergent Free & Clear",16181
laundry,"Free and Gentle Liquid Laundry Detergent",13196
laundry,"Lavender Scent Laundry Detergent",12578
laundry,"4X Ultra Concentrated Natural Laundry Detergent, Free & Clear",11695
laundry,"Lavender Fabric Softening Dryer Sheets",11057
laundry,"Blue Eucalyptus & Lavender Natural Laundry Detergent",10603
laundry,"Clean Day Fabric Softener Lavender Scent",10227
laundry,"Bleach Splash-Less",9854
laundry,"Free and Clear Natural Liquid Laundry Detergent",9817
laundry,"Liquid Laundry Detergent, Original scent",9038
laundry,"April Fresh Liquid Fabric Softener",8790
laundry,"Concentrated Bleach, Regular",8464
laundry,"Triple-Acting Laundry Stain Remover",8206
laundry,"Original Scent HE Laundry Detergent",8190
laundry,"Laundry Detergent, HE, 2X Ultra, with Fabric Softener, Lavender",8161
laundry,"Versatile Stain Remover",7879
laundry,"Laundry Stain Remover Spray",7603
laundry,"Versatile Stain Remover 65 Loads",7419
laundry,"Lavender Dryer Sheets",7014
laundry,"Fabric Softener Dryer Sheet Outdoor Fresh 160CT Fabric Enhancers",6586
laundry,"Stage 1 Newborn Hypoallergenic Liquid Detergent",6371
laundry,"Lemon Verbena Laundry Detergent",6296
laundry,"Ultra  April Fresh Scent Liquid Fabric Softener",6281
laundry,"Original Liquid Laundry Detergent",6030
laundry,"Free & Gentle Fabric Softener Dryer Sheets",5808
laundry,"Fresh Scent Laundry Detergent",5779
laundry,"With Stainlifters Free Clear 94 Loads Laundry Detergent",5589
laundry,"Max Force Laundry Stain Remover",5560
laundry,"HE Liquid Laundry Detergent, Original scent",5406
laundry,"Fabric Softener Sheets",5331
laundry,"Fabric Softener Sheets, Outdoor Fresh scent",5206
laundry,"Ultra DownyÂ® Clean Breezeâ„¢ Liquid Fabric Conditioner 51 Fl oz. 60 loads Fabric Enhancers",5133
laundry,"Natural Stain Remover",5107
laundry,"Ultra Downy Free & Gentle Liquid Fabric Conditioner 51 FL oz. Fabric Enhancers",5040
laundry,"Unscented Liquid Laundry Detergent",4862
laundry,"Original Detergent",4860
laundry,"Fabric Softener Dryer Sheet Outdoor Fresh 240CT Fabric Enhancers",4703
laundry,"Original HE Liquid Laundry Detergent",4483
laundry,"Plus A Touch of Downy April Fresh Liquid Laundry Detergent",4318
laundry,"Darks Liquid Laundry Detergent",4313
laundry,"Pods Spring Meadow Scent Laundry Detergent Pacs",4185
laundry,"Plus OxiClean Stain Fighters Fresh Scent Liquid Laundry Detergent",4007
laundry,"Zero Non-Chlorine Bleach",3911
laundry,"Ultra Power Plus Laundry Detergent 54 loads",3902
laundry,"HE Original Liquid Laundry Detergent",3792
laundry,"Clean Burst Liquid Laundry Detergent",3651
laundry,"Fabric Softener Sheets, Blue Eucalyptus & Lavender scent",3610
laundry,"Dryer Sheet Free & Gentle Fabric Softener",3542
laundry,"Fresh Citrus Liquid Laundry Detergent",3497
laundry,"Natural Fabric Softener Sheets, Free & Clear",3428
laundry,"Natural Detergent 2X Ultra With Coconut Oil Based Fabric Softener Cleaner",3371
laundry,"Fresh Air High Efficiency Laundry Detergent",3353
laundry,"Fabric Softener Dryer Sheet Free & Gentle Fabric Enhancers",3263
laundry,"Clean Day Baby Blossom Laundry Detergent",3230
laundry,"2X Free & Clear Liquid Detergent",3197
laundry,"Borax All Natural Detergent Booster & Multi-Purpose Household Cleaner",3194
laundry,"Stainlifters Small & Mighty Super Concentrated Liquid Laundry Detergent",3175
laundry,"Spring Meadow Scent Pods",3163
laundry,"Chlorine Free Versatile Stain Remover",3112
laundry,"Blue Sparkle Fabric Softener Dryer Sheets",3079
laundry,"Natural Free & Clear 42 Loads Liquid Fabric Softener",3039
laundry,"2X Concentrated Clean Burst Laundry Detergent",3033
laundry,"Original 120 count Fabric Enhancers Dryer Sheets",2932
laundry,"Ultra Liquid Laundry Detergent, Free & Clear",2886
laundry,"Free & Gentle Liquid Laundry Detergent",2876
laundry,"Triple-Acting Stain Remover Liquid Refill Pre-Spotter",2866
laundry,"Morning Fresh Fabric Softener",2845
laundry,"Geranium Scent Laundry Detergent",2808
laundry,"Blue Eucalyptus and Lavender Natural Liquid Laundry Detergent",2719
laundry,"Concentrated Bleach Fresh Meadow",2694
laundry,"With Febreze Bounce Fabric Softener Dryer Sheet Spring & Renewal 105CT Fabric Enhancers",2662
laundry,"Concentrated Splash-Less Regular Bleach",2653
laundry,"Fabric Softener",2644
laundry,"4X Ultra Concentrated Natural Laundry Detergent, Geranium Blossoms & Vanilla",2621
laundry,"To Go Stain Remover Pen",2468
laundry,"Plus Febreze Freshness Spring And Renewal Scent HE Turbo Clean Liquid Laundry Detergent, 92 oz, 48 loads Laundry",2436
laundry,"Concentrated Bleach Clean Linen",2432
laundry,"Spring Tulip Delicate Wash",2394
laundry,"Fabric Softener Sheets, Fresh Linen scent",2382
laundry,"PODS Laundry Detergent, Original Designed for Regular and HE Washers Laundry",2366
laundry,"Honest Liquid Laundry Detergent, Free & Clear",2364
laundry,"PODS Laundry Detergent Spring Meadow Scent 16 Count  Laundry",2356
laundry,"Pods Ocean Mist Scent Laundry Detergent + Stain Remover + Brightener",2340
laundry,"Bac-Out Stain + Odor Remover Live Enzyme Cultures & Lime Extract",2290
laundry,"Natural Blue Eucalyptus & Lavender 42 Loads Liquid Fabric Softener",2276
laundry,"Extra Delicates Care Detergent",2182
laundry,"Lemon Verbena Dryer Sheets",2180
laundry,"Pods Free & Gentle Laundry Detergent Pacs",2176
laundry,"HE Turbo Clean Plus Downy April Fresh Scent Liquid Laundry Detergent",2158
laundry,"Bleach, Concentrated, Lemon Fresh",2149
laundry,"Lavender 4x Concentrated Laundry Detergent",2139
laundry,"Infusions Ultra DownyÂ® Infusionsâ„¢ Lavender Serenityâ„¢ Liquid Fabric Conditioner 41 FL Oz Fabric Enhancers",2096
laundry,"Spray 'n Wash Pre-Treat Stain Remover",2085
laundry,"Blue Sparkle Fresh Scent Liquid Fabric Softener",2077
laundry,"Stain Remover & Color Booster Original Scent",2074
laundry,"Free and Gentle Unscented Liquid Laundry Detergent",2063
laundry,"Original Laundry Detergent",1995
laundry,"Color CatcherÂ® In-Wash Dye-Trapping Sheets",1980
laundry,"Ultra Free & Gentle Fabric Softener",1968
laundry,"Outdoor Fresh Fabric Softener Dryer Sheets",1927
laundry,"PODS Laundry Detergent, Spring Meadow, 72 count, Designed for Regular and HE Washers Laundry",1898
laundry,"Free & Clear Laundry Detergent, 3x Concentrated, HE",1878
laundry,"White Revive Laundry Stain Remover 45 Loads",1846
laundry,"Clean Breeze High Efficiency Liquid Laundry Detergent",1837
laundry,"For Sensitive Skin Perfume & Dye Free Liquid Laundry Detergent",1828
laundry,"April Fresh Fabric Softener",1821
laundry,"Blue Sparkle Liquid Fabric Softener",1820
laundry,"HEC Original Liquid Laundry Detergent",1813
laundry,"With Stainlifters Free Clear 63 Loads Laundry Detergent",1803
laundry,"Advanced Action Gel Laundry Stain Remover",1803
laundry,"Natural Laundry Stain Remover, Free & Clear",1710
laundry,"Pods Ocean Mist Detergent + Stain Remover + Brightener",1708
laundry,"Clean BreezeÂ® High Efficiency Liquid Laundry Detergent",1706
laundry,"Pods HE Laundry Detergent, Free & Gentle, 35 Count Laundry",1677
laundry,"Zero Laundry Detergent Fragrance Free",1650
laundry,"Lemon Verbena 4x Concentrated Laundry Detergent",1643
laundry,"Fabric Softener Dryer Sheet Outdoor Fresh 105CT Fabric Enhancers",1625
laundry,"Liquid Fabric Softener Original Fabric Enhancers",1624
laundry,"Unstopables Fresh Scent In-Wash Scent Booster",1590
laundry,"Concentrated Bleach",1555
laundry,"Oxygen Bleach Plus",1552
laundry,"Washing Machine Cleaner Pouches",1549
laundry,"Basil Dryer Sheets",1547
laundry,"Fabric Softener Dryer Sheets, Outdoor Fresh scent",1528
laundry,"Original Pods",1510
laundry,"Lemon Verbena Fabric Softener",1494
laundry,"Clean Linen Concentrated Bleach",1452
laundry,"Laundry Liquid Grapefruit Seed & Citrus Extract",1437
laundry,"Spring & Renewal Febreeze Freshness Laundry Detergent",1437
laundry,"Free & Clear Ultra Powdered Laundry Detergent",1401
laundry,"Color Safe Laundry Whitener & Brightener",1387
laundry,"Laundry Detergent For Sensitive Skin, Free Of Perfumes And Dyes, 2x Concentrated",1358
laundry,"Flings Original Laundry Detergent Pacs",1353
laundry,"Linen & Lilies Laundry Detergent",1350
laundry,"Plus Downy Clean Breeze Scent Liquid Laundry Detergent, 46 oz, 24 loads Laundry",1327
laundry,"UltimateCare Premium Liquid Bleach",1319
laundry,"Fabric Refresher Pet Odor Eliminator Air Freshener",1313
laundry,"Plus Febreze Sport Active Fresh Scent HE Turbo Clean Liquid Laundry Detergent, 92 oz, 48 loads Laundry",1302
laundry,"Basil Scent Laundry Detergent",1278
laundry,"Max Force Pre-Treater Gel Stick",1257
laundry,"Original Powder Laundry Detergent",1255
laundry,"Original Spray Starch",1246
laundry,"Fabric Softener, Free & Gentle",1246
laundry,"Exhilarations White Lavender & Sandalwood Fabric Softeners",1244
laundry,"2X Ultra Liquid Laundry Detergent for Sensitive Skin, 50 Loads",1234
laundry,"HE Turbo Clean Plus Bleach Alternative Liquid Laundry Detergent",1226
laundry,"Stain Fighter & Color Booster Original",1223
laundry,"2X Concentrated Clean Burst Liquid Laundry Detergent",1222
laundry,"Stainlifter 33 Loads Liquid Laundry Detergent",1194
laundry,"Sweet Dreams Fabric Softener Dryer Sheets",1180
laundry,"Pods Spring Meadow Detergent + Stain Remover + Brightener",1161
laundry,"Steel Wool Pads",1139
laundry,"Bleach Pen",1086
laundry,"Advanced Ultra Gel Laundry Stain Remover",1083
laundry,"Unstopables Fresh In-Wash Scent Booster",1081
laundry,"Coldwater High Efficiency Liquid Laundry Detergent",1057
laundry,"Fabric Softener, Geranium Scent",1005
laundry,"Clean & Fresh 125 Loads Laundry Detergent",969
laundry,"Triple Enzyme Formula Spray Laundry Stain Remover",951
laundry,"Unstopables Fresh In-Wash Scent Booster Fabric Enhancer",938
laundry,"AntiStatic Spray",928
laundry,"HE Turbo Clean Ultra Stain Release Liquid Laundry Detergent",925
laundry,"Original Fresh Scent Heavy Starch",887
laundry,"Stage 1: Newborn HEC Liquid Detergent",864
laundry,"Plus Febreze Sport Active Fresh Scent Liquid Laundry Detergent, 92 oz, 48 loads Laundry",862
laundry,"April Fresh Fabric Softener Dryer Sheets",861
laundry,"Spring & Renewal Detergent",854
laundry,"Control Bleach Packs, Regular Scent",840
laundry,"Ultimate Care Bleach",839
laundry,"Clean Breeze Ultra Liquid Fabric Softener",839
laundry,"Disney Baby Hypoallergenic Laundry Detergent Free & Clear",838
laundry,"Hypoallergenic Laundry Detergent, 32 Loads",814
laundry,"Laundry Detergent",813
laundry,"Sport Laundry Liquid, Lavender & Eucalyptus Extracts",803
laundry,"Pods Botanical Rain Scent with Febreze Laundry Detergent Pacs",785
laundry,"Plus Febreze Sport Active Fresh Scent Liquid Laundry Detergent, 46 oz, 24 loads Laundry",772
