Aisles,Product,amountBought
"lunch meat","Uncured Genoa Salami",381570
"lunch meat","Organic Roasted Turkey Breast",256587
"lunch meat","Oven Roasted Turkey Breast",177616
"lunch meat","Roasted Turkey Breast",164032
"lunch meat","Uncured Slow Cooked Ham",128606
"lunch meat","Organic Uncured Sliced Black Forest Ham",118416
"lunch meat","Organic Roasted Sliced Chicken Breast",112912
"lunch meat","Green Tea With Ginseng and Honey",107203
"lunch meat","Smoked Turkey Breast Slices",91412
"lunch meat","Roasted Turkey",78957
"lunch meat","Uncured Pepperoni",78125
"lunch meat","Uncured Black Forest Ham",75696
"lunch meat","Organic Smoked Turkey Breast",68114
"lunch meat","Organic Genoa Salami",59219
"lunch meat",Prosciutto,52465
"lunch meat","Honey & Maple Turkey Breast",51561
"lunch meat","Sliced Prosciutto",46164
"lunch meat","Prosciutto, Americano",40418
"lunch meat","Deli Fresh Shaved Smoked Turkey Breast",40212
"lunch meat","Italian Dry Salame",39110
"lunch meat","Rosemary Ham",35757
"lunch meat","Deli Fresh Honey Ham, 97% Fat Free, Gluten Free",34647
"lunch meat","Organic Roast Beef",33927
"lunch meat","Applewood Smoked Turkey Breast",33877
"lunch meat","Deli Fresh Smoked Turkey Breast",33648
"lunch meat","Maple Honey Ham",33344
"lunch meat","Uncured Diced Pancetta",30685
"lunch meat","Sliced Soppressata Salame",29911
"lunch meat","Honey Turkey Breast",28131
"lunch meat","Prosciutto Di Parma",27821
"lunch meat",Turkey,24919
"lunch meat","Hard Salami",23839
"lunch meat","Natural Mini Pork Pepperoni",23706
"lunch meat","Black Forest Ham",23172
"lunch meat","Prosciutto di San Daniele",22308
"lunch meat","Smoked Turkey Breast",22122
"lunch meat","Organic Smoked Chicken Breast",21876
"lunch meat","Original Pepperoni",21804
"lunch meat","Deli Fresh Rotisserie Seasoned Chicken Breast",21495
"lunch meat","Hickory Smoked Turkey Breast",21449
"lunch meat","Salame, Italian Dry",20795
"lunch meat","Uncured Hard Salami",20494
