Aisles,Product,amountBought
milk,"Organic Whole Milk",777566
milk,"Organic Reduced Fat 2% Milk",283563
milk,"2% Reduced Fat Milk",210471
milk,"Whole Milk",191785
milk,"Organic Reduced Fat Milk",174104
milk,"Fat Free Milk",169451
milk,"Organic Milk",155713
milk,"Organic Fat Free Milk",152144
milk,"Organic 2% Reduced Fat Milk",136282
milk,"2% Reduced Fat Organic Milk",97177
milk,"Milk, Organic, Vitamin D",94683
milk,"Skim Milk",90509
milk,"1% Lowfat Milk",83126
milk,"Organic Whole Grassmilk Milk",80917
milk,"2% Reduced Fat DHA Omega-3 Reduced Fat Milk",78893
milk,"Organic Lowfat 1% Milk",76802
milk,"Organic Whole Milk with DHA Omega-3",76126
milk,"Reduced Fat 2% Milk",75317
milk,"Organic 1% Low Fat Milk",67910
milk,"Reduced Fat Milk",67327
milk,"Organic Milk Reduced Fat, 2% Milkfat",63906
milk,"Vitamin D Organic Whole Milk",62891
milk,"Milk, Vitamin D",59873
milk,"Unsweetened Coconut Milk Beverage",58551
milk,"Dha Omega 3 Reduced Fat 2% Milk",56177
milk,"Low Fat 1% Milk",53976
milk,"Cultured Low Fat Buttermilk",50819
milk,"Vitamin D Whole Milk",50412
milk,"Whole Organic Omega 3 Milk",49482
milk,"1% Low Fat Milk",48810
milk,"Organic Low Fat Chocolate Milk",45411
milk,"Organic  Whole Milk",43683
milk,"Dha Omega 3 Vitamin D Milk",41211
milk,"Fat Free Skim Milk",40502
milk,"Chocolate Lowfat Milk",40435
milk,"Milk, Reduced Fat, 2% Milkfat",37867
milk,"Lowfat Milk",36953
milk,"Vitamin D Milk",34560
milk,"Plain Almond Milk Yogurt",33008
milk,"Organic Skim Milk",31332
milk,"Organic Skim Milk with DHA Omega-3",30655
milk,"Organic 1% Milk",29614
milk,"Grassmilk 2% Reduced Fat Milk",29204
milk,"Organic Reduced Fat Omega-3 Milk",29058
milk,"Organic Lowfat Milk",27854
milk,"Reduced Fat Chocolate Milk",27795
milk,"Organic Fat-Free Milk",27530
milk,"Goat Milk",26143
milk,"Organic Low Fat Milk",25463
milk,"0% Fat Free Organic Milk",24873
milk,"1% Milkfat Low Fat Buttermilk",23011
milk,"Grade A Goat Milk",22711
milk,"Chocolate Milk",21684
milk,"Almond Milk Ricotta",21415
milk,"Whole Vitamin D Milk",20990
milk,"Organic Chocolate 1% Milk with DHA Omega-3",20901
milk,"Reduced Fat 2% Chocolate Milk",19893
